        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.000E+00  5.099E+00  1.349E+01  6.763E+00  2.693E+01  7.400E+01  3.709E+01  1.476E+02
  1.030E+00  5.105E+00  1.348E+01  6.754E+00  2.689E+01  7.395E+01  3.706E+01  1.475E+02
  1.062E+00  5.111E+00  1.346E+01  6.745E+00  2.685E+01  7.389E+01  3.703E+01  1.474E+02
  1.094E+00  5.118E+00  1.344E+01  6.734E+00  2.681E+01  7.383E+01  3.700E+01  1.473E+02
  1.127E+00  5.126E+00  1.342E+01  6.723E+00  2.677E+01  7.377E+01  3.697E+01  1.472E+02
  1.162E+00  5.133E+00  1.339E+01  6.712E+00  2.672E+01  7.370E+01  3.694E+01  1.471E+02
  1.197E+00  5.141E+00  1.337E+01  6.700E+00  2.667E+01  7.363E+01  3.690E+01  1.469E+02
  1.233E+00  5.150E+00  1.334E+01  6.687E+00  2.662E+01  7.356E+01  3.687E+01  1.468E+02
  1.271E+00  5.159E+00  1.332E+01  6.674E+00  2.657E+01  7.348E+01  3.683E+01  1.466E+02
  1.309E+00  5.169E+00  1.329E+01  6.660E+00  2.651E+01  7.340E+01  3.679E+01  1.465E+02
  1.349E+00  5.179E+00  1.326E+01  6.644E+00  2.645E+01  7.331E+01  3.674E+01  1.463E+02
  1.390E+00  5.190E+00  1.323E+01  6.629E+00  2.639E+01  7.322E+01  3.670E+01  1.461E+02
  1.433E+00  5.201E+00  1.319E+01  6.612E+00  2.632E+01  7.312E+01  3.665E+01  1.459E+02
  1.476E+00  5.213E+00  1.316E+01  6.594E+00  2.625E+01  7.302E+01  3.660E+01  1.457E+02
  1.521E+00  5.226E+00  1.312E+01  6.576E+00  2.618E+01  7.291E+01  3.654E+01  1.455E+02
  1.567E+00  5.240E+00  1.308E+01  6.556E+00  2.610E+01  7.280E+01  3.649E+01  1.453E+02
  1.615E+00  5.254E+00  1.304E+01  6.536E+00  2.602E+01  7.268E+01  3.643E+01  1.450E+02
  1.664E+00  5.270E+00  1.300E+01  6.514E+00  2.593E+01  7.255E+01  3.636E+01  1.448E+02
  1.715E+00  5.286E+00  1.295E+01  6.491E+00  2.584E+01  7.242E+01  3.630E+01  1.445E+02
  1.767E+00  5.303E+00  1.290E+01  6.467E+00  2.575E+01  7.228E+01  3.622E+01  1.442E+02
  1.821E+00  5.321E+00  1.285E+01  6.442E+00  2.565E+01  7.213E+01  3.615E+01  1.439E+02
  1.876E+00  5.340E+00  1.280E+01  6.416E+00  2.554E+01  7.197E+01  3.607E+01  1.436E+02
  1.933E+00  5.361E+00  1.275E+01  6.388E+00  2.543E+01  7.181E+01  3.599E+01  1.433E+02
  1.992E+00  5.382E+00  1.269E+01  6.359E+00  2.531E+01  7.164E+01  3.590E+01  1.429E+02
  2.052E+00  5.405E+00  1.263E+01  6.328E+00  2.519E+01  7.146E+01  3.581E+01  1.426E+02
  2.115E+00  5.429E+00  1.256E+01  6.296E+00  2.507E+01  7.127E+01  3.572E+01  1.422E+02
  2.179E+00  5.454E+00  1.250E+01  6.263E+00  2.493E+01  7.107E+01  3.562E+01  1.418E+02
  2.245E+00  5.481E+00  1.243E+01  6.228E+00  2.479E+01  7.086E+01  3.551E+01  1.414E+02
  2.314E+00  5.509E+00  1.235E+01  6.191E+00  2.465E+01  7.064E+01  3.540E+01  1.409E+02
  2.384E+00  5.539E+00  1.228E+01  6.153E+00  2.450E+01  7.041E+01  3.529E+01  1.405E+02
  2.456E+00  5.571E+00  1.220E+01  6.113E+00  2.434E+01  7.017E+01  3.517E+01  1.400E+02
  2.531E+00  5.604E+00  1.211E+01  6.072E+00  2.417E+01  6.992E+01  3.504E+01  1.395E+02
  2.608E+00  5.639E+00  1.203E+01  6.029E+00  2.400E+01  6.966E+01  3.491E+01  1.390E+02
  2.687E+00  5.676E+00  1.194E+01  5.984E+00  2.382E+01  6.939E+01  3.478E+01  1.384E+02
  2.769E+00  5.716E+00  1.185E+01  5.937E+00  2.364E+01  6.910E+01  3.463E+01  1.379E+02
  2.853E+00  5.757E+00  1.175E+01  5.888E+00  2.344E+01  6.880E+01  3.448E+01  1.373E+02
  2.940E+00  5.800E+00  1.165E+01  5.838E+00  2.324E+01  6.849E+01  3.433E+01  1.367E+02
  3.030E+00  5.846E+00  1.154E+01  5.786E+00  2.303E+01  6.817E+01  3.417E+01  1.360E+02
