"Fault Model FM3.2",,,,,,,,,,,,,,,,,,,,
FID,Minisection,Name,ELon1,NLat1,ELon2,NLat2,CREEPS?,"ABM slip rate","ABM rake","NeoKinema slip rate","Neokinema rake","NeoKinema dip","Zeng slip rate","Zeng rake","Geologic rate (mm/yr)","Geologic lower bound (mm/yr)","Geologic upper bound (mm/yr)","Geo rake","Geo dip","Geo dip dir"
2,2.01,"Mount Diablo Thrust",-121.8229,37.7301,-122.0388,37.8771,F,2.1034,90,0.9,93.1,38,1.8848,105.0685,2,1,3,90,38,40.82
9,9.01,"Ortigalita (South)",-121.1429,37.1081,-121.138,37.034,F,3.4305,153.5,1.228,180,90,1.26,180,1.5,0.5,2.5,180,90,241.97
9,9.02,"Ortigalita (South)",-121.138,37.034,-121.011406,36.907055,F,3.3285,134.08,1.228,180,90,1.26,180,1.5,0.5,2.5,180,90,241.97
9,9.03,"Ortigalita (South)",-121.011406,36.907055,-120.90358,36.793957,F,3.2344,132.98,1.228,180,90,1.26,180,1.5,0.5,2.5,180,90,241.97
9,9.04,"Ortigalita (South)",-120.90358,36.793957,-120.82285,36.62523,F,1.7243,180,1.228,180,90,1.26,180,1.5,0.5,2.5,180,90,241.97
11,11.01,"Monterey Bay-Tularcitos",-121.50309,36.35759,-121.59573,36.40017,F,0.38709,137.49,0.655,91.9,20,0.40311,150.2551,0.39,0.2,1,150,90,48.8
11,11.02,"Monterey Bay-Tularcitos",-121.59573,36.40017,-121.6489,36.43872,F,0.36933,142.81,0.655,91.9,20,0.40311,150.2551,0.39,0.2,1,150,90,48.8
11,11.03,"Monterey Bay-Tularcitos",-121.6489,36.43872,-121.73531,36.46929,F,0.31625,144.57,0.655,91.9,20,0.40311,150.2551,0.39,0.2,1,150,90,48.8
11,11.04,"Monterey Bay-Tularcitos",-121.73531,36.46929,-121.86559,36.58495,F,0.23098,144.33,0.655,91.9,20,0.40311,150.2551,0.39,0.2,1,150,90,48.8
11,11.05,"Monterey Bay-Tularcitos",-121.86559,36.58495,-122.01049,36.8136,F,0.2,150,0.655,91.9,20,0.40311,150.2551,0.39,0.2,1,150,90,48.8
11,11.06,"Monterey Bay-Tularcitos",-122.01049,36.8136,-122.12216,36.92128,F,0.35047,159.71,0.655,91.9,20,0.40311,150.2551,0.39,0.2,1,150,90,48.8
13,13.01,Mendocino,-124.34336,40.20667,-124.41191,40.262165,F,15.303,167.55,7.925,180,90,37.3,180,35,30,40,180,90,8.19
13,13.02,Mendocino,-124.41191,40.262165,-124.696,40.3717,F,13.607,153.13,7.925,180,90,37.3,180,35,30,40,180,90,8.19
13,13.03,Mendocino,-124.696,40.3717,-125.35406,40.399136,T,17.199,180,49.048,180,90,37.3,180,35,30,40,180,90,8.19
13,13.04,Mendocino,-125.35406,40.399136,-125.840996,40.41508,T,48.134,180,49.048,180,90,37.3,180,35,30,40,180,90,8.19
13,13.05,Mendocino,-125.840996,40.41508,-126.3812,40.41218,T,47.867,180,49.048,180,90,37.3,180,35,30,40,180,90,8.19
15,15.01,"Table Bluff",-124.17976,40.64778,-124.282,40.696,F,0.74446,90,1.381,116.4,45,0.74947,71.3233,0.6,0.2,1,90,45,25.64
15,15.02,"Table Bluff",-124.282,40.696,-124.47499,40.698,F,0.96554,90,1.381,116.4,45,0.74947,71.3233,0.6,0.2,1,90,45,25.64
15,15.03,"Table Bluff",-124.47499,40.698,-124.679,40.828,F,0.81578,90,1.381,116.4,45,0.74947,71.3233,0.6,0.2,1,90,45,25.64
16,16.01,"Little Salmon (Offshore)",-124.231,40.764,-124.352,40.796,F,1.3727,90,4.993,120.9,30,1.2143,71.2666,1.1,0.2,2,90,30,37.88
16,16.02,"Little Salmon (Offshore)",-124.352,40.796,-124.47499,40.941,F,1.0837,90,4.993,120.9,30,1.2143,71.2666,1.1,0.2,2,90,30,37.88
16,16.03,"Little Salmon (Offshore)",-124.47499,40.941,-124.64099,41.004,F,1.4424,90,4.993,120.9,30,1.2143,71.2666,1.1,0.2,2,90,30,37.88
