Monterey Bay-Tularcitos
mag	mean	min	max
5.05	0.0	0.0	0.0
5.1499999999999995	0.0	0.0	0.0
5.25	0.0	0.0	0.0
5.35	0.0	0.0	0.0
5.45	0.0	0.0	0.0
5.55	0.0	0.0	0.0
5.6499999999999995	0.0	0.0	0.0
5.75	0.0	0.0	0.0
5.85	0.0	0.0	0.0
5.949999999999999	0.0	0.0	0.0
6.05	0.0	0.0	0.0
6.1499999999999995	0.0	0.0	0.0
6.25	0.0	0.0	0.0
6.35	0.0	0.0	0.0
6.449999999999999	0.0	0.0	0.0
6.55	3.7875571771007804E-5	1.9281207887576267E-5	5.8068691582217147E-5
6.6499999999999995	3.3492708303351474E-5	1.9281207887769215E-5	4.829943389338096E-5
6.75	2.9847201256793776E-5	1.928120788741389E-5	4.0173719277479194E-5
6.85	2.68150005686453E-5	1.9281207887826867E-5	3.341504424558313E-5
6.949999999999999	2.6937677549841167E-5	1.928120788746287E-5	3.330321893916498E-5
7.05	3.4673986139235034E-5	2.2112817740084605E-5	4.922669523255601E-5
7.1499999999999995	4.919964221921052E-5	3.0295589694613002E-5	7.049474822657878E-5
7.25	4.4274863620862544E-5	4.248103260879139E-5	4.935547583938587E-5
7.35	2.564362378319896E-5	2.12129796147412E-5	3.007426795165669E-5
7.449999999999999	1.0153571407087132E-5	5.289503321713323E-6	1.501763949246091E-5
7.55	1.8723407890383355E-6	0.0	3.7446815780766656E-6
7.6499999999999995	0.0	0.0	0.0
7.75	0.0	0.0	0.0
7.85	0.0	0.0	0.0
7.949999999999999	0.0	0.0	0.0
8.049999999999999	0.0	0.0	0.0
8.149999999999999	0.0	0.0	0.0
8.25	0.0	0.0	0.0
8.35	0.0	0.0	0.0
8.45	0.0	0.0	0.0
8.549999999999999	0.0	0.0	0.0
8.649999999999999	0.0	0.0	0.0
8.75	0.0	0.0	0.0
8.85	0.0	0.0	0.0
8.95	0.0	0.0	0.0
