segment Chad
22.991 15
22.999 15
23.005 15
23.006 15.001
23.008 15.009
23.043 15.087
23.046 15.09
23.056 15.116
23.058 15.117
23.06 15.12
23.07 15.142
23.073 15.151
23.114 15.239
23.116 15.244
23.118 15.252
23.169 15.361
23.169 15.362
23.174 15.373
23.187 15.401
23.203 15.438
23.206 15.441
23.225 15.484
23.23 15.495
23.233 15.506
23.251 15.543
23.279 15.607
23.296 15.645
23.301 15.654
23.303 15.665
23.315 15.689
23.317 15.696
23.33 15.728
23.331 15.73
23.386 15.853
23.388 15.857
23.393 15.861
23.399 15.881
23.43 15.95
23.437 15.967
23.437 15.971
23.44 15.975
23.444 15.981
23.445 15.986
23.45 15.998
23.405 16.097
23.37 16.172
23.349 16.22
23.346 16.226
23.345 16.233
23.328 16.263
23.314 16.299
23.306 16.314
23.294 16.342
23.278 16.378
23.269 16.394
23.245 16.449
23.24 16.457
23.237 16.463
23.199 16.547
23.191 16.56
23.19 16.567
23.184 16.579
23.181 16.58
23.18 16.584
23.173 16.603
23.125 16.706
23.119 16.717
23.118 16.722
23.109 16.739
23.075 16.816
23.068 16.827
23.068 16.828
23.068 16.83
23.059 16.847
23.042 16.883
23.016 16.938
23.011 16.949
23 16.971
22.997 16.982
22.98 17.01
22.971 17.033
22.953 17.07
22.941 17.095
22.897 17.191
22.88 17.228
22.875 17.237
22.859 17.269
22.839 17.312
22.814 17.366
22.811 17.37
22.798 17.4
22.782 17.433
22.724 17.554
22.723 17.557
22.668 17.675
22.639 17.736
22.636 17.739
22.609 17.796
22.552 17.917
22.518 17.99
22.494 18.037
22.469 18.088
22.457 18.117
22.437 18.159
22.408 18.219
22.407 18.226
22.396 18.244
22.379 18.279
22.324 18.395
22.323 18.4
22.323 18.402
22.311 18.423
22.271 18.507
22.27 18.513
22.266 18.521
22.233 18.586
22.208 18.641
22.194 18.671
22.184 18.687
22.168 18.726
22.15 18.761
22.111 18.84
21.545 20
21.374 20.351
21.302 20.486
21.268 20.555
21.21 20.669
21.152 20.788
21.139 20.813
21.093 20.907
21.087 20.922
21.034 21.026
21.013 21.069
21.007 21.082
20.996 21.102
20.974 21.145
20.939 21.216
20.934 21.221
20.915 21.263
20.865 21.361
20.855 21.381
20.807 21.48
20.794 21.499
20.793 21.505
20.77 21.549
20.768 21.554
20.734 21.623
20.726 21.639
20.717 21.652
20.715 21.659
20.705 21.681
20.674 21.74
20.673 21.741
20.668 21.754
20.659 21.767
20.654 21.783
20.642 21.802
20.633 21.825
20.628 21.83
20.614 21.858
20.603 21.878
20.599 21.89
20.587 21.908
20.585 21.914
20.584 21.919
20.572 21.939
20.563 21.959
20.554 21.975
20.514 22.051
20.511 22.058
20.494 22.088
20.492 22.092
20.457 22.161
20.456 22.168
20.44 22.194
20.438 22.2
20.433 22.209
20.422 22.228
20.419 22.237
20.385 22.301
20.384 22.305
20.375 22.318
20.372 22.326
20.366 22.342
20.358 22.353
20.314 22.439
20.312 22.444
20.31 22.449
20.296 22.472
20.296 22.476
20.271 22.518
20.269 22.525
20.251 22.56
20.238 22.584
20.237 22.59
20.218 22.623
20.207 22.648
20.207 22.649
20.199 22.661
20.169 22.722
20.145 22.766
20.132 22.795
20.126 22.803
20.084 22.883
20.024 23.001
20 23.047
19.996 23.055
19.993 23.057
19.977 23.091
19.963 23.117
19.958 23.127
19.954 23.133
19.947 23.146
19.946 23.152
19.903 23.235
19.881 23.277
19.877 23.286
19.866 23.303
19.863 23.313
19.843 23.352
19.816 23.403
19.813 23.406
19.798 23.439
19.782 23.468
19.74 23.547
19.722 23.586
19.721 23.586
19.667 23.691
19.66 23.702
19.658 23.705
19.633 23.757
19.62 23.778
19.599 23.819
19.538 23.935
19.508 24
19.5 24
19.4 24
19.3 24
19.2 24
19.1 24
19 24
18.9 24
18.8 24
18.7 24
18.6 24
18.5 24
18.4 24
18.3 24
18.2 24
18.1 24
18 24
17.9 24
17.8 24
17.7 24
17.6 24
17.5 24
17.4 24
17.3 24
17.2 24
17.1 24
17 24
16.9 24
16.8 24
16.7 24
16.6 24
16.5 24
16.4 24
16.3 24
16.2 24
16.1 24
16 24
15.885 24.002
15.794 24.003
15.759 24.002
15.705 24.002
15.703 23.989
15.704 23.964
15.706 23.961
15.71 23.942
15.712 23.928
15.717 23.903
15.732 23.856
15.743 23.806
15.743 23.802
15.742 23.791
15.745 23.777
15.744 23.741
15.745 23.725
15.749 23.713
15.756 23.674
15.758 23.662
15.754 23.578
15.745 23.545
15.737 23.515
15.728 23.492
15.702 23.444
15.696 23.425
15.693 23.416
15.69 23.378
15.686 23.353
15.686 23.333
15.691 23.296
15.693 23.274
15.701 23.241
15.701 23.227
15.707 23.219
15.709 23.215
15.704 23.198
15.705 23.171
15.705 23.17
15.712 23.154
15.71 23.122
15.705 23.115
15.691 23.106
15.668 23.085
15.663 23.077
15.659 23.064
15.657 23.058
15.653 23.054
15.627 23.043
15.618 23.036
15.612 23.026
15.609 23.025
15.609 23.023
15.589 23.005
15.584 22.997
15.581 22.989
15.58 22.986
15.58 22.975
15.581 22.969
15.581 22.962
15.579 22.954
15.572 22.947
15.551 22.931
15.54 22.926
15.525 22.924
15.514 22.928
15.494 22.923
15.489 22.922
15.477 22.925
15.465 22.93
15.464 22.933
15.447 22.95
15.438 22.964
15.427 22.978
15.424 22.98
15.416 22.989
15.416 22.99
15.398 22.997
15.391 22.996
15.374 22.991
15.371 22.99
15.341 22.991
15.33 22.993
15.322 22.999
15.309 23.004
15.296 22.999
15.286 22.991
15.263 22.987
15.259 22.987
15.256 22.99
15.237 23
15.231 22.997
15.228 22.992
15.221 22.987
15.208 22.982
15.201 22.979
15.196 22.975
15.192 22.969
15.191 22.965
15.181 22.947
15.172 22.936
15.166 22.932
15.158 22.931
15.125 22.94
15.111 22.939
15.108 22.94
15.093 22.921
15.093 22.916
15.095 22.907
15.095 22.899
15.094 22.893
15.089 22.88
15.083 22.871
15.071 22.862
15.058 22.856
15.055 22.852
15.045 22.838
15.044 22.835
