segment Gabon
-0.938 8.838
-0.937 8.836
-0.929 8.831
-0.913 8.818
-0.911 8.82
-0.923 8.832
-0.938 8.838
segment Gabon
0.796 9.394
0.797 9.386
0.799 9.384
0.801 9.386
0.8 9.395
0.799 9.396
0.796 9.394
segment Gabon
0.259 9.553
0.259 9.55
0.262 9.547
0.27 9.546
0.275 9.543
0.28 9.547
0.273 9.563
0.269 9.564
0.262 9.562
0.263 9.554
0.259 9.553
segment Gabon
0.175 9.906
0.173 9.9
0.174 9.898
0.181 9.903
0.192 9.914
0.191 9.92
0.189 9.922
0.175 9.906
segment Gabon
2.279 12.186
2.276 12.202
2.28 12.207
2.277 12.213
2.269 12.22
2.261 12.223
2.258 12.226
2.25 12.242
2.252 12.254
2.257 12.257
2.258 12.26
2.256 12.269
2.257 12.28
2.259 12.282
2.263 12.286
2.276 12.291
2.277 12.301
2.278 12.316
2.277 12.327
2.276 12.33
2.269 12.354
2.267 12.382
2.262 12.391
2.256 12.425
2.253 12.453
2.253 12.467
2.254 12.475
2.261 12.492
2.261 12.504
2.254 12.528
2.256 12.544
2.269 12.576
2.266 12.586
2.263 12.586
2.259 12.585
2.255 12.589
2.253 12.601
2.255 12.609
2.255 12.612
2.251 12.615
2.244 12.626
2.239 12.659
2.24 12.671
2.243 12.675
2.242 12.69
2.228 12.711
2.229 12.716
2.231 12.719
2.23 12.721
2.229 12.735
2.225 12.739
2.223 12.743
2.223 12.75
2.23 12.777
2.239 12.793
2.241 12.795
2.246 12.794
2.248 12.795
2.249 12.796
2.247 12.802
2.246 12.809
2.249 12.815
2.253 12.818
2.257 12.818
2.258 12.821
2.253 12.827
2.242 12.827
2.24 12.829
2.239 12.845
2.236 12.85
2.236 12.856
2.229 12.859
2.229 12.864
2.231 12.868
2.228 12.873
2.231 12.875
2.241 12.877
2.244 12.879
2.245 12.882
2.242 12.888
2.236 12.892
2.235 12.9
2.243 12.921
2.248 12.916
2.25 12.916
2.253 12.92
2.253 12.935
2.244 12.946
2.242 12.952
2.244 12.965
2.242 12.972
2.247 12.985
2.249 12.995
2.247 13
2.249 13.002
2.248 13.008
2.249 13.016
2.25 13.021
2.244 13.026
2.244 13.031
2.248 13.034
2.248 13.036
2.238 13.038
2.236 13.042
2.238 13.046
2.237 13.051
2.24 13.055
2.239 13.061
2.247 13.066
2.246 13.071
2.25 13.077
2.249 13.079
2.244 13.082
2.242 13.086
2.237 13.088
2.239 13.089
2.242 13.09
2.242 13.093
2.246 13.1
2.253 13.101
2.253 13.106
2.255 13.108
2.251 13.118
2.258 13.115
2.26 13.117
2.268 13.114
2.273 13.125
2.284 13.163
2.278 13.179
2.278 13.181
2.282 13.187
2.281 13.194
2.278 13.197
2.273 13.197
2.272 13.196
2.275 13.191
2.275 13.188
2.272 13.188
2.269 13.194
2.265 13.195
2.264 13.198
2.268 13.2
2.268 13.206
2.263 13.205
2.259 13.207
2.26 13.212
2.262 13.214
2.262 13.217
