segment Lesotho
-28.595 28.602
-28.597 28.605
-28.597 28.611
-28.595 28.616
-28.583 28.627
-28.576 28.639
-28.572 28.654
-28.574 28.669
-28.58 28.68
-28.589 28.69
-28.6 28.7
-28.609 28.705
-28.624 28.706
-28.668 28.715
-28.677 28.72
-28.685 28.73
-28.688 28.741
-28.686 28.752
-28.687 28.766
-28.695 28.784
-28.697 28.791
-28.702 28.807
-28.707 28.812
-28.714 28.813
-28.724 28.817
-28.736 28.815
-28.75 28.821
-28.758 28.829
-28.757 28.857
-28.758 28.868
-28.762 28.874
-28.782 28.895
-28.795 28.916
-28.805 28.922
-28.83 28.938
-28.839 28.947
-28.853 28.956
-28.876 28.963
-28.885 28.971
-28.891 28.978
-28.902 28.991
-28.908 28.994
-28.914 29
-28.915 29.005
-28.908 29.019
-28.909 29.028
-28.935 29.073
-28.941 29.077
-28.948 29.077
-28.957 29.074
-28.963 29.074
-28.972 29.081
-28.973 29.086
-28.978 29.094
-28.983 29.105
-28.986 29.127
-28.989 29.14
-28.997 29.153
-29.011 29.166
-29.014 29.178
-29.022 29.206
-29.03 29.221
-29.036 29.225
-29.046 29.224
-29.057 29.229
-29.065 29.239
-29.086 29.257
-29.089 29.262
-29.09 29.269
-29.081 29.281
-29.077 29.292
-29.08 29.302
-29.079 29.308
-29.085 29.324
-29.09 29.335
-29.096 29.341
-29.107 29.347
-29.124 29.348
-29.144 29.343
-29.156 29.35
-29.157 29.351
-29.157 29.355
-29.16 29.36
-29.163 29.365
-29.165 29.367
-29.168 29.369
-29.171 29.37
-29.174 29.371
-29.176 29.375
-29.181 29.38
-29.184 29.385
-29.197 29.393
-29.232 29.403
-29.247 29.41
-29.258 29.419
-29.271 29.436
-29.281 29.442
-29.287 29.446
-29.294 29.446
-29.31 29.439
-29.323 29.442
-29.324 29.451
-29.334 29.46
-29.347 29.466
-29.353 29.466
-29.364 29.452
-29.368 29.45
-29.381 29.45
-29.384 29.451
-29.399 29.446
-29.411 29.436
-29.431 29.428
-29.434 29.423
-29.439 29.407
-29.443 29.4
-29.444 29.385
-29.452 29.359
-29.457 29.348
-29.464 29.341
-29.479 29.334
-29.485 29.322
-29.483 29.314
-29.49 29.306
-29.494 29.304
-29.515 29.309
-29.528 29.312
-29.547 29.304
-29.557 29.304
-29.564 29.305
-29.57 29.319
-29.572 29.327
-29.576 29.331
-29.58 29.332
-29.583 29.329
-29.586 29.322
-29.587 29.304
-29.588 29.299
-29.592 29.295
-29.605 29.301
-29.625 29.3
-29.631 29.295
-29.633 29.287
-29.633 29.284
-29.632 29.28
-29.634 29.265
-29.639 29.241
-29.643 29.238
-29.647 29.224
-29.661 29.211
-29.662 29.191
-29.666 29.183
-29.674 29.179
-29.679 29.178
-29.698 29.178
-29.702 29.173
-29.708 29.162
-29.719 29.15
-29.728 29.147
-29.742 29.153
-29.747 29.156
-29.752 29.157
-29.763 29.149
-29.791 29.149
-29.807 29.145
-29.828 29.133
-29.841 29.131
-29.848 29.132
-29.853 29.134
-29.859 29.142
-29.861 29.153
-29.864 29.157
-29.888 29.165
-29.903 29.172
-29.915 29.175
-29.926 29.17
-29.93 29.166
-29.933 29.161
-29.936 29.149
-29.936 29.129
-29.943 29.12
-29.963 29.116
-29.965 29.11
-29.96 29.103
-29.957 29.098
-29.958 29.092
-29.979 29.065
-29.99 29.049
-30 29.026
-30.001 29.023
-30.013 29.001
-30.016 28.997
-30.037 28.954
-30.046 28.938
-30.062 28.912
-30.067 28.904
-30.073 28.889
-30.075 28.88
-30.084 28.868
-30.087 28.866
-30.095 28.849
-30.1 28.812
-30.109 28.798
-30.112 28.787
-30.112 28.776
-30.109 28.762
-30.111 28.748
-30.115 28.738
-30.121 28.729
-30.124 28.718
-30.128 28.708
-30.133 28.695
-30.138 28.684
-30.139 28.667
-30.134 28.651
-30.133 28.639
-30.137 28.626
-30.132 28.602
-30.125 28.588
-30.12 28.573
-30.118 28.556
-30.124 28.546
-30.135 28.531
-30.14 28.527
-30.144 28.521
-30.148 28.513
-30.146 28.503
-30.155 28.482
-30.157 28.472
-30.156 28.459
-30.141 28.417
-30.141 28.412
-30.147 28.399
-30.157 28.385
-30.167 28.373
-30.203 28.362
-30.217 28.35
-30.234 28.329
-30.253 28.316
-30.255 28.308
-30.254 28.288
-30.256 28.269
-30.259 28.262
-30.26 28.257
-30.264 28.243
-30.278 28.229
-30.288 28.222
-30.295 28.221
-30.301 28.227
-30.311 28.246
-30.325 28.263
-30.334 28.266
-30.342 28.265
-30.35 28.271
-30.355 28.279
-30.361 28.28
-30.382 28.271
-30.393 28.261
-30.411 28.24
-30.42 28.226
-30.427 28.199
-30.442 28.183
-30.446 28.173
-30.454 28.159
-30.46 28.155
-30.466 28.159
-30.485 28.183
-30.488 28.185
-30.494 28.186
-30.506 28.174
-30.517 28.17
-30.545 28.166
-30.559 28.162
-30.567 28.157
-30.579 28.143
-30.579 28.137
-30.586 28.126
-30.599 28.116
-30.604 28.114
-30.619 28.111
-30.637 28.115
-30.646 28.114
-30.662 28.119
-30.669 28.118
-30.665 28.11
-30.653 28.098
-30.65 28.091
-30.649 28.084
-30.654 28.07
-30.66 28.048
-30.657 28.037
-30.656 28.017
-30.656 28.002
-30.651 27.974
-30.646 27.959
-30.645 27.942
-30.641 27.927
-30.633 27.921
-30.615 27.915
-30.609 27.912
-30.598 27.898
-30.598 27.892
-30.601 27.883
-30.609 27.874
-30.611 27.867
-30.608 27.831
-30.606 27.814
-30.604 27.797
-30.602 27.783
-30.599 27.765
-30.595 27.75
-30.589 27.742
-30.58 27.734
-30.572 27.73
-30.563 27.724
-30.553 27.711
-30.546 27.704
-30.532 27.699
-30.52 27.686
-30.514 27.672
-30.503 27.647
-30.493 27.632
-30.486 27.624
-30.483 27.62
-30.477 27.618
-30.469 27.622
-30.465 27.621
-30.457 27.615
-30.449 27.612
-30.445 27.603
-30.446 27.593
-30.443 27.587
-30.42 27.577
-30.401 27.571
-30.385 27.559
-30.38 27.551
-30.378 27.542
-30.377 27.514
-30.372 27.508
-30.364 27.502
-30.36 27.501
-30.347 27.486
-30.342 27.482
-30.333 27.48
-30.32 27.483
-30.315 27.48
-30.311 27.475
-30.312 27.464
-30.314 27.455
-30.319 27.442
-30.319 27.437
-30.32 27.43
-30.331 27.41
-30.332 27.402
-30.33 27.395
-30.324 27.392
-30.319 27.395
-30.309 27.407
-30.304 27.406
-30.295 27.39
-30.287 27.397
-30.281 27.396
-30.279 27.393
-30.27 27.375
-30.261 27.373
-30.241 27.373
-30.22 27.375
-30.201 27.379
-30.192 27.389
-30.191 27.398
-30.189 27.4
-30.179 27.395
-30.176 27.397
-30.176 27.405
-30.171 27.41
-30.164 27.41
-30.155 27.416
-30.151 27.416
-30.148 27.413
-30.143 27.408
-30.142 27.402
-30.148 27.367
-30.152 27.337
-30.15 27.335
-30.133 27.33
-30.102 27.32
-30.069 27.312
-30.053 27.297
-30.013 27.253
-30.011 27.247
-30.005 27.238
-30.002 27.236
-30 27.235
-29.976 27.221
-29.973 27.222
-29.951 27.212
-29.939 27.207
-29.887 27.184
-29.864 27.173
-29.822 27.154
-29.812 27.148
-29.798 27.143
-29.755 27.123
-29.742 27.114
-29.727 27.099
-29.719 27.094
-29.708 27.086
-29.7 27.077
-29.693 27.066
-29.69 27.059
-29.684 27.054
-29.676 27.05
-29.646 27.029
-29.638 27.037
-29.632 27.037
-29.622 27.031
-29.617 27.029
-29.612 27.033
-29.612 27.043
-29.618 27.052
-29.623 27.053
-29.63 27.061
-29.631 27.067
-29.625 27.072
-29.617 27.072
-29.61 27.074
-29.6 27.074
-29.596 27.078
-29.595 27.081
-29.597 27.087
-29.608 27.092
-29.604 27.1
-29.596 27.119
-29.586 27.123
-29.578 27.123
-29.57 27.132
-29.568 27.136
-29.568 27.148
-29.565 27.152
-29.556 27.163
-29.555 27.17
-29.556 27.181
-29.562 27.204
-29.562 27.208
-29.559 27.213
-29.549 27.217
-29.547 27.223
-29.546 27.227
-29.543 27.231
-29.54 27.234
-29.539 27.238
-29.547 27.247
-29.548 27.252
-29.547 27.258
-29.542 27.265
-29.531 27.27
-29.526 27.276
-29.523 27.284
-29.523 27.291
-29.525 27.302
-29.527 27.309
-29.527 27.311
-29.526 27.315
-29.523 27.316
-29.517 27.315
-29.505 27.312
-29.492 27.316
-29.488 27.321
-29.485 27.325
-29.48 27.338
-29.479 27.345
-29.48 27.35
-29.481 27.351
-29.482 27.36
-29.476 27.37
-29.467 27.37
-29.46 27.368
-29.455 27.37
-29.448 27.383
-29.437 27.392
-29.413 27.407
-29.41 27.412
-29.408 27.424
-29.406 27.43
-29.399 27.433
-29.389 27.431
-29.367 27.414
-29.363 27.423
-29.367 27.432
-29.369 27.443
-29.366 27.445
-29.339 27.447
-29.33 27.45
-29.325 27.454
-29.323 27.457
-29.322 27.461
-29.318 27.474
-29.315 27.478
-29.311 27.478
-29.308 27.475
-29.302 27.467
-29.298 27.462
-29.295 27.461
-29.29 27.463
-29.287 27.471
-29.289 27.498
-29.288 27.501
-29.278 27.505
-29.276 27.508
-29.272 27.525
-29.266 27.532
-29.254 27.546
-29.247 27.55
-29.24 27.548
-29.237 27.545
-29.234 27.535
-29.231 27.532
-29.222 27.529
-29.217 27.529
-29.214 27.532
-29.205 27.546
-29.197 27.553
-29.191 27.56
-29.177 27.581
-29.165 27.591
-29.165 27.604
-29.165 27.606
-29.163 27.613
-29.159 27.62
-29.153 27.623
-29.146 27.623
-29.13 27.617
-29.129 27.619
-29.129 27.628
-29.127 27.634
-29.121 27.642
-29.115 27.643
-29.111 27.646
-29.11 27.651
-29.108 27.66
-29.096 27.662
-29.086 27.663
-29.082 27.661
-29.081 27.657
-29.081 27.652
-29.081 27.649
-29.078 27.648
-29.076 27.65
-29.075 27.654
-29.079 27.665
-29.079 27.668
-29.08 27.672
-29.08 27.673
-29.08 27.675
-29.08 27.676
-29.079 27.678
-29.079 27.679
-29.074 27.683
-29.064 27.68
-29.057 27.672
-29.052 27.655
-29.049 27.65
-29.044 27.65
-29.042 27.654
-29.041 27.66
-29.044 27.67
-29.043 27.681
-29.039 27.684
-29.034 27.684
-29.027 27.683
-29.024 27.685
-29.021 27.696
-29.018 27.698
-29.005 27.688
-29.002 27.692
-29.002 27.703
-29.006 27.712
-29.006 27.726
-29 27.73
-28.997 27.729
-28.989 27.719
-28.982 27.72
-28.98 27.726
-28.975 27.732
-28.959 27.73
-28.955 27.73
-28.949 27.733
-28.944 27.737
-28.941 27.743
-28.94 27.747
-28.94 27.756
-28.941 27.763
-28.939 27.765
-28.929 27.766
-28.922 27.773
-28.919 27.774
-28.912 27.771
-28.905 27.764
-28.902 27.756
-28.898 27.757
-28.895 27.76
-28.895 27.765
-28.903 27.779
-28.906 27.791
-28.91 27.798
-28.916 27.808
-28.917 27.821
-28.914 27.826
-28.91 27.829
-28.905 27.832
-28.9 27.836
-28.902 27.841
-28.902 27.847
-28.901 27.852
-28.901 27.858
-28.912 27.87
-28.915 27.875
-28.915 27.883
-28.914 27.89
-28.912 27.897
-28.908 27.903
-28.905 27.905
-28.901 27.906
-28.9 27.906
-28.89 27.9
-28.883 27.9
-28.883 27.91
-28.88 27.916
-28.869 27.921
-28.858 27.934
-28.852 27.942
-28.852 27.956
-28.857 27.968
-28.871 27.975
-28.879 27.982
-28.874 27.999
-28.873 28.008
-28.877 28.024
-28.877 28.037
-28.873 28.04
-28.865 28.035
-28.858 28.034
-28.844 28.058
-28.838 28.061
-28.831 28.061
-28.826 28.061
-28.821 28.06
-28.818 28.057
-28.814 28.06
-28.812 28.065
-28.81 28.079
-28.808 28.083
-28.794 28.088
-28.789 28.09
-28.786 28.096
-28.77 28.103
-28.763 28.108
-28.761 28.114
-28.758 28.118
-28.75 28.121
-28.743 28.121
-28.739 28.126
-28.741 28.127
-28.741 28.13
-28.74 28.134
-28.731 28.144
-28.723 28.15
-28.719 28.154
-28.718 28.158
-28.715 28.162
-28.703 28.172
-28.7 28.18
-28.691 28.189
-28.69 28.194
-28.701 28.199
-28.705 28.202
-28.706 28.208
-28.704 28.218
-28.7 28.228
-28.696 28.238
-28.694 28.247
-28.695 28.257
-28.697 28.261
-28.7 28.263
-28.706 28.283
-28.708 28.294
-28.703 28.302
-28.7 28.31
-28.697 28.318
-28.7 28.331
-28.695 28.34
-28.695 28.35
-28.699 28.358
-28.698 28.363
-28.695 28.37
-28.691 28.374
-28.687 28.367
-28.682 28.372
-28.674 28.371
-28.666 28.372
-28.659 28.377
-28.649 28.39
-28.64 28.4
-28.624 28.408
-28.619 28.414
-28.619 28.426
-28.615 28.435
-28.61 28.454
-28.603 28.467
-28.603 28.476
-28.604 28.483
-28.606 28.491
-28.604 28.498
-28.603 28.505
-28.606 28.506
-28.609 28.51
-28.607 28.516
-28.6 28.526
-28.599 28.53
-28.602 28.538
-28.603 28.543
-28.601 28.55
-28.6 28.56
-28.603 28.569
-28.604 28.578
-28.603 28.585
-28.603 28.587
-28.599 28.593
-28.595 28.602
