segment Namibia
-26.607 15.154
-26.606 15.15
-26.602 15.148
-26.599 15.149
-26.597 15.154
-26.604 15.157
-26.607 15.154
segment Namibia
-27.031 15.202
-27.03 15.198
-27.023 15.195
-27.017 15.189
-27.01 15.188
-27.003 15.182
-26.997 15.18
-26.993 15.181
-26.993 15.186
-26.997 15.189
-27.017 15.2
-27.028 15.204
-27.031 15.202
segment Namibia
-27.129 15.238
-27.128 15.234
-27.123 15.233
-27.114 15.236
-27.115 15.239
-27.117 15.241
-27.129 15.238
segment Namibia
-16.975 13.362
-16.976 13.37
-16.975 13.379
-16.976 13.379
-16.983 13.387
-16.99 13.398
-16.998 13.414
-17 13.42
-17.003 13.43
-17.004 13.433
-17.008 13.448
-17.013 13.461
-17.019 13.469
-17.031 13.483
-17.038 13.486
-17.047 13.489
-17.05 13.49
-17.055 13.493
-17.063 13.501
-17.086 13.521
-17.091 13.522
-17.095 13.523
-17.095 13.524
-17.106 13.522
-17.114 13.518
-17.12 13.508
-17.126 13.505
-17.131 13.507
-17.135 13.511
-17.136 13.52
-17.142 13.528
-17.144 13.535
-17.148 13.545
-17.155 13.556
-17.161 13.569
-17.167 13.578
-17.181 13.595
-17.196 13.615
-17.2 13.627
-17.204 13.634
-17.217 13.644
-17.246 13.678
-17.246 13.691
-17.26 13.712
-17.27 13.718
-17.276 13.737
-17.28 13.751
-17.297 13.776
-17.304 13.784
-17.305 13.79
-17.306 13.792
-17.309 13.798
-17.314 13.802
-17.316 13.803
-17.324 13.814
-17.326 13.822
-17.332 13.839
-17.339 13.85
-17.346 13.868
-17.351 13.881
-17.358 13.886
-17.366 13.901
-17.372 13.905
-17.379 13.915
-17.381 13.916
-17.392 13.918
-17.398 13.924
-17.405 13.928
-17.418 13.929
-17.418 13.931
-17.422 13.941
-17.428 13.949
-17.431 13.952
-17.433 13.957
-17.434 13.972
-17.433 13.982
-17.432 13.993
-17.428 14.002
-17.42 14.016
-17.42 14.019
-17.423 14.028
-17.424 14.038
-17.424 14.04
-17.428 14.046
-17.431 14.05
-17.431 14.059
-17.434 14.069
-17.439 14.084
-17.442 14.094
-17.442 14.099
-17.439 14.105
-17.429 14.109
-17.426 14.112
-17.427 14.117
-17.432 14.13
-17.433 14.135
-17.429 14.139
-17.428 14.148
-17.425 14.157
-17.421 14.162
-17.418 14.164
-17.415 14.173
-17.412 14.181
-17.411 14.189
-17.41 14.197
-17.407 14.205
-17.404 14.21
-17.399 14.213
-17.393 14.213
-17.384 14.214
-17.388 14.332
-17.39 14.638
-17.39 15
-17.39 15.149
-17.396 17
-17.396 17.014
-17.397 17.031
-17.398 17.059
-17.398 17.075
-17.397 17.08
-17.399 17.105
-17.396 17.116
-17.397 17.17
-17.398 17.181
-17.397 17.201
-17.397 17.228
-17.398 17.24
-17.398 17.273
-17.397 17.287
-17.398 17.332
-17.399 17.343
-17.398 17.368
-17.397 17.392
-17.398 17.409
-17.398 17.502
-17.397 17.515
-17.397 17.537
-17.395 17.558
-17.396 17.575
-17.395 17.585
-17.397 17.596
-17.396 17.605
-17.395 17.669
-17.395 17.688
-17.394 17.708
-17.395 17.727
-17.395 17.759
-17.394 17.839
-17.395 17.848
-17.394 17.872
-17.395 17.888
-17.394 17.909
-17.395 17.972
-17.395 18.029
-17.394 18.062
-17.394 18.105
-17.394 18.188
-17.395 18.215
-17.396 18.327
-17.394 18.354
-17.396 18.362
-17.395 18.378
-17.395 18.394
-17.393 18.407
-17.394 18.422
-17.394 18.423
-17.411 18.433
-17.42 18.447
-17.423 18.45
-17.44 18.456
-17.446 18.461
-17.452 18.471
-17.456 18.473
-17.473 18.473
-17.48 18.475
-17.486 18.479
-17.49 18.485
-17.491 18.495
-17.497 18.498
-17.5 18.503
-17.501 18.511
-17.517 18.518
-17.524 18.525
-17.529 18.535
-17.534 18.537
-17.549 18.541
-17.559 18.546
-17.567 18.548
-17.578 18.562
-17.586 18.565
-17.588 18.569
-17.592 18.599
-17.599 18.605
-17.607 18.61
-17.61 18.616
-17.627 18.615
-17.637 18.619
-17.643 18.624
-17.644 18.628
-17.659 18.65
-17.67 18.666
-17.687 18.684
-17.698 18.7
-17.702 18.707
-17.709 18.719
-17.717 18.731
-17.726 18.738
-17.727 18.738
-17.741 18.744
-17.745 18.75
-17.746 18.755
-17.746 18.76
-17.742 18.769
-17.742 18.776
-17.744 18.778
-17.76 18.785
-17.768 18.791
-17.772 18.797
-17.775 18.804
-17.777 18.819
-17.778 18.826
-17.777 18.836
-17.779 18.841
-17.783 18.844
-17.787 18.843
-17.792 18.844
-17.796 18.848
-17.799 18.857
-17.809 18.867
-17.81 18.872
-17.806 18.877
-17.806 18.883
-17.819 18.899
-17.823 18.911
-17.824 18.925
-17.823 18.949
-17.83 18.962
-17.833 18.974
-17.833 18.986
-17.83 18.993
-17.83 19
-17.833 19.009
-17.837 19.029
-17.836 19.061
-17.839 19.083
-17.84 19.108
-17.836 19.117
-17.834 19.119
-17.825 19.121
-17.82 19.124
-17.814 19.131
-17.812 19.14
-17.818 19.165
-17.815 19.168
-17.814 19.171
-17.823 19.192
-17.826 19.209
-17.83 19.222
-17.831 19.223
-17.831 19.229
-17.83 19.232
-17.822 19.239
-17.82 19.245
-17.821 19.249
-17.828 19.257
-17.829 19.263
-17.824 19.269
-17.825 19.274
-17.838 19.292
-17.839 19.298
-17.834 19.303
-17.836 19.307
-17.841 19.312
-17.842 19.317
-17.839 19.323
-17.839 19.33
-17.842 19.333
-17.846 19.334
-17.849 19.331
-17.85 19.323
-17.853 19.32
-17.859 19.325
-17.858 19.331
-17.854 19.338
-17.856 19.348
-17.861 19.353
-17.862 19.357
-17.854 19.36
-17.852 19.363
-17.852 19.367
-17.852 19.371
-17.866 19.39
-17.871 19.404
-17.871 19.412
-17.868 19.421
-17.87 19.436
-17.867 19.442
-17.866 19.45
-17.863 19.456
-17.864 19.46
-17.869 19.467
-17.868 19.475
-17.872 19.485
-17.871 19.487
-17.868 19.495
-17.873 19.5
-17.873 19.504
-17.872 19.505
-17.867 19.505
-17.864 19.507
-17.864 19.511
-17.869 19.534
-17.873 19.55
-17.873 19.57
-17.867 19.58
-17.865 19.596
-17.866 19.606
-17.866 19.614
-17.861 19.623
-17.854 19.646
-17.853 19.65
-17.853 19.662
-17.857 19.676
-17.863 19.683
-17.876 19.69
