segment Sudan
19.246 37.706
19.239 37.713
19.237 37.727
19.231 37.734
19.226 37.73
19.23 37.717
19.234 37.706
19.242 37.699
19.243 37.7
19.246 37.706
segment Sudan
19.228 37.815
19.227 37.816
19.225 37.815
19.221 37.813
19.216 37.813
19.216 37.812
19.216 37.81
19.217 37.81
19.221 37.811
19.226 37.809
19.227 37.81
19.228 37.813
19.228 37.814
19.228 37.815
segment Sudan
19.186 37.598
19.187 37.601
19.185 37.609
19.184 37.61
19.183 37.61
19.182 37.609
19.182 37.608
19.182 37.604
19.182 37.6
19.184 37.598
19.186 37.598
segment Sudan
19.15 37.622
19.154 37.618
19.153 37.615
19.15 37.612
19.154 37.608
19.156 37.61
19.158 37.617
19.157 37.626
19.154 37.627
19.152 37.626
19.15 37.622
segment Sudan
19.052 37.39
19.049 37.397
19.047 37.399
19.039 37.398
19.024 37.401
19.013 37.408
18.997 37.409
18.977 37.403
18.972 37.403
18.963 37.401
18.951 37.402
18.949 37.4
18.95 37.398
18.956 37.395
18.961 37.395
18.984 37.397
18.992 37.4
18.983 37.402
18.993 37.403
19.001 37.398
19.005 37.398
19.009 37.401
19.012 37.399
19.014 37.393
19.018 37.392
19.024 37.392
19.029 37.395
19.041 37.39
19.052 37.39
segment Sudan
18.83 38.149
18.834 38.153
18.839 38.161
18.837 38.175
18.834 38.176
18.83 38.176
18.821 38.172
18.823 38.166
18.828 38.164
18.83 38.149
segment Sudan
18.766 38.016
18.77 38.006
18.769 37.999
18.772 37.995
18.778 37.992
18.781 37.989
18.784 37.989
18.785 37.992
18.792 37.992
18.791 38.009
18.784 38.024
18.77 38.028
18.767 38.026
18.766 38.016
segment Sudan
18.787 37.686
18.78 37.688
18.777 37.695
18.773 37.695
18.766 37.693
18.766 37.691
18.763 37.689
18.763 37.684
18.765 37.682
18.772 37.681
18.779 37.684
18.781 37.683
18.777 37.68
18.782 37.677
18.786 37.679
18.787 37.686
segment Sudan
18.76 37.714
18.76 37.711
18.766 37.705
18.766 37.7
18.771 37.699
18.772 37.7
18.773 37.709
18.772 37.72
18.768 37.726
18.767 37.733
18.761 37.741
18.755 37.743
18.752 37.741
18.757 37.727
18.761 37.724
18.763 37.721
18.763 37.717
18.76 37.714
segment Sudan
18.766 37.491
18.765 37.503
18.755 37.513
18.746 37.52
18.739 37.521
18.736 37.519
18.738 37.516
18.743 37.515
18.754 37.505
18.758 37.493
18.766 37.491
segment Sudan
18.754 37.676
18.751 37.684
18.747 37.687
18.745 37.685
18.747 37.679
18.754 37.676
segment Sudan
18.741 37.51
18.74 37.51
18.738 37.507
18.741 37.504
18.748 37.505
18.748 37.508
18.741 37.51
segment Sudan
18.738 37.678
18.737 37.685
18.734 37.689
18.731 37.686
18.734 37.684
18.735 37.677
18.737 37.676
18.738 37.678
segment Sudan
18.731 37.586
18.734 37.584
18.737 37.587
18.736 37.593
18.738 37.611
18.733 37.618
18.732 37.617
18.733 37.615
18.734 37.613
18.735 37.609
18.731 37.586
segment Sudan
18.242 38.34
18.246 38.344
18.243 38.351
18.233 38.363
18.227 38.368
18.223 38.365
18.228 38.358
18.228 38.354
18.234 38.347
18.234 38.341
18.239 38.339
18.242 38.34
segment Sudan
18.207 38.327
18.209 38.326
18.21 38.32
18.207 38.317
18.213 38.308
18.218 38.306
18.215 38.301
18.224 38.297
18.226 38.305
18.223 38.321
18.221 38.327
18.221 38.332
18.214 38.34
18.207 38.327
segment Sudan
18.169 38.442
18.168 38.437
18.163 38.435
18.16 38.431
18.151 38.432
18.149 38.424
18.151 38.421
18.153 38.422
18.156 38.424
18.16 38.424
18.163 38.427
18.181 38.423
18.181 38.419
18.175 38.418
18.176 38.416
18.18 38.414
18.185 38.416
18.19 38.413
18.192 38.414
18.189 38.42
18.181 38.428
18.182 38.437
18.184 38.44
18.193 38.444
18.197 38.45
18.189 38.459
18.185 38.458
18.183 38.459
18.18 38.461
18.18 38.455
18.176 38.455
18.172 38.461
18.167 38.465
18.163 38.46
18.154 38.463
18.141 38.473
18.137 38.473
18.134 38.471
18.13 38.473
18.128 38.472
18.132 38.467
18.14 38.469
18.143 38.464
18.16 38.456
18.164 38.447
18.169 38.442
segment Sudan
18.154 38.481
18.155 38.483
18.15 38.485
18.146 38.484
18.142 38.48
18.144 38.479
18.15 38.482
