segment Afghanistan
38.123 70.502
38.128 70.503
38.149 70.499
38.162 70.504
38.181 70.513
38.197 70.52
38.206 70.531
38.213 70.534
38.234 70.538
38.253 70.552
38.263 70.558
38.268 70.566
38.277 70.588
38.283 70.597
38.288 70.602
38.307 70.602
38.32 70.609
38.335 70.604
38.343 70.606
38.347 70.612
38.348 70.623
38.346 70.651
38.349 70.657
38.353 70.663
38.356 70.668
38.362 70.685
38.367 70.69
38.376 70.691
38.383 70.69
38.388 70.682
38.391 70.673
38.399 70.674
38.407 70.678
38.411 70.69
38.411 70.702
38.411 70.716
38.413 70.728
38.419 70.741
38.427 70.75
38.44 70.76
38.448 70.765
38.45 70.77
38.45 70.777
38.447 70.783
38.441 70.793
38.439 70.802
38.439 70.809
38.441 70.814
38.444 70.818
38.447 70.819
38.447 70.826
38.443 70.833
38.439 70.84
38.434 70.842
38.432 70.843
38.432 70.846
38.437 70.851
38.446 70.854
38.453 70.855
38.456 70.861
38.462 70.867
38.464 70.873
38.462 70.883
38.459 70.892
38.455 70.896
38.446 70.897
38.437 70.898
38.431 70.904
38.429 70.912
38.426 70.926
38.436 70.934
38.436 70.939
38.435 70.941
38.434 70.95
38.438 70.957
38.451 70.957
38.458 70.954
38.464 70.944
38.472 70.944
38.471 70.948
38.471 70.967
38.475 70.976
38.481 70.984
38.483 70.989
38.482 70.993
38.473 71
38.468 71.004
38.464 71.011
38.461 71.018
38.458 71.021
38.452 71.023
38.441 71.026
38.422 71.034
38.412 71.041
38.405 71.042
38.399 71.045
38.395 71.052
38.396 71.061
38.405 71.065
38.407 71.071
38.412 71.073
38.416 71.08
38.417 71.089
38.417 71.095
38.415 71.098
38.403 71.099
38.4 71.103
38.399 71.11
38.4 71.116
38.4 71.119
38.398 71.121
38.393 71.126
38.393 71.13
38.4 71.136
38.393 71.143
38.387 71.143
38.384 71.149
38.381 71.155
38.381 71.16
38.379 71.163
38.37 71.166
38.359 71.169
38.348 71.175
38.338 71.182
38.34 71.187
38.341 71.193
38.336 71.199
38.33 71.201
38.327 71.202
38.322 71.216
38.32 71.227
38.314 71.24
38.31 71.248
38.309 71.257
38.308 71.268
38.309 71.276
38.309 71.295
38.305 71.3
38.303 71.305
38.302 71.319
38.301 71.322
38.295 71.327
38.289 71.327
38.283 71.327
38.278 71.327
38.269 71.328
38.268 71.333
38.267 71.341
38.267 71.348
38.265 71.354
38.259 71.36
38.247 71.365
38.237 71.367
38.226 71.365
38.221 71.364
38.217 71.367
38.212 71.371
38.208 71.371
38.2 71.368
38.197 71.363
38.186 71.362
38.173 71.362
38.168 71.364
38.162 71.366
38.158 71.364
38.152 71.359
38.15 71.35
38.148 71.342
38.138 71.337
38.123 71.333
38.116 71.327
38.108 71.323
38.09 71.319
38.075 71.317
38.062 71.312
38.049 71.302
38.039 71.291
38.036 71.285
38.029 71.287
38.022 71.288
38.015 71.285
38.012 71.278
38.008 71.274
38.003 71.274
37.999 71.277
37.992 71.274
37.991 71.271
37.99 71.266
37.986 71.267
37.975 71.269
37.962 71.268
37.958 71.267
37.953 71.265
37.947 71.261
37.937 71.26
37.934 71.26
37.933 71.258
37.933 71.253
37.931 71.248
37.925 71.248
37.923 71.253
37.919 71.258
37.915 71.266
37.916 71.273
37.917 71.283
37.928 71.289
37.929 71.291
37.929 71.293
37.913 71.311
37.913 71.31
37.912 71.31
37.909 71.313
37.904 71.317
37.893 71.322
37.885 71.327
37.883 71.332
37.887 71.34
37.89 71.357
37.897 71.366
37.901 71.373
37.902 71.385
37.903 71.403
37.91 71.416
37.915 71.429
37.921 71.444
37.923 71.461
37.932 71.479
37.941 71.493
37.948 71.502
37.952 71.513
37.954 71.529
37.95 71.544
37.942 71.552
37.933 71.566
37.928 71.578
37.92 71.584
37.914 71.585
37.9 71.585
37.893 71.585
37.882 71.588
37.876 71.589
37.87 71.59
37.862 71.59
37.854 71.585
37.845 71.582
37.833 71.582
37.822 71.584
37.813 71.588
37.806 71.591
37.799 71.59
37.797 71.589
37.794 71.583
37.786 71.567
37.78 71.55
37.773 71.542
37.764 71.532
37.758 71.53
37.75 71.53
37.745 71.535
37.74 71.542
37.731 71.545
37.709 71.545
37.707 71.542
37.7 71.54
37.691 71.536
37.676 71.528
37.661 71.524
37.653 71.524
37.648 71.526
37.64 71.522
37.633 71.52
37.626 71.518
37.615 71.514
37.61 71.512
37.6 71.504
37.589 71.506
37.579 71.505
37.571 71.503
37.559 71.499
37.554 71.5
37.55 71.498
37.543 71.495
37.538 71.494
37.534 71.495
37.53 71.499
37.525 71.5
37.517 71.502
37.513 71.506
37.51 71.507
37.505 71.508
37.491 71.515
37.485 71.52
37.478 71.523
37.467 71.519
37.457 71.513
37.454 71.509
37.449 71.504
37.447 71.502
37.403 71.495
37.398 71.492
37.399 71.487
37.401 71.482
37.397 71.478
37.389 71.474
37.384 71.473
37.38 71.478
37.375 71.486
37.372 71.488
37.366 71.489
37.339 71.485
37.333 71.487
37.325 71.49
37.313 71.497
37.308 71.499
37.291 71.495
37.268 71.49
37.248 71.484
37.23 71.476
37.219 71.467
37.21 71.459
37.203 71.457
37.184 71.457
37.18 71.452
37.174 71.446
37.164 71.446
37.152 71.447
37.146 71.445
37.14 71.443
37.131 71.442
37.125 71.44
37.113 71.439
37.107 71.441
37.102 71.441
37.09 71.436
37.079 71.43
37.071 71.427
37.064 71.426
37.055 71.427
37.053 71.431
37.052 71.436
37.047 71.437
37.04 71.438
37.033 71.447
37.025 71.454
37.021 71.458
37.012 71.459
37.002 71.463
36.992 71.466
36.983 71.466
36.977 71.466
36.975 71.463
36.964 71.457
36.952 71.459
36.947 71.467
36.937 71.479
36.926 71.483
36.917 71.488
36.909 71.497
36.901 71.506
36.885 71.512
36.867 71.519
36.854 71.525
36.839 71.535
36.821 71.541
36.809 71.548
36.796 71.55
36.783 71.555
36.777 71.559
36.765 71.559
36.762 71.56
36.757 71.561
36.753 71.565
36.747 71.571
36.74 71.578
36.729 71.585
36.724 71.595
36.719 71.604
36.712 71.616
36.707 71.619
36.699 71.623
36.694 71.627
36.692 71.636
36.69 71.647
36.687 71.651
36.681 71.658
36.678 71.667
36.677 71.682
36.676 71.699
36.674 71.712
36.677 71.724
36.676 71.735
36.677 71.748
36.679 71.757
36.677 71.783
36.681 71.808
36.687 71.83
36.699 71.852
36.709 71.865
36.708 71.865
36.715 71.873
36.721 71.886
36.735 71.896
36.74 71.903
36.756 71.947
36.772 71.958
36.776 71.966
36.782 71.971
36.785 71.979
36.792 71.991
36.8 72.006
36.813 72.01
36.815 72.014
36.816 72.03
36.819 72.034
36.829 72.045
36.834 72.047
36.841 72.076
36.844 72.099
36.847 72.106
36.865 72.116
36.88 72.135
36.886 72.148
36.906 72.173
36.922 72.206
36.935 72.232
36.949 72.258
36.96 72.286
36.977 72.319
36.992 72.373
36.999 72.4
37.005 72.424
37.002 72.447
36.997 72.473
36.998 72.488
36.997 72.503
36.998 72.517
37.001 72.528
37.007 72.547
37.008 72.559
37.017 72.592
37.026 72.607
37.029 72.622
37.027 72.633
37.021 72.65
37.019 72.659
37.021 72.67
37.026 72.676
37.037 72.68
37.052 72.686
37.067 72.697
37.077 72.701
37.094 72.713
37.124 72.738
