segment Bangladesh
24 89.791
23.984 89.795
23.976 89.792
23.972 89.788
23.972 89.781
23.967 89.772
23.964 89.773
23.951 89.784
23.941 89.789
23.939 89.787
23.939 89.781
23.948 89.778
23.958 89.768
23.966 89.765
23.973 89.768
23.977 89.778
23.977 89.786
23.981 89.79
23.986 89.79
23.993 89.789
24 89.785
24 89.791
segment Bangladesh
23.995 89.177
23.991 89.172
23.99 89.154
23.99 89.142
23.993 89.139
23.997 89.143
23.999 89.149
23.999 89.157
23.998 89.167
23.995 89.173
23.995 89.177
segment Bangladesh
23.931 89.232
23.932 89.224
23.951 89.186
23.955 89.182
23.959 89.187
23.961 89.194
23.961 89.225
23.959 89.231
23.954 89.238
23.942 89.25
23.937 89.252
23.933 89.251
23.933 89.248
23.934 89.245
23.946 89.233
23.946 89.23
23.934 89.237
23.932 89.236
23.931 89.232
segment Bangladesh
23.916 89.373
23.907 89.366
23.902 89.367
23.897 89.362
23.893 89.356
23.893 89.352
23.896 89.344
23.899 89.315
23.902 89.313
23.906 89.316
23.91 89.318
23.911 89.315
23.908 89.311
23.908 89.309
23.915 89.304
23.926 89.298
23.93 89.293
23.935 89.29
23.939 89.291
23.94 89.307
23.943 89.319
23.943 89.364
23.94 89.371
23.936 89.375
23.928 89.379
23.919 89.376
23.916 89.373
segment Bangladesh
26.505 88.345
26.526 88.356
26.541 88.36
26.544 88.361
26.564 88.372
26.571 88.371
26.582 88.373
26.588 88.377
26.599 88.388
26.602 88.394
26.602 88.398
26.605 88.398
26.607 88.391
26.611 88.389
26.615 88.391
26.629 88.395
26.631 88.4
26.632 88.408
26.627 88.416
26.62 88.418
26.608 88.416
26.589 88.42
26.571 88.42
26.554 88.429
26.548 88.439
26.545 88.448
26.546 88.455
26.545 88.465
26.544 88.479
26.531 88.486
26.512 88.488
26.511 88.493
26.514 88.504
26.512 88.515
26.485 88.523
26.485 88.535
26.483 88.54
26.486 88.556
26.478 88.556
26.475 88.559
26.47 88.559
26.467 88.56
26.465 88.575
26.461 88.587
26.476 88.598
26.478 88.601
26.476 88.618
26.474 88.621
26.461 88.622
26.434 88.626
26.434 88.643
26.432 88.646
26.43 88.646
26.425 88.648
26.412 88.664
26.412 88.67
26.414 88.683
26.409 88.685
26.404 88.675
26.399 88.692
26.397 88.695
26.392 88.696
26.391 88.684
26.384 88.688
26.368 88.691
26.364 88.696
26.364 88.699
26.364 88.709
26.36 88.712
26.347 88.709
26.35 88.723
26.355 88.729
26.354 88.745
26.347 88.745
26.341 88.74
26.336 88.739
26.333 88.755
26.327 88.754
26.327 88.732
26.324 88.73
26.322 88.729
26.319 88.722
26.323 88.706
26.32 88.697
26.314 88.691
26.301 88.692
26.293 88.704
26.288 88.704
26.285 88.702
26.285 88.695
26.289 88.686
26.303 88.672
26.3 88.664
26.293 88.665
26.291 88.663
26.289 88.66
26.274 88.667
26.27 88.673
26.268 88.68
26.275 88.691
26.28 88.706
26.283 88.715
26.289 88.718
26.299 88.718
26.292 88.745
26.306 88.741
26.307 88.742
26.312 88.745
26.312 88.753
26.304 88.755
26.303 88.759
26.303 88.768
26.307 88.781
26.311 88.789
26.312 88.796
26.307 88.804
26.295 88.814
26.286 88.809
26.276 88.807
26.27 88.812
26.256 88.807
26.255 88.823
26.245 88.824
26.237 88.839
26.236 88.847
26.232 88.857
26.232 88.866
26.235 88.872
26.247 88.867
26.248 88.862
26.253 88.862
26.264 88.858
26.273 88.862
26.282 88.868
26.285 88.87
26.289 88.879
26.289 88.912
26.282 88.921
26.259 88.933
26.252 88.944
26.236 88.959
26.234 88.966
26.238 88.975
26.238 88.976
26.241 88.988
26.238 89
26.229 89.003
26.239 89.026
26.248 89.039
26.248 89.05
26.255 89.059
26.257 89.065
26.264 89.066
26.265 89.065
26.277 89.055
26.289 89.056
26.291 89.047
26.285 89.044
26.286 89.031
26.29 89.025
26.304 89.026
26.311 89.025
26.315 89.017
26.302 89.017
26.303 89
26.303 88.999
26.297 88.996
26.298 88.986
26.306 88.984
26.315 88.981
26.32 88.99
26.324 88.989
26.328 88.997
26.337 88.997
26.335 88.982
26.346 88.985
26.35 88.982
26.355 88.972
26.355 88.964
26.352 88.958
26.346 88.956
26.344 88.946
26.351 88.944
26.357 88.953
26.361 88.958
26.368 88.949
26.358 88.937
26.359 88.931
26.366 88.926
26.363 88.915
26.372 88.913
26.374 88.91
26.379 88.914
26.383 88.914
26.386 88.912
26.404 88.915
26.407 88.901
26.413 88.906
26.412 88.915
26.412 88.919
26.414 88.926
26.419 88.933
26.425 88.932
26.429 88.927
26.439 88.925
26.43 88.937
26.437 88.941
26.439 88.948
26.453 88.943
26.455 88.949
26.461 88.954
26.462 88.957
26.454 88.959
26.454 88.97
26.45 88.976
26.446 88.977
26.427 88.978
26.433 88.99
26.43 88.995
26.421 88.991
26.419 89
26.419 89.001
26.417 89.014
26.406 89.031
26.397 89.049
26.398 89.052
26.399 89.063
26.399 89.073
26.395 89.083
26.396 89.1
26.383 89.098
26.375 89.099
26.366 89.084
26.355 89.104
26.354 89.1
26.349 89.099
26.344 89.102
26.34 89.101
26.336 89.096
26.332 89.091
26.326 89.091
26.323 89.093
26.326 89.115
26.324 89.129
26.319 89.136
26.315 89.139
26.305 89.137
26.299 89.131
26.299 89.125
