segment Jordan
32.74 35.76
32.747 35.764
32.751 35.769
32.752 35.78
32.753 35.783
32.76 35.801
32.757 35.808
32.753 35.809
32.751 35.809
32.743 35.804
32.738 35.808
32.74 35.817
32.735 35.82
32.731 35.826
32.729 35.835
32.729 35.841
32.736 35.862
32.736 35.878
32.733 35.886
32.727 35.895
32.725 35.901
32.726 35.909
32.722 35.92
32.722 35.926
32.725 35.931
32.724 35.937
32.718 35.945
32.707 35.948
32.703 35.952
32.697 35.963
32.697 35.975
32.694 35.98
32.691 35.983
32.682 35.983
32.673 35.973
32.671 35.973
32.665 35.983
32.661 35.994
32.663 36.011
32.662 36.02
32.658 36.033
32.654 36.036
32.643 36.039
32.631 36.039
32.607 36.035
32.604 36.036
32.598 36.045
32.588 36.059
32.576 36.07
32.549 36.084
32.537 36.089
32.518 36.091
32.523 36.111
32.524 36.13
32.524 36.134
32.522 36.165
32.518 36.178
32.528 36.201
32.528 36.206
32.522 36.218
32.493 36.258
32.492 36.259
32.47 36.296
32.443 36.337
32.411 36.373
32.387 36.401
32.382 36.41
32.377 36.464
32.373 36.48
32.368 36.493
32.36 36.502
32.359 36.503
32.355 36.521
32.344 36.648
32.342 36.67
32.339 36.692
32.325 36.713
32.325 36.72
32.332 36.738
32.32 36.787
32.311 36.825
32.312 36.846
32.348 36.889
32.362 36.911
32.391 36.956
32.433 37.034
32.5 37.159
32.568 37.284
32.635 37.41
32.703 37.536
32.77 37.662
32.837 37.789
32.904 37.915
32.93 37.965
32.971 38.042
33.038 38.168
33.106 38.294
33.173 38.421
33.187 38.448
33.24 38.548
33.306 38.676
33.372 38.804
33.278 38.847
33.16 38.9
33.042 38.953
32.925 39.006
32.881 39.026
32.806 39.058
32.688 39.11
32.58 39.156
32.57 39.161
32.452 39.214
32.335 39.266
32.217 39.319
32.221 39.302
32.147 39.205
32.108 39.154
32.062 39.096
32 39.004
31.995 38.997
31.494 37.002
30.501 37.997
30.33 37.668
30 37.502
29.998 37.501
29.867 36.753
29.493 36.496
29.186 36.071
29.353 35
29.359 34.96
29.364 34.967
29.368 34.961
29.373 34.964
29.38 34.961
29.38 34.963
29.388 34.966
29.398 34.96
29.401 34.967
29.404 34.969
29.408 34.975
29.411 34.976
29.422 34.971
29.431 34.973
29.446 34.967
29.462 34.976
29.47 34.975
29.474 34.977
29.503 34.992
29.51 34.994
29.516 35
29.524 35
29.529 34.998
29.535 34.991
29.542 34.978
29.546 34.976
29.548 34.966
29.571 34.976
29.59 34.986
29.604 35
29.605 35.002
29.617 35.02
29.631 35.033
29.65 35.032
29.671 35.03
29.705 35.03
29.767 35.047
29.787 35.05
29.802 35.047
29.821 35.051
29.872 35.081
29.951 35.078
30 35.092
30.023 35.098
30.119 35.176
30.24 35.144
30.276 35.164
30.296 35.16
30.313 35.166
30.335 35.189
30.347 35.192
30.362 35.187
30.401 35.163
30.419 35.152
30.432 35.156
30.449 35.17
30.467 35.177
30.558 35.199
30.575 35.202
30.624 35.231
30.636 35.246
30.658 35.251
30.697 35.276
30.725 35.29
30.766 35.29
30.787 35.299
30.802 35.314
30.808 35.333
30.828 35.338
30.845 35.333
30.863 35.333
30.914 35.36
30.935 35.398
30.949 35.415
30.969 35.415
30.989 35.407
31.005 35.405
31.026 35.409
31.041 35.421
31.076 35.447
31.095 35.453
31.12 35.46
31.136 35.459
31.157 35.454
31.172 35.446
31.223 35.401
31.244 35.39
31.265 35.395
31.281 35.406
31.301 35.417
31.359 35.455
31.4 35.472
31.42 35.475
31.488 35.476
31.53 35.476
31.574 35.478
31.636 35.499
31.72 35.53
31.758 35.556
31.762 35.555
31.817 35.543
31.836 35.551
31.85 35.541
31.867 35.551
31.876 35.533
31.918 35.523
31.933 35.541
31.969 35.548
32 35.531
32.012 35.54
32.018 35.539
32.029 35.528
32.072 35.526
32.086 35.534
32.104 35.537
32.12 35.551
32.131 35.555
32.149 35.557
32.158 35.558
32.183 35.564
32.196 35.573
32.206 35.575
32.217 35.574
32.225 35.572
32.241 35.571
32.256 35.567
32.271 35.569
32.278 35.57
32.292 35.564
32.299 35.564
32.311 35.569
32.329 35.561
32.337 35.562
32.344 35.565
32.359 35.568
32.365 35.565
32.373 35.558
32.39 35.56
32.39 35.561
32.39 35.568
32.403 35.558
32.405 35.559
32.407 35.567
32.411 35.569
32.433 35.566
32.436 35.577
32.45 35.575
32.452 35.578
32.452 35.583
32.457 35.586
32.461 35.584
32.464 35.575
32.469 35.574
32.474 35.575
32.483 35.581
32.492 35.587
32.498 35.588
32.5 35.586
32.503 35.579
32.515 35.572
32.515 35.566
32.518 35.561
32.524 35.567
32.526 35.577
32.529 35.579
32.539 35.572
32.545 35.572
32.546 35.574
32.542 35.58
32.542 35.584
32.552 35.586
32.552 35.596
32.554 35.597
32.572 35.587
32.581 35.587
32.59 35.592
32.592 35.592
32.597 35.59
32.6 35.583
32.605 35.58
32.62 35.582
32.623 35.579
32.633 35.58
32.642 35.594
32.644 35.603
32.647 35.606
32.653 35.605
32.657 35.617
32.671 35.615
32.677 35.621
32.687 35.649
32.694 35.661
32.695 35.686
32.699 35.693
32.702 35.703
32.711 35.719
32.724 35.733
32.726 35.756
32.74 35.76
