segment Nepal
30.203 80.888
30.218 80.903
30.218 80.911
30.213 80.92
30.192 80.92
30.188 80.925
30.183 80.949
30.184 80.962
30.196 80.993
30.196 80.994
30.202 81.02
30.202 81.042
30.204 81.056
30.186 81.073
30.18 81.083
30.167 81.094
30.151 81.103
30.136 81.098
30.124 81.09
30.096 81.091
30.09 81.091
30.079 81.096
30.074 81.104
30.072 81.118
30.064 81.133
30.049 81.157
30.04 81.179
30.03 81.198
30.031 81.205
30.032 81.213
30.036 81.23
30.058 81.256
30.068 81.259
30.084 81.259
30.097 81.265
30.109 81.267
30.129 81.265
30.144 81.264
30.153 81.292
30.15 81.322
30.152 81.338
30.159 81.346
30.181 81.361
30.188 81.368
30.204 81.385
30.216 81.39
30.239 81.389
30.252 81.391
30.296 81.41
30.304 81.411
30.305 81.411
30.317 81.41
30.331 81.404
30.353 81.39
30.381 81.387
30.397 81.391
30.407 81.398
30.414 81.407
30.415 81.414
30.419 81.433
30.423 81.468
30.423 81.483
30.421 81.488
30.417 81.495
30.395 81.509
30.386 81.519
30.38 81.532
30.38 81.536
30.373 81.564
30.371 81.576
30.377 81.581
30.413 81.58
30.427 81.586
30.431 81.594
30.427 81.605
30.431 81.619
30.432 81.623
30.433 81.634
30.431 81.641
30.42 81.656
30.419 81.677
30.414 81.694
30.409 81.704
30.395 81.725
30.389 81.75
30.385 81.765
30.377 81.829
30.369 81.855
30.362 81.892
30.359 81.908
30.354 81.955
30.352 81.963
30.342 81.981
30.336 82.007
30.34 82.019
30.34 82.031
30.341 82.053
30.339 82.071
30.336 82.081
30.333 82.118
30.334 82.131
30.329 82.148
30.326 82.154
30.321 82.159
30.318 82.159
30.313 82.156
30.311 82.155
30.304 82.145
30.297 82.142
30.23 82.159
30.222 82.165
30.211 82.187
30.205 82.192
30.199 82.199
30.176 82.209
30.157 82.209
30.131 82.197
30.118 82.189
30.106 82.187
30.101 82.188
30.093 82.198
30.092 82.2
30.077 82.252
30.069 82.265
30.064 82.28
30.063 82.298
30.061 82.312
30.056 82.323
30.047 82.329
30.046 82.331
30.042 82.344
30.036 82.371
30.03 82.386
30.031 82.396
30.03 82.406
30.025 82.42
30.014 82.431
30.012 82.431
30.015 82.452
30.013 82.46
30.012 82.463
30.007 82.471
30.005 82.481
30.009 82.49
30.007 82.498
30 82.504
29.983 82.517
29.976 82.529
29.969 82.556
29.963 82.569
29.953 82.581
29.943 82.588
29.938 82.596
29.933 82.602
29.919 82.603
29.913 82.606
29.896 82.628
29.863 82.661
29.859 82.67
29.85 82.687
29.84 82.701
29.807 82.726
29.788 82.73
29.77 82.745
29.761 82.75
29.76 82.751
29.755 82.758
29.744 82.785
29.741 82.803
29.736 82.816
29.73 82.826
29.71 82.843
29.704 82.854
29.705 82.874
29.706 82.893
29.704 82.911
29.702 82.919
29.69 82.938
29.675 82.97
29.674 82.978
29.675 82.994
29.672 83.002
29.668 83.007
29.664 83.013
29.663 83.022
29.655 83.039
29.645 83.049
29.63 83.076
29.624 83.101
29.623 83.136
29.622 83.142
29.619 83.149
29.601 83.159
29.602 83.19
29.595 83.212
29.583 83.238
29.575 83.247
29.566 83.252
29.562 83.254
29.531 83.25
29.522 83.255
29.517 83.262
29.515 83.287
29.501 83.325
29.492 83.332
29.488 83.332
29.485 83.333
29.466 83.327
29.456 83.328
29.449 83.333
29.441 83.349
29.433 83.36
29.425 83.368
29.412 83.385
29.4 83.394
29.39 83.399
29.384 83.402
29.37 83.404
29.352 83.424
29.344 83.429
29.314 83.435
29.289 83.443
29.281 83.453
29.28 83.456
29.273 83.477
29.265 83.486
29.255 83.496
29.237 83.503
29.22 83.519
29.208 83.533
29.199 83.549
29.195 83.556
29.194 83.559
29.192 83.572
29.179 83.593
29.174 83.606
29.169 83.621
29.17 83.633
29.175 83.639
29.197 83.65
29.207 83.661
29.209 83.668
29.213 83.677
29.233 83.698
29.242 83.712
29.245 83.719
29.245 83.738
29.238 83.777
29.238 83.786
29.241 83.795
29.244 83.803
29.253 83.814
29.27 83.822
29.283 83.833
29.305 83.877
29.31 83.894
29.312 83.906
29.313 83.918
29.311 83.932
29.306 83.949
29.315 83.966
29.316 83.973
29.306 84.002
29.293 83.997
29.286 83.998
29.277 84.014
29.275 84.018
29.274 84.023
29.283 84.035
29.286 84.042
29.284 84.05
29.273 84.068
29.273 84.077
29.278 84.088
29.276 84.096
29.273 84.102
29.247 84.125
29.243 84.13
29.238 84.137
29.234 84.148
29.231 84.175
29.226 84.19
29.22 84.196
29.212 84.197
29.206 84.191
29.194 84.174
29.186 84.169
29.169 84.167
29.145 84.166
29.125 84.162
29.108 84.163
29.094 84.158
29.087 84.152
29.073 84.136
29.059 84.122
29.056 84.121
29.05 84.118
29.041 84.118
29.029 84.124
29.009 84.151
28.997 84.163
28.987 84.167
28.976 84.169
28.959 84.158
28.951 84.155
28.948 84.154
28.901 84.145
28.89 84.146
28.885 84.152
28.885 84.163
28.9 84.198
28.901 84.213
28.902 84.22
28.91 84.241
28.911 84.255
28.913 84.26
28.909 84.267
28.91 84.269
28.909 84.273
28.89 84.281
28.883 84.288
28.878 84.299
28.877 84.313
28.868 84.328
28.863 84.336
28.859 84.345
28.858 84.375
28.856 84.387
28.852 84.4
28.843 84.413
28.829 84.427
28.82 84.433
28.81 84.435
28.804 84.435
28.791 84.434
28.769 84.42
28.759 84.42
28.745 84.416
28.74 84.417
28.737 84.419
28.736 84.424
28.743 84.433
28.742 84.439
28.745 84.449
28.742 84.461
28.732 84.474
28.726 84.482
28.718 84.514
28.723 84.53
28.723 84.557
28.728 84.576
28.74 84.607
28.74 84.609
28.738 84.62
28.726 84.658
28.719 84.673
28.711 84.678
28.697 84.678
28.66 84.701
28.656 84.703
28.644 84.701
28.631 84.691
28.621 84.686
28.613 84.691
28.611 84.709
28.597 84.74
28.598 84.771
28.598 84.772
28.591 84.821
28.587 84.831
28.568 84.858
28.586 84.88
28.589 84.896
28.59 84.896
28.606 84.917
28.61 84.925
28.614 84.938
28.611 84.959
28.602 84.979
28.601 84.989
28.604 84.999
28.606 85
28.624 85.016
28.648 85.039
28.661 85.054
28.67 85.071
28.676 85.097
28.679 85.115
28.678 85.131
28.675 85.135
28.665 85.151
28.618 85.193
28.609 85.192
28.601 85.182
28.589 85.183
28.574 85.187
28.561 85.186
28.554 85.176
28.498 85.156
28.482 85.155
28.458 85.14
28.457 85.14
28.421 85.13
28.385 85.123
28.381 85.12
28.339 85.111
28.335 85.114
28.333 85.115
28.329 85.123
28.325 85.141
28.325 85.152
28.332 85.176
28.339 85.19
28.342 85.199
28.341 85.205
28.335 85.213
28.323 85.223
28.31 85.231
28.285 85.247
28.282 85.253
28.285 85.275
28.285 85.302
28.291 85.317
28.299 85.33
28.301 85.342
28.291 85.348
28.287 85.362
28.286 85.367
28.283 85.374
28.283 85.381
28.287 85.388
28.313 85.413
28.32 85.425
28.33 85.442
28.332 85.461
28.328 85.491
28.33 85.498
28.33 85.504
28.33 85.518
28.327 85.532
28.314 85.564
28.307 85.575
28.306 85.576
28.301 85.592
28.259 85.623
28.254 85.63
28.253 85.656
28.233 85.677
28.232 85.678
28.216 85.706
28.198 85.731
28.197 85.743
28.21 85.763
28.21 85.77
28.207 85.776
28.196 85.785
28.191 85.795
28.19 85.796
28.186 85.806
28.179 85.815
28.153 85.842
28.115 85.895
28.108 85.9
28.099 85.906
28.086 85.911
28.058 85.912
28.01 85.941
27.994 85.955
27.983 85.964
27.973 85.967
27.966 85.966
27.949 85.954
27.943 85.953
27.939 85.956
27.935 85.961
27.933 85.977
27.924 85.991
27.919 86.004
27.914 86.021
27.911 86.031
27.909 86.045
27.909 86.065
27.912 86.085
27.92 86.102
27.931 86.12
27.939 86.127
27.944 86.125
27.953 86.117
27.957 86.115
27.962 86.113
27.971 86.114
27.989 86.107
28.013 86.079
28.041 86.073
28.071 86.075
28.089 86.076
28.1 86.08
28.112 86.103
28.134 86.13
28.157 86.151
28.164 86.16
28.17 86.167
28.164 86.176
28.159 86.178
28.147 86.177
28.1 86.212
28.094 86.21
28.086 86.198
28.077 86.192
28.073 86.193
28.07 86.193
28.056 86.2
28.011 86.204
27.999 86.209
27.988 86.216
27.981 86.225
27.978 86.239
27.978 86.255
27.978 86.265
27.98 86.276
27.976 86.32
27.972 86.33
27.946 86.349
27.944 86.355
27.946 86.363
27.953 86.377
27.959 86.389
27.965 86.404
27.967 86.421
27.966 86.427
27.962 86.432
27.949 86.423
27.938 86.409
27.926 86.405
27.92 86.406
27.913 86.413
27.91 86.42
27.91 86.428
27.91 86.431
27.929 86.458
27.935 86.474
27.934 86.485
27.929 86.499
27.92 86.512
27.918 86.518
27.923 86.525
27.927 86.528
27.941 86.531
27.946 86.528
27.947 86.527
27.95 86.523
27.959 86.52
27.974 86.501
27.981 86.5
27.996 86.507
28.01 86.507
28.025 86.515
28.033 86.525
28.038 86.542
28.043 86.549
28.044 86.551
28.049 86.557
28.069 86.57
28.081 86.583
28.085 86.593
28.086 86.604
28.075 86.629
28.076 86.636
28.088 86.661
28.09 86.662
28.103 86.673
28.106 86.68
28.108 86.703
28.105 86.721
28.101 86.734
28.094 86.74
28.053 86.745
28.049 86.748
28.044 86.751
28.041 86.757
28.044 86.771
28.043 86.774
28.019 86.798
28.015 86.806
28.014 86.815
28.015 86.82
28.025 86.84
28.028 86.848
28.028 86.853
28.026 86.859
28.019 86.862
28.006 86.867
27.998 86.882
27.989 86.908
27.982 86.919
27.977 86.924
27.959 86.936
27.951 86.961
27.95 86.972
27.952 86.977
27.954 87.011
27.953 87.023
27.939 87.045
27.931 87.052
27.923 87.065
27.898 87.088
27.891 87.095
27.886 87.114
27.88 87.128
27.873 87.137
27.862 87.149
27.856 87.151
27.85 87.148
27.842 87.134
27.835 87.128
27.827 87.132
27.824 87.138
27.828 87.146
27.824 87.156
27.819 87.178
27.819 87.19
27.821 87.213
27.817 87.234
27.823 87.242
27.829 87.246
27.843 87.271
27.843 87.276
27.842 87.285
27.835 87.313
27.829 87.344
27.83 87.356
27.845 87.385
27.851 87.404
27.85 87.411
27.85 87.417
27.852 87.419
27.85 87.425
27.846 87.431
27.84 87.431
27.834 87.421
27.829 87.425
27.823 87.441
27.822 87.464
27.834 87.495
27.837 87.513
27.838 87.517
27.847 87.54
27.863 87.56
27.868 87.58
27.866 87.587
27.86 87.591
27.84 87.59
27.822 87.592
27.818 87.593
27.817 87.595
27.812 87.6
27.81 87.613
27.821 87.636
27.832 87.651
27.832 87.665
27.844 87.696
27.842 87.705
27.835 87.716
27.831 87.719
27.83 87.72
27.818 87.722
27.814 87.726
27.815 87.731
27.827 87.735
27.833 87.742
27.833 87.751
27.829 87.76
27.819 87.775
27.812 87.791
27.812 87.795
27.818 87.799
27.829 87.804
27.834 87.809
27.835 87.813
27.837 87.815
27.835 87.832
27.831 87.847
27.824 87.856
27.808 87.87
27.807 87.874
27.812 87.882
27.811 87.905
27.816 87.918
27.83 87.931
27.84 87.941
27.88 87.956
27.911 87.996
27.916 88
27.917 88.007
27.916 88.019
27.911 88.039
27.906 88.049
27.899 88.059
27.883 88.071
27.875 88.079
27.87 88.088
27.867 88.114
27.875 88.134
27.879 88.136
27.868 88.16
27.855 88.194
27.843 88.199
27.828 88.181
27.822 88.174
27.8 88.19
27.791 88.192
27.787 88.19
27.776 88.175
27.77 88.176
27.761 88.173
27.746 88.172
27.744 88.158
27.74 88.153
27.729 88.151
27.706 88.148
27.698 88.149
27.687 88.144
27.675 88.141
27.665 88.137
27.659 88.127
27.648 88.117
27.641 88.114
27.622 88.116
27.616 88.108
27.592 88.079
27.584 88.075
27.576 88.076
27.57 88.076
27.563 88.073
27.56 88.066
27.552 88.063
27.543 88.053
27.528 88.06
27.523 88.055
27.513 88.053
27.512 88.053
27.495 88.041
27.486 88.04
27.47 88.052
27.459 88.058
27.443 88.064
27.432 88.066
27.427 88.065
27.412 88.045
27.404 88.043
27.386 88.038
27.371 88.037
27.364 88.04
27.356 88.051
27.341 88.056
27.336 88.054
27.31 88.036
27.293 88.029
27.291 88.028
27.276 88.024
27.249 88.021
27.23 88.01
27.211 88.005
27.195 88.006
27.184 88.004
27.174 88.005
27.168 88.003
27.156 87.998
27.152 87.999
27.147 87.997
27.127 87.985
27.121 87.984
27.113 87.984
27.108 87.989
27.1 88.005
27.089 88.013
27.073 88.012
27.06 88.019
27.048 88.025
27.038 88.036
27.034 88.052
27.033 88.071
27.029 88.078
27.012 88.087
27.005 88.096
26.992 88.106
26.986 88.122
26.984 88.128
26.963 88.115
26.956 88.115
26.941 88.122
26.938 88.127
26.926 88.137
26.917 88.141
26.899 88.141
26.881 88.155
26.878 88.161
26.872 88.169
26.868 88.171
26.86 88.173
26.847 88.168
26.825 88.174
26.818 88.18
26.814 88.183
26.797 88.183
26.767 88.189
26.729 88.179
26.717 88.177
26.712 88.175
26.694 88.163
26.674 88.16
26.651 88.162
26.639 88.16
26.619 88.139
26.613 88.137
26.608 88.135
26.598 88.127
26.59 88.125
26.575 88.125
26.573 88.109
26.561 88.109
26.558 88.105
26.544 88.106
26.54 88.102
26.531 88.098
26.522 88.1
26.512 88.092
26.509 88.093
26.479 88.102
26.468 88.098
26.459 88.089
26.451 88.093
26.447 88.087
26.434 88.091
26.428 88.087
26.424 88.078
26.407 88.055
26.401 88.048
26.394 88.036
26.38 88.026
26.366 88.024
26.361 88.013
26.364 88.002
26.371 87.991
26.391 87.986
26.4 87.966
26.413 87.937
26.421 87.925
26.433 87.913
26.441 87.923
26.445 87.922
26.448 87.909
26.448 87.897
26.458 87.905
26.463 87.903
26.473 87.897
26.484 87.89
26.475 87.877
26.466 87.859
26.459 87.854
26.449 87.854
26.441 87.845
26.435 87.842
26.439 87.827
26.449 87.822
26.454 87.812
26.46 87.808
26.461 87.807
26.469 87.784
26.458 87.78
26.448 87.77
26.443 87.772
26.438 87.771
26.431 87.773
26.409 87.756
26.416 87.745
26.416 87.735
26.411 87.723
26.412 87.722
26.425 87.709
26.435 87.688
26.434 87.67
26.419 87.674
26.413 87.667
26.406 87.652
26.402 87.647
26.396 87.645
26.393 87.642
26.393 87.626
26.393 87.62
26.391 87.613
26.382 87.601
26.383 87.586
26.391 87.586
26.397 87.57
26.407 87.552
26.416 87.545
26.424 87.525
26.429 87.514
26.431 87.511
26.433 87.509
26.438 87.495
26.439 87.466
26.436 87.447
26.432 87.436
26.431 87.422
26.427 87.405
26.414 87.379
26.406 87.37
26.406 87.365
26.391 87.356
26.367 87.353
26.361 87.35
26.357 87.339
26.357 87.328
26.362 87.319
26.371 87.308
26.374 87.286
26.377 87.266
26.402 87.264
26.415 87.249
26.418 87.234
26.409 87.221
26.41 87.213
26.416 87.211
26.417 87.187
26.417 87.185
26.408 87.184
26.407 87.162
26.409 87.151
26.414 87.14
26.437 87.11
26.457 87.088
26.467 87.085
26.472 87.083
26.508 87.08
26.535 87.076
26.547 87.071
26.589 87.066
26.589 87.064
26.589 87.041
26.568 87.038
26.56 87.031
26.553 87.028
26.55 87.023
26.534 87.007
26.528 86.992
26.524 86.968
26.524 86.965
26.525 86.955
26.524 86.945
26.516 86.927
26.493 86.924
26.494 86.896
26.466 86.886
26.46 86.873
26.459 86.872
26.457 86.859
26.444 86.838
26.443 86.824
26.447 86.802
26.461 86.763
26.445 86.755
26.443 86.754
26.433 86.745
26.427 86.735
26.427 86.725
26.431 86.718
26.441 86.713
26.44 86.698
26.451 86.69
26.455 86.682
26.461 86.661
26.469 86.639
26.474 86.626
26.484 86.622
26.488 86.614
26.497 86.575
26.501 86.568
26.519 86.551
26.532 86.545
26.539 86.539
26.54 86.535
26.544 86.526
26.545 86.507
26.546 86.499
26.57 86.454
26.577 86.432
26.578 86.418
26.583 86.405
26.587 86.397
26.598 86.388
26.606 86.362
26.61 86.34
26.622 86.341
26.623 86.307
26.617 86.292
26.617 86.29
26.618 86.282
26.619 86.253
26.604 86.237
