segment Vietnam
9.792 104.617
9.794 104.616
9.793 104.611
9.794 104.609
9.797 104.61
9.802 104.617
9.808 104.62
9.817 104.629
9.818 104.639
9.821 104.642
9.822 104.645
9.818 104.649
9.817 104.66
9.814 104.662
9.806 104.659
9.796 104.652
9.793 104.646
9.795 104.624
9.792 104.617
segment Vietnam
9.658 104.352
9.661 104.347
9.681 104.34
9.687 104.342
9.688 104.344
9.692 104.346
9.694 104.35
9.696 104.351
9.707 104.35
9.707 104.352
9.694 104.357
9.686 104.353
9.67 104.354
9.662 104.357
9.659 104.356
9.658 104.352
segment Vietnam
9.696 104.382
9.696 104.378
9.699 104.377
9.705 104.377
9.707 104.38
9.707 104.385
9.705 104.386
9.696 104.382
segment Vietnam
9.661 104.392
9.663 104.391
9.675 104.396
9.672 104.401
9.668 104.397
9.664 104.397
9.661 104.392
segment Vietnam
9.632 104.393
9.636 104.389
9.638 104.39
9.642 104.4
9.64 104.401
9.638 104.4
9.632 104.395
9.632 104.393
segment Vietnam
8.942 104.518
8.941 104.517
8.945 104.512
8.955 104.514
8.955 104.517
8.953 104.519
8.942 104.518
segment Vietnam
8.416 104.828
8.417 104.824
8.419 104.82
8.422 104.818
8.427 104.82
8.436 104.831
8.442 104.833
8.444 104.837
8.45 104.841
8.449 104.845
8.443 104.848
8.44 104.846
8.434 104.84
8.424 104.841
8.416 104.828
segment Vietnam
8.408 104.852
8.41 104.85
8.414 104.849
8.417 104.852
8.417 104.858
8.414 104.859
8.411 104.858
8.409 104.856
8.408 104.852
segment Vietnam
10.312 104.326
10.32 104.322
10.323 104.323
10.324 104.325
10.32 104.327
10.322 104.331
10.321 104.334
10.319 104.336
10.316 104.335
10.312 104.326
segment Vietnam
10.165 104.536
10.165 104.533
10.173 104.532
10.181 104.528
10.183 104.53
10.182 104.534
10.178 104.536
10.173 104.535
10.167 104.537
10.165 104.536
segment Vietnam
10.097 104.5
10.097 104.497
10.099 104.496
10.106 104.5
10.109 104.504
10.102 104.508
10.101 104.504
10.097 104.5
segment Vietnam
8.653 106.551
8.651 106.551
8.648 106.554
8.649 106.56
8.645 106.568
8.645 106.574
8.647 106.574
8.655 106.566
8.661 106.561
8.672 106.556
8.677 106.555
8.683 106.55
8.684 106.551
8.684 106.554
8.682 106.559
8.69 106.562
8.689 106.568
8.691 106.569
8.701 106.57
8.703 106.573
8.704 106.582
8.708 106.583
8.715 106.583
8.723 106.585
8.723 106.592
8.725 106.595
8.726 106.601
8.729 106.605
8.728 106.612
8.733 106.615
8.737 106.615
8.741 106.618
8.742 106.625
8.749 106.63
8.751 106.641
8.757 106.646
8.758 106.655
8.752 106.662
8.749 106.663
8.745 106.661
8.744 106.657
8.746 106.655
8.752 106.651
8.751 106.648
8.746 106.646
8.738 106.658
8.734 106.659
8.731 106.658
8.728 106.652
8.729 106.636
8.727 106.634
8.715 106.63
8.71 106.632
8.705 106.635
8.699 106.644
8.697 106.649
8.693 106.653
8.691 106.651
8.689 106.645
8.694 106.637
8.697 106.632
8.697 106.627
8.696 106.625
8.688 106.622
8.687 106.618
8.688 106.612
8.673 106.594
8.668 106.592
8.659 106.596
8.644 106.606
8.641 106.607
8.638 106.606
8.643 106.587
8.643 106.58
8.641 106.574
8.635 106.558
8.634 106.556
8.627 106.554
8.627 106.551
8.635 106.547
8.64 106.549
8.645 106.547
8.643 106.541
8.646 106.537
8.654 106.534
8.658 106.535
8.659 106.537
8.658 106.544
8.661 106.546
8.661 106.549
8.653 106.551
segment Vietnam
8.731 106.588
8.732 106.58
8.734 106.579
8.737 106.579
8.738 106.583
8.738 106.591
8.736 106.593
8.733 106.592
8.731 106.588
segment Vietnam
8.701 106.541
8.702 106.534
8.704 106.531
8.707 106.533
8.708 106.538
8.705 106.544
8.703 106.543
8.701 106.541
segment Vietnam
8.68 106.736
8.684 106.733
8.686 106.727
8.695 106.732
8.695 106.735
8.687 106.738
8.68 106.736
segment Vietnam
8.652 106.669
8.664 106.66
8.667 106.657
8.673 106.654
8.676 106.655
8.679 106.659
8.679 106.666
8.67 106.675
8.674 106.679
8.67 106.683
8.669 106.686
8.676 106.689
8.677 106.693
8.676 106.695
8.669 106.698
8.668 106.701
8.665 106.704
8.662 106.701
8.663 106.695
8.66 106.692
8.659 106.688
8.663 106.68
8.663 106.676
8.661 106.673
8.654 106.671
8.652 106.669
segment Vietnam
8.595 106.146
8.596 106.143
8.6 106.141
8.604 106.14
8.605 106.142
8.603 106.147
8.598 106.149
8.595 106.146
segment Vietnam
13.601 109.367
13.601 109.365
13.608 109.36
13.607 109.354
13.609 109.352
13.626 109.342
13.63 109.344
13.631 109.348
13.628 109.351
13.622 109.354
13.619 109.361
13.61 109.367
13.605 109.368
13.601 109.367
segment Vietnam
13.27 109.342
13.271 109.338
13.275 109.336
13.28 109.336
13.282 109.338
13.278 109.349
13.272 109.347
13.27 109.342
segment Vietnam
12.707 109.306
12.708 109.3
12.713 109.299
12.718 109.303
12.721 109.317
12.72 109.318
12.717 109.317
12.707 109.306
segment Vietnam
12.639 109.404
12.643 109.399
12.646 109.398
12.651 109.399
12.646 109.407
12.639 109.404
segment Vietnam
12.638 109.352
12.638 109.349
12.641 109.346
12.646 109.345
12.647 109.354
12.639 109.354
12.638 109.352
segment Vietnam
12.544 109.407
12.545 109.402
12.551 109.395
12.554 109.393
12.556 109.39
12.561 109.388
12.562 109.377
12.565 109.376
12.565 109.374
12.569 109.373
12.575 109.365
12.576 109.359
12.583 109.356
12.583 109.352
12.585 109.349
12.586 109.344
12.591 109.342
12.595 109.343
12.598 109.344
12.606 109.336
12.606 109.332
12.604 109.327
12.598 109.322
12.603 109.319
12.607 109.313
12.615 109.308
12.625 109.311
12.626 109.313
12.63 109.317
12.633 109.327
12.631 109.331
12.632 109.337
12.628 109.342
12.627 109.348
12.626 109.35
12.622 109.35
12.619 109.351
12.622 109.354
12.621 109.361
12.622 109.362
12.626 109.365
12.627 109.37
12.623 109.377
12.622 109.384
12.619 109.388
12.614 109.39
12.609 109.388
12.607 109.39
12.599 109.39
12.598 109.393
12.593 109.396
12.59 109.4
12.588 109.401
12.577 109.4
12.576 109.403
12.574 109.404
12.568 109.404
12.564 109.405
12.562 109.409
12.55 109.418
12.546 109.413
12.546 109.408
12.544 109.407
segment Vietnam
12.49 109.305
12.494 109.313
12.495 109.318
12.493 109.319
12.49 109.317
12.488 109.31
12.483 109.308
12.482 109.306
