segment Cyprus
35 32.307
35.008 32.302
35.021 32.296
35.047 32.275
35.059 32.273
35.085 32.276
35.095 32.279
35.098 32.281
35.099 32.288
35.094 32.296
35.091 32.301
35.068 32.328
35.054 32.347
35.045 32.364
35.041 32.38
35.039 32.398
35.039 32.407
35.042 32.426
35.049 32.448
35.072 32.481
35.083 32.493
35.086 32.496
35.1 32.507
35.134 32.524
35.143 32.531
35.157 32.55
35.163 32.552
35.172 32.553
35.174 32.556
35.173 32.562
35.168 32.572
35.169 32.576
35.169 32.581
35.177 32.601
35.177 32.611
35.179 32.615
35.189 32.623
35.189 32.629
35.186 32.637
35.194 32.656
35.194 32.668
35.192 32.677
35.185 32.694
35.185 32.711
35.184 32.715
35.179 32.734
35.178 32.744
35.173 32.749
35.163 32.768
35.16 32.785
35.151 32.8
35.148 32.812
35.143 32.824
35.142 32.833
35.143 32.849
35.145 32.855
35.155 32.873
35.177 32.91
35.182 32.915
35.227 32.932
35.243 32.936
35.267 32.942
35.294 32.946
35.316 32.946
35.337 32.944
35.345 32.94
35.353 32.932
35.359 32.93
35.365 32.93
35.376 32.931
35.387 32.929
35.399 32.925
35.402 32.926
35.401 32.935
35.392 32.957
35.374 32.99
35.362 33.016
35.362 33.021
35.363 33.035
35.362 33.041
35.355 33.058
35.351 33.074
35.351 33.089
35.354 33.099
35.358 33.111
35.363 33.119
35.363 33.126
35.353 33.166
35.35 33.178
35.355 33.223
35.349 33.231
35.347 33.244
35.344 33.249
35.342 33.255
35.345 33.266
35.345 33.27
35.341 33.283
35.342 33.288
35.345 33.295
35.341 33.311
35.34 33.318
35.337 33.347
35.331 33.368
35.333 33.38
35.331 33.405
35.333 33.461
35.332 33.462
35.331 33.469
35.333 33.488
35.335 33.497
35.335 33.513
35.341 33.533
35.344 33.575
35.355 33.612
35.355 33.613
35.354 33.619
35.354 33.629
35.356 33.647
35.366 33.683
35.374 33.702
35.384 33.714
35.4 33.751
35.409 33.773
35.411 33.785
35.411 33.803
35.409 33.83
35.412 33.84
35.41 33.857
35.421 33.899
35.429 33.927
35.438 33.956
35.44 33.973
35.444 33.985
35.468 34.041
35.484 34.077
35.493 34.091
35.499 34.11
35.507 34.129
35.527 34.152
35.541 34.163
35.542 34.165
35.548 34.175
35.554 34.181
35.563 34.183
35.563 34.188
35.557 34.205
35.557 34.212
35.56 34.218
35.556 34.221
35.559 34.23
35.558 34.237
35.563 34.247
35.571 34.257
35.572 34.275
35.577 34.285
35.577 34.287
35.577 34.297
35.58 34.305
35.586 34.313
35.589 34.323
35.593 34.327
35.602 34.329
35.602 34.333
35.601 34.338
35.601 34.343
35.609 34.351
35.622 34.359
35.625 34.363
35.626 34.379
35.633 34.387
35.635 34.393
35.634 34.406
35.634 34.41
35.638 34.42
35.653 34.439
35.656 34.448
35.652 34.468
35.659 34.483
35.66 34.501
35.663 34.506
35.669 34.51
35.677 34.511
35.679 34.516
35.676 34.524
35.678 34.532
35.678 34.533
35.692 34.555
35.697 34.568
35.696 34.582
35.702 34.597
35.7 34.598
35.696 34.592
35.69 34.587
35.679 34.585
35.674 34.58
35.655 34.58
35.649 34.575
35.646 34.57
35.646 34.566
35.643 34.545
35.635 34.539
35.637 34.529
35.604 34.454
35.592 34.435
35.59 34.434
35.581 34.429
35.58 34.424
35.562 34.417
35.557 34.412
35.541 34.389
35.531 34.363
35.518 34.34
35.507 34.327
35.485 34.302
35.448 34.207
35.443 34.197
35.432 34.176
35.405 34.133
35.389 34.114
35.364 34.089
35.357 34.085
35.33 34.075
35.326 34.072
35.322 34.065
35.318 34.052
35.317 34.04
35.317 34.021
35.322 34.002
35.319 33.979
35.312 33.965
35.311 33.964
35.305 33.956
35.295 33.948
35.279 33.939
35.273 33.93
35.248 33.916
35.207 33.907
35.199 33.908
35.198 33.908
35.173 33.918
35.169 33.916
35.168 33.911
35.163 33.906
35.162 33.907
35.162 33.917
35.16 33.921
35.132 33.945
35.123 33.954
35.115 33.966
35.105 33.971
35.095 33.976
35.083 33.987
35.069 34.003
35.039 34.046
35.009 34.069
35.002 34.074
35 34.076
34.986 34.089
34.979 34.081
34.966 34.089
34.964 34.099
34.961 34.101
34.955 34.096
34.955 34.092
34.96 34.089
34.958 34.08
34.958 34.076
34.972 34.05
34.973 34.042
34.974 34.04
34.981 34.029
34.979 34.011
34.982 34.002
34.98 33.992
34.985 33.977
34.984 33.971
34.978 33.964
34.976 33.96
34.975 33.935
34.967 33.914
34.956 33.905
34.951 33.894
34.945 33.886
34.94 33.876
34.939 33.868
34.943 33.857
34.945 33.854
34.957 33.84
34.966 33.827
34.969 33.816
34.975 33.78
34.974 33.712
34.974 33.709
34.972 33.696
34.968 33.688
34.959 33.672
34.95 33.662
34.926 33.65
34.908 33.648
34.89 33.65
34.88 33.647
34.873 33.647
34.865 33.647
34.842 33.629
34.838 33.622
34.818 33.615
34.816 33.612
34.819 33.583
34.818 33.559
34.814 33.551
34.807 33.546
34.799 33.54
34.796 33.531
34.788 33.523
34.787 33.51
34.778 33.504
34.776 33.474
34.773 33.462
34.769 33.452
34.76 33.439
34.751 33.419
34.748 33.414
34.744 33.395
34.732 33.375
34.73 33.372
34.731 33.362
34.723 33.346
34.723 33.338
34.718 33.327
34.723 33.303
34.722 33.297
34.717 33.284
34.714 33.28
34.704 33.276
34.703 33.272
34.711 33.154
34.708 33.137
34.708 33.136
34.696 33.097
34.697 33.095
34.695 33.095
34.689 33.079
34.681 33.065
34.666 33.046
34.656 33.028
34.649 33.021
34.638 33.018
34.635 33.015
34.625 33.014
34.617 33.014
34.605 33.016
34.596 33.019
34.59 33.024
34.573 33.042
34.569 33.042
34.565 33.041
34.564 33.038
34.564 33.031
34.572 33.012
34.571 33
34.576 32.989
34.568 32.972
34.569 32.966
34.57 32.956
34.569 32.95
34.566 32.943
34.568 32.942
34.572 32.943
34.576 32.95
34.582 32.95
34.592 32.946
34.599 32.94
34.621 32.931
34.635 32.92
34.646 32.908
34.652 32.912
34.652 32.903
34.652 32.902
34.66 32.894
34.664 32.887
34.67 32.859
34.666 32.847
34.669 32.833
34.661 32.812
34.664 32.804
34.661 32.775
34.657 32.767
34.654 32.765
34.648 32.753
34.647 32.746
34.648 32.738
34.648 32.729
34.641 32.719
34.641 32.713
34.644 32.704
34.648 32.691
34.651 32.678
34.661 32.648
34.664 32.63
34.669 32.617
34.678 32.605
