segment Anguilla
18.282 -62.963
18.284 -62.963
18.288 -62.961
18.297 -62.959
18.298 -62.955
18.302 -62.951
18.303 -62.948
18.302 -62.943
18.303 -62.937
18.298 -62.932
18.294 -62.936
18.292 -62.946
18.29 -62.951
18.283 -62.959
18.282 -62.963
segment Anguilla
18.167 -63.172
18.17 -63.173
18.177 -63.166
18.179 -63.164
18.188 -63.146
18.197 -63.139
18.199 -63.135
18.202 -63.125
18.2 -63.119
18.205 -63.109
18.204 -63.098
18.206 -63.097
18.209 -63.097
18.21 -63.1
18.211 -63.099
18.223 -63.074
18.227 -63.072
18.238 -63.074
18.241 -63.073
18.243 -63.072
18.245 -63.07
18.265 -63.031
18.265 -63.024
18.269 -63.008
18.266 -63.005
18.265 -63.003
18.268 -62.991
18.271 -62.986
18.275 -62.984
18.283 -62.974
18.278 -62.972
18.274 -62.971
18.271 -62.975
18.263 -62.982
18.258 -62.989
18.256 -62.989
18.255 -62.984
18.249 -62.983
18.242 -62.988
18.235 -62.99
18.235 -62.993
18.231 -62.997
18.23 -63.01
18.229 -63.013
18.218 -63.018
18.215 -63.022
18.199 -63.057
18.192 -63.073
18.181 -63.086
18.175 -63.105
18.182 -63.111
18.183 -63.115
18.177 -63.129
18.175 -63.137
18.169 -63.142
18.169 -63.146
18.17 -63.149
18.169 -63.152
18.171 -63.157
18.167 -63.172
