segment Guatemala
13.806 -90.285
13.81 -90.299
13.814 -90.304
13.816 -90.302
13.817 -90.299
13.809 -90.282
13.807 -90.28
13.806 -90.285
segment Guatemala
17.208 -91.373
17.21 -91.375
17.213 -91.385
17.209 -91.4
17.211 -91.415
17.22 -91.425
17.25 -91.438
17.251 -91.429
17.258 -90.99
17.815 -90.982
17.812 -90
17.809 -89.147
17.049 -89.146
16.017 -89.216
16 -89.217
15.969 -89.22
15.926 -89.225
15.9 -89.223
15.892 -89.222
15.889 -89.217
15.893 -89.206
15.898 -89.194
15.898 -89.186
15.902 -89.185
15.906 -89.184
15.91 -89.181
15.91 -89.178
15.909 -89.173
15.898 -89.161
15.894 -89.15
15.896 -89.144
15.904 -89.134
15.897 -89.127
15.899 -89.12
15.896 -89.117
15.895 -89.113
15.897 -89.112
15.903 -89.115
15.907 -89.109
15.909 -89.102
15.909 -89.093
15.907 -89.088
15.903 -89.086
15.894 -89.081
15.894 -89.078
15.905 -89.078
15.907 -89.076
15.907 -89.073
15.898 -89.066
15.897 -89.062
15.901 -89.063
15.906 -89.061
15.91 -89.062
15.913 -89.061
15.914 -89.058
15.912 -89.056
15.902 -89.053
15.9 -89.05
15.911 -89.042
15.911 -89.036
15.912 -89.033
15.908 -89.023
15.905 -89.019
15.896 -89.016
15.895 -89.012
15.901 -89
15.902 -88.997
15.895 -88.984
15.894 -88.968
15.889 -88.949
15.89 -88.939
15.889 -88.944
15.888 -88.956
15.889 -88.959
15.893 -88.969
15.893 -88.974
15.89 -88.978
15.882 -88.991
15.879 -88.986
15.88 -88.98
15.884 -88.983
15.889 -88.972
15.886 -88.964
15.884 -88.958
15.883 -88.953
15.886 -88.945
15.884 -88.924
15.885 -88.921
15.891 -88.915
15.892 -88.912
15.886 -88.903
15.871 -88.895
15.859 -88.886
15.858 -88.881
15.862 -88.876
15.858 -88.871
15.858 -88.866
15.86 -88.863
15.859 -88.859
15.86 -88.858
15.862 -88.856
15.86 -88.839
15.871 -88.829
15.863 -88.819
15.859 -88.801
15.851 -88.79
15.841 -88.769
15.834 -88.759
15.827 -88.753
15.823 -88.752
15.812 -88.732
15.813 -88.729
15.81 -88.725
15.805 -88.723
15.804 -88.723
15.8 -88.72
15.784 -88.688
15.771 -88.674
15.752 -88.646
15.751 -88.634
15.748 -88.628
15.74 -88.626
15.739 -88.629
15.736 -88.633
15.728 -88.627
15.729 -88.632
15.728 -88.634
15.724 -88.633
15.723 -88.635
15.72 -88.637
15.715 -88.636
15.714 -88.64
15.709 -88.647
15.706 -88.648
15.699 -88.648
15.692 -88.643
15.693 -88.636
15.69 -88.632
15.692 -88.627
15.69 -88.619
15.691 -88.616
15.695 -88.611
15.694 -88.604
15.696 -88.601
15.703 -88.601
15.705 -88.597
15.711 -88.603
15.712 -88.604
15.716 -88.605
15.723 -88.605
15.734 -88.602
15.738 -88.598
15.738 -88.59
15.74 -88.586
15.753 -88.576
15.755 -88.577
15.751 -88.582
15.752 -88.585
15.756 -88.587
15.762 -88.585
15.772 -88.578
15.785 -88.567
