segment Tuvalu
-5.643 176.065
-5.642 176.067
-5.644 176.071
-5.647 176.074
-5.647 176.079
-5.65 176.08
-5.651 176.083
-5.652 176.082
-5.653 176.076
-5.652 176.072
-5.652 176.07
-5.651 176.068
-5.65 176.066
-5.648 176.065
-5.647 176.065
-5.643 176.065
segment Tuvalu
-5.677 176.123
-5.676 176.123
-5.677 176.124
-5.679 176.125
-5.681 176.127
-5.683 176.128
-5.685 176.131
-5.686 176.133
-5.685 176.134
-5.684 176.134
-5.683 176.134
-5.681 176.133
-5.676 176.131
-5.673 176.13
-5.67 176.128
-5.669 176.129
-5.671 176.131
-5.673 176.133
-5.677 176.135
-5.68 176.136
-5.685 176.14
-5.689 176.141
-5.694 176.143
-5.698 176.144
-5.701 176.146
-5.705 176.148
-5.708 176.15
-5.709 176.15
-5.708 176.148
-5.706 176.146
-5.704 176.144
-5.701 176.142
-5.695 176.139
-5.694 176.136
-5.692 176.134
-5.689 176.132
-5.686 176.127
-5.682 176.124
-5.679 176.121
-5.677 176.119
-5.676 176.119
-5.676 176.12
-5.677 176.123
segment Tuvalu
-6.108 177.291
-6.107 177.293
-6.107 177.295
-6.108 177.297
-6.109 177.299
-6.11 177.301
-6.109 177.303
-6.109 177.306
-6.109 177.309
-6.11 177.312
-6.112 177.312
-6.115 177.313
-6.116 177.312
-6.118 177.311
-6.119 177.31
-6.12 177.308
-6.121 177.305
-6.12 177.302
-6.121 177.299
-6.12 177.295
-6.117 177.294
-6.115 177.292
-6.112 177.29
-6.109 177.289
-6.108 177.291
segment Tuvalu
-6.277 176.317
-6.279 176.319
-6.28 176.32
-6.283 176.322
-6.285 176.323
-6.288 176.326
-6.291 176.326
-6.294 176.325
-6.297 176.322
-6.301 176.319
-6.304 176.317
-6.304 176.316
-6.302 176.314
-6.299 176.313
-6.296 176.312
-6.293 176.31
-6.29 176.31
-6.285 176.311
-6.281 176.314
-6.277 176.317
segment Tuvalu
-7.182 177.15
-7.184 177.151
-7.187 177.153
-7.19 177.155
-7.195 177.156
-7.199 177.157
-7.202 177.156
-7.202 177.155
-7.2 177.154
-7.196 177.152
-7.194 177.151
-7.191 177.149
-7.187 177.145
-7.185 177.145
-7.183 177.147
-7.182 177.15
segment Tuvalu
-7.237 177.15
-7.236 177.15
-7.237 177.151
-7.239 177.152
-7.24 177.154
-7.24 177.156
-7.242 177.158
-7.242 177.161
-7.24 177.164
-7.239 177.166
-7.241 177.166
-7.242 177.165
-7.243 177.163
-7.244 177.161
-7.246 177.159
-7.246 177.156
-7.246 177.153
-7.246 177.15
-7.245 177.148
-7.244 177.146
-7.24 177.146
-7.238 177.146
-7.235 177.147
-7.236 177.149
-7.237 177.15
segment Tuvalu
-7.452 178.668
-7.464 178.681
-7.466 178.679
-7.469 178.679
-7.471 178.676
-7.478 178.681
-7.484 178.683
-7.486 178.686
-7.483 178.688
-7.481 178.689
-7.479 178.689
-7.476 178.688
-7.475 178.685
-7.475 178.684
-7.474 178.684
-7.472 178.685
-7.471 178.685
-7.471 178.686
-7.472 178.688
-7.471 178.689
-7.47 178.69
-7.47 178.693
-7.472 178.694
-7.474 178.695
-7.476 178.697
-7.478 178.698
-7.48 178.699
-7.482 178.699
-7.494 178.69
-7.494 178.685
-7.488 178.682
-7.484 178.679
-7.481 178.677
-7.478 178.675
-7.473 178.673
-7.469 178.669
-7.466 178.665
-7.463 178.663
-7.461 178.66
-7.458 178.659
-7.455 178.658
-7.453 178.657
-7.451 178.658
-7.449 178.66
-7.449 178.663
-7.45 178.665
-7.45 178.664
-7.45 178.662
-7.45 178.66
-7.451 178.66
-7.454 178.661
-7.456 178.662
-7.458 178.663
-7.456 178.664
-7.455 178.664
-7.453 178.665
-7.452 178.668
segment Tuvalu
-7.974 178.425
-7.971 178.426
-7.969 178.427
-7.971 178.427
-7.974 178.425
segment Tuvalu
-7.999 178.41
-8 178.406
-7.995 178.407
-7.989 178.412
-7.984 178.415
-7.979 178.42
-7.976 178.422
-7.975 178.424
-7.977 178.423
-7.982 178.42
-7.986 178.418
-7.991 178.415
-7.993 178.412
-7.995 178.411
-7.999 178.41
segment Tuvalu
-8.535 179.178
-8.517 179.188
-8.509 179.189
-8.501 179.186
-8.489 179.186
-8.487 179.185
-8.474 179.177
-8.458 179.173
-8.459 179.176
-8.469 179.179
-8.487 179.19
-8.492 179.191
-8.498 179.19
-8.523 179.193
-8.528 179.192
-8.533 179.187
-8.537 179.179
-8.535 179.178
segment Tuvalu
-8.623 179.088
-8.633 179.091
-8.629 179.087
-8.62 179.085
-8.614 179.091
-8.618 179.091
-8.623 179.088
segment Tuvalu
-9.378 179.837
-9.377 179.834
-9.375 179.833
-9.371 179.833
-9.36 179.829
-9.356 179.823
-9.358 179.819
-9.357 179.816
-9.352 179.821
-9.355 179.829
-9.363 179.834
-9.37 179.837
-9.377 179.836
-9.378 179.837
segment Tuvalu
-9.396 179.848
-9.395 179.851
-9.398 179.854
-9.402 179.858
-9.409 179.862
-9.417 179.863
-9.435 179.863
-9.436 179.859
-9.433 179.857
-9.423 179.859
-9.403 179.853
-9.396 179.848
