segment Alabama
35.005 -87.878
35.006 -87.878
35.006 -87.873
35.006 -87.854
35.006 -87.853
35.006 -87.852
35.005 -87.821
35.005 -87.774
35.005 -87.768
35.005 -87.759
35.004 -87.709
35.004 -87.702
35.004 -87.701
35.004 -87.697
35.004 -87.689
35.004 -87.671
35.004 -87.664
35.004 -87.625
35.004 -87.583
35.004 -87.577
35.003 -87.536
35.003 -87.493
35.003 -87.443
35.003 -87.437
35.003 -87.429
35.003 -87.422
35.003 -87.417
35.002 -87.391
35.002 -87.386
35.002 -87.381
35.002 -87.359
35.002 -87.349
35.001 -87.299
35 -87.27
34.999 -87.231
34.999 -87.217
34.999 -87.211
34.998 -87.163
34.998 -87.14
34.997 -87.123
34.996 -87.03
34.995 -87.011
34.995 -87
34.995 -86.989
34.995 -86.974
34.995 -86.973
34.995 -86.97
34.994 -86.967
34.993 -86.927
34.992 -86.879
34.992 -86.862
34.992 -86.857
34.992 -86.85
34.992 -86.846
34.992 -86.836
34.992 -86.821
34.992 -86.819
34.992 -86.784
34.992 -86.678
34.992 -86.677
34.992 -86.674
34.992 -86.671
34.992 -86.66
34.992 -86.641
34.991 -86.6
34.991 -86.589
34.991 -86.571
34.991 -86.556
34.991 -86.528
34.991 -86.523
34.991 -86.487
34.991 -86.473
34.991 -86.468
34.991 -86.434
34.992 -86.397
34.992 -86.378
34.991 -86.321
34.991 -86.311
34.991 -86.254
34.99 -86.206
34.99 -86.18
34.99 -86.153
34.99 -86.073
34.99 -86.067
34.99 -86.061
34.989 -85.931
34.989 -85.904
34.989 -85.898
34.988 -85.861
34.988 -85.829
34.988 -85.824
34.988 -85.823
34.988 -85.808
34.987 -85.727
34.986 -85.702
34.986 -85.7
34.986 -85.695
34.985 -85.613
34.985 -85.611
34.985 -85.605
34.952 -85.599
34.945 -85.599
34.924 -85.595
34.892 -85.589
34.86 -85.583
34.824 -85.576
34.787 -85.569
34.75 -85.561
34.731 -85.557
34.708 -85.552
34.707 -85.552
34.678 -85.546
34.66 -85.542
34.657 -85.541
34.625 -85.534
34.624 -85.534
34.589 -85.527
34.543 -85.517
34.529 -85.515
34.525 -85.514
34.524 -85.514
34.518 -85.512
34.501 -85.508
34.475 -85.502
34.474 -85.502
34.393 -85.485
34.381 -85.482
34.346 -85.474
34.345 -85.474
34.328 -85.47
34.314 -85.468
34.292 -85.463
34.269 -85.459
34.266 -85.458
34.253 -85.455
34.251 -85.455
34.2 -85.445
34.19 -85.443
34.149 -85.434
34.125 -85.429
34.114 -85.428
34.113 -85.428
34.072 -85.42
34.032 -85.412
34.002 -85.407
34.001 -85.406
34 -85.406
33.964 -85.399
33.877 -85.382
33.856 -85.377
33.851 -85.376
33.791 -85.365
33.788 -85.365
33.774 -85.362
33.768 -85.36
33.75 -85.357
33.739 -85.355
33.683 -85.344
33.68 -85.344
33.622 -85.332
33.58 -85.324
33.538 -85.315
33.536 -85.315
33.535 -85.315
33.53 -85.314
33.483 -85.304
33.44 -85.296
33.433 -85.295
33.323 -85.274
33.266 -85.263
33.23 -85.256
33.211 -85.252
33.163 -85.243
33.135 -85.237
33.108 -85.232
33.063 -85.223
33.056 -85.222
32.997 -85.21
32.967 -85.204
32.913 -85.193
32.9 -85.191
32.89 -85.189
32.882 -85.187
32.88 -85.187
32.878 -85.186
32.875 -85.186
32.874 -85.185
32.872 -85.185
32.871 -85.185
32.871 -85.184
32.869 -85.185
32.863 -85.185
32.861 -85.184
32.857 -85.181
32.855 -85.179
32.855 -85.178
32.854 -85.177
32.853 -85.173
32.852 -85.17
32.852 -85.168
32.852 -85.166
32.851 -85.163
32.85 -85.162
32.849 -85.161
32.848 -85.161
32.847 -85.16
32.846 -85.16
32.844 -85.16
32.843 -85.159
32.841 -85.159
32.84 -85.159
32.838 -85.161
32.835 -85.165
32.834 -85.165
32.833 -85.165
32.833 -85.166
32.829 -85.168
32.824 -85.168
32.817 -85.169
32.814 -85.169
32.812 -85.168
32.806 -85.164
32.804 -85.162
32.796 -85.153
32.795 -85.153
32.794 -85.152
32.793 -85.151
32.79 -85.146
32.788 -85.143
