segment Idaho
49.001 -116.049
48.813 -116.049
48.626 -116.049
48.619 -116.049
48.502 -116.049
48.481 -116.049
48.413 -116.05
48.329 -116.049
48.31 -116.049
48.308 -116.049
48.275 -116.05
48.261 -116.05
48.25 -116.049
48.238 -116.05
48.167 -116.049
48.125 -116.049
48.077 -116.049
48.067 -116.049
48.06 -116.049
48 -116.049
47.977 -116.049
47.977 -116.048
47.975 -116.045
47.973 -116.041
47.971 -116.038
47.973 -116.031
47.964 -116.021
47.96 -116.017
47.953 -116.01
47.95 -116.007
47.939 -115.998
47.934 -115.995
47.926 -115.994
47.916 -115.983
47.914 -115.969
47.91 -115.965
47.898 -115.96
47.893 -115.953
47.886 -115.943
47.884 -115.942
47.883 -115.94
47.878 -115.936
47.865 -115.926
47.857 -115.919
47.854 -115.916
47.846 -115.906
47.846 -115.905
47.843 -115.901
47.85 -115.882
47.843 -115.875
47.842 -115.874
47.835 -115.871
47.828 -115.852
47.815 -115.845
47.809 -115.849
47.785 -115.847
47.78 -115.84
47.775 -115.837
47.77 -115.835
47.761 -115.835
47.756 -115.832
47.752 -115.825
47.756 -115.812
47.758 -115.804
47.758 -115.797
47.749 -115.787
47.743 -115.78
47.734 -115.782
47.729 -115.784
47.72 -115.776
47.717 -115.772
47.717 -115.763
47.719 -115.759
47.717 -115.752
47.704 -115.731
47.697 -115.724
47.696 -115.724
47.691 -115.724
47.675 -115.726
47.672 -115.727
47.664 -115.731
47.655 -115.736
47.642 -115.73
47.636 -115.715
47.635 -115.709
47.623 -115.694
47.617 -115.693
47.595 -115.689
47.577 -115.706
47.576 -115.721
47.567 -115.735
47.555 -115.747
47.549 -115.749
47.548 -115.748
47.543 -115.747
47.539 -115.741
47.534 -115.723
47.533 -115.72
47.533 -115.717
47.53 -115.71
47.524 -115.71
47.517 -115.709
47.515 -115.709
47.513 -115.709
47.506 -115.701
47.503 -115.699
47.499 -115.694
47.486 -115.687
47.485 -115.682
47.479 -115.661
47.478 -115.656
47.478 -115.655
47.476 -115.653
47.468 -115.654
47.457 -115.664
47.454 -115.671
47.455 -115.68
47.457 -115.693
47.453 -115.718
47.45 -115.723
47.445 -115.729
47.433 -115.731
47.429 -115.729
47.425 -115.723
47.424 -115.721
47.423 -115.721
47.421 -115.719
47.418 -115.71
47.415 -115.691
47.401 -115.658
47.39 -115.648
47.382 -115.644
47.379 -115.639
47.38 -115.634
47.383 -115.617
47.381 -115.609
47.378 -115.602
47.377 -115.601
47.369 -115.582
47.367 -115.579
47.364 -115.576
47.356 -115.571
47.353 -115.565
47.353 -115.556
47.35 -115.551
47.338 -115.549
47.333 -115.549
47.332 -115.549
47.32 -115.538
47.314 -115.532
47.306 -115.528
47.303 -115.527
47.295 -115.512
47.29 -115.496
47.287 -115.487
47.285 -115.471
47.278 -115.457
47.277 -115.444
47.279 -115.428
47.276 -115.423
47.272 -115.422
47.264 -115.411
47.264 -115.404
47.265 -115.379
47.265 -115.372
47.261 -115.366
47.259 -115.359
47.26 -115.35
47.262 -115.339
47.256 -115.327
47.245 -115.325
47.244 -115.324
47.233 -115.317
47.23 -115.312
47.23 -115.307
47.225 -115.299
47.221 -115.295
47.21 -115.292
47.206 -115.296
47.194 -115.301
47.188 -115.301
47.187 -115.298
47.184 -115.287
47.183 -115.286
47.182 -115.262
47.175 -115.256
47.163 -115.255
47.161 -115.254
47.155 -115.248
47.15 -115.244
47.149 -115.23
47.149 -115.223
47.139 -115.201
47.131 -115.189
47.113 -115.173
47.106 -115.17
47.093 -115.14
47.085 -115.14
47.078 -115.137
47.068 -115.128
47.061 -115.121
47.049 -115.107
47.047 -115.103
47.049 -115.098
47.046 -115.088
47.039 -115.083
47.036 -115.081
47.025 -115.074
47.022 -115.071
47.015 -115.07
47.003 -115.067
46.996 -115.066
46.987 -115.057
46.975 -115.052
46.971 -115.05
46.97 -115.048
