segment Kansas
40.003 -102.052
40.003 -101.917
40.003 -101.904
40.003 -101.862
40.003 -101.841
40.003 -101.832
40.003 -101.808
40.003 -101.805
40.003 -101.783
40.003 -101.748
40.003 -101.627
40.003 -101.626
40.003 -101.58
40.003 -101.542
40.002 -101.417
40.002 -101.411
40.002 -101.41
40.002 -101.387
40.003 -101.374
40.003 -101.343
40.003 -101.324
40.003 -101.294
40.003 -101.287
40.003 -101.249
40.003 -101.215
40.002 -101.192
40.002 -101.187
40.002 -101.179
40.003 -101.169
40.002 -101.131
40.002 -101.105
40.002 -101.06
40.002 -101.028
40.002 -100.962
40.002 -100.937
40.002 -100.765
40.002 -100.759
40.002 -100.752
40.002 -100.739
40.002 -100.733
40.002 -100.73
40.002 -100.721
40.002 -100.683
40.002 -100.66
40.002 -100.645
40.002 -100.627
40.002 -100.601
40.002 -100.595
40.002 -100.567
40.002 -100.552
40.002 -100.514
40.002 -100.511
40.002 -100.487
40.002 -100.477
40.002 -100.476
40.002 -100.469
40.002 -100.447
40.002 -100.439
40.002 -100.402
40.002 -100.39
40.002 -100.29
40.002 -100.232
40.002 -100.229
40.002 -100.215
40.001 -100.197
40.002 -100.194
40.002 -100.19
40.002 -100.188
40.002 -100.178
40.002 -99.991
40.002 -99.987
40.002 -99.948
40.002 -99.944
40.002 -99.93
40.002 -99.907
40.001 -99.85
40.001 -99.813
40.002 -99.776
40.002 -99.772
40.002 -99.764
40.001 -99.757
40.002 -99.747
40.002 -99.738
40.002 -99.732
40.002 -99.72
40.002 -99.628
40.002 -99.626
40.002 -99.515
40.002 -99.502
40.002 -99.499
40.002 -99.498
40.002 -99.493
40.002 -99.481
40.002 -99.424
40.002 -99.413
40.002 -99.403
40.002 -99.367
40.002 -99.291
40.002 -99.287
40.002 -99.283
40.002 -99.254
40.002 -99.25
40.002 -99.216
40.002 -99.198
40.002 -99.189
40.002 -99.187
40.002 -99.179
40.002 -99.17
40.002 -99.123
40.002 -99.114
40.002 -99.086
40.002 -99.067
40.002 -99.02
40.002 -99.019
40.002 -98.992
40.002 -98.972
40.002 -98.961
40.002 -98.954
40.002 -98.935
40.002 -98.844
40.002 -98.842
40.002 -98.834
40.002 -98.821
40.002 -98.777
40.002 -98.775
40.002 -98.729
40.002 -98.726
40.002 -98.71
40.002 -98.693
40.003 -98.691
40.003 -98.69
40.002 -98.673
40.002 -98.67
40.002 -98.654
40.002 -98.652
40.002 -98.641
40.002 -98.616
40.002 -98.614
40.002 -98.593
40.002 -98.575
40.002 -98.561
40.002 -98.543
40.002 -98.523
40.002 -98.507
40.002 -98.504
40.002 -98.501
40.002 -98.491
40.002 -98.442
40.002 -98.392
40.003 -98.274
40.002 -98.268
40.002 -98.25
40.003 -98.213
40.003 -98.193
40.002 -98.179
40.002 -98.172
40.002 -98.157
40.002 -98.142
40.002 -98.1
40.002 -98.076
40.002 -98.069
40.002 -98.05
40.002 -98.047
40.002 -98.043
40.002 -98.014
40.002 -98.01
40.002 -97.972
40.002 -97.932
40.002 -97.876
40.002 -97.857
40.002 -97.838
40.002 -97.822
40.002 -97.819
40.002 -97.777
40.002 -97.771
40.002 -97.769
40.002 -97.768
40.002 -97.715
40.002 -97.707
40.002 -97.701
40.002 -97.614
40.002 -97.596
40.002 -97.594
40.002 -97.515
40.002 -97.511
40.002 -97.51
40.002 -97.489
40.002 -97.481
40.002 -97.463
40.002 -97.445
40.002 -97.425
40.002 -97.418
40.002 -97.416
40.002 -97.369
40.002 -97.351
40.002 -97.35
40.002 -97.257
40.002 -97.245
40.001 -97.245
40.001 -97.202
40.002 -97.2
40.002 -97.182
40.002 -97.165
40.002 -97.164
40.002 -97.158
40.001 -97.144
40.001 -97.142
40.002 -97.138
40.001 -97.05
40.001 -97.031
40.001 -97.009
40.002 -96.918
40.002 -96.916
40.001 -96.88
40.001 -96.878
40.001 -96.875
40.001 -96.874
40.001 -96.869
40.001 -96.805
40.001 -96.693
40.001 -96.622
40.001 -96.61
40.001 -96.605
40.001 -96.582
40.001 -96.581
40.001 -96.571
40.001 -96.558
40.001 -96.539
40.001 -96.527
40.001 -96.47
40.001 -96.468
40.001 -96.464
40.001 -96.355
40.001 -96.351
40.001 -96.342
40.001 -96.305
40.001 -96.301
40.001 -96.239
40.001 -96.224
40.001 -96.22
40 -96.154
40 -96.147
40 -96.126
40.001 -96.09
40.001 -96.081
40.001 -96.052
40.001 -96.024
40.001 -96.015
40.001 -96.011
40.001 -95.995
40.001 -95.958
40 -95.902
40 -95.883
40 -95.788
40 -95.785
40 -95.673
40 -95.659
40 -95.64
40 -95.565
40 -95.463
40 -95.455
40 -95.452
40 -95.439
40 -95.436
40 -95.426
40 -95.421
40 -95.415
40 -95.375
40 -95.34
40 -95.326
40 -95.308
39.994 -95.308
39.991 -95.308
39.989 -95.307
39.984 -95.303
39.978 -95.29
39.972 -95.275
39.969 -95.27
39.961 -95.262
39.955 -95.258
39.949 -95.25
39.945 -95.241
39.944 -95.237
39.944 -95.231
39.944 -95.22
39.944 -95.216
39.943 -95.214
39.939 -95.204
39.934 -95.201
39.928 -95.201
39.922 -95.202
39.915 -95.206
39.912 -95.206
39.91 -95.206
39.908 -95.206
39.905 -95.203
39.904 -95.202
39.903 -95.2
39.903 -95.199
39.901 -95.194
39.9 -95.19
39.9 -95.179
39.902 -95.172
39.907 -95.16
39.907 -95.156
39.907 -95.153
39.906 -95.152
39.906 -95.15
39.905 -95.148
39.904 -95.146
39.902 -95.144
39.898 -95.143
39.895 -95.142
39.889 -95.143
39.886 -95.143
39.882 -95.141
39.878 -95.137
39.877 -95.135
39.874 -95.128
39.869 -95.106
39.863 -95.091
39.863 -95.09
39.862 -95.085
39.862 -95.082
39.862 -95.08
39.864 -95.053
39.865 -95.042
39.866 -95.038
39.867 -95.034
39.868 -95.032
39.869 -95.031
39.872 -95.028
39.876 -95.026
39.877 -95.025
39.879 -95.025
39.886 -95.026
39.887 -95.026
39.889 -95.025
39.89 -95.025
39.891 -95.024
39.894 -95.022
39.897 -95.019
39.898 -95.018
39.9 -95.013
39.9 -95.011
39.901 -95.008
39.9 -95.004
39.897 -94.99
39.897 -94.988
39.897 -94.987
39.897 -94.985
39.897 -94.979
39.897 -94.978
39.901 -94.963
39.902 -94.959
39.902 -94.958
39.901 -94.952
39.898 -94.944
39.894 -94.935
39.893 -94.934
39.889 -94.93
39.886 -94.928
39.884 -94.927
39.88 -94.927
39.876 -94.928
39.873 -94.931
39.867 -94.939
39.864 -94.941
39.861 -94.942
39.857 -94.943
39.852 -94.94
39.85 -94.938
39.841 -94.926
39.836 -94.917
39.834 -94.91
39.834 -94.903
39.834 -94.893
39.834 -94.889
39.833 -94.887
39.829 -94.881
39.827 -94.879
39.824 -94.877
39.821 -94.877
39.813 -94.876
39.807 -94.876
39.806 -94.877
39.797 -94.881
39.794 -94.884
39.792 -94.89
39.791 -94.893
39.79 -94.913
39.79 -94.925
39.79 -94.926
39.789 -94.927
39.788 -94.93
39.787 -94.931
39.786 -94.933
39.783 -94.935
39.779 -94.936
39.776 -94.935
39.775 -94.935
39.774 -94.935
39.774 -94.934
39.769 -94.93
39.769 -94.929
39.768 -94.929
39.766 -94.926
39.765 -94.924
39.761 -94.917
39.759 -94.912
39.759 -94.906
39.76 -94.906
39.761 -94.901
39.761 -94.899
39.763 -94.895
39.764 -94.894
39.77 -94.884
39.771 -94.881
39.772 -94.875
39.773 -94.871
39.773 -94.87
39.772 -94.867
39.77 -94.865
39.767 -94.863
39.763 -94.861
39.754 -94.859
39.75 -94.86
39.743 -94.863
39.735 -94.87
39.73 -94.876
39.727 -94.884
39.725 -94.892
39.724 -94.899
39.724 -94.901
39.724 -94.902
39.724 -94.903
39.725 -94.906
39.725 -94.907
39.725 -94.908
39.726 -94.91
39.726 -94.911
39.729 -94.918
39.735 -94.93
39.742 -94.939
39.744 -94.945
39.746 -94.949
39.746 -94.953
39.746 -94.955
39.743 -94.96
39.74 -94.964
39.74 -94.965
39.739 -94.965
39.739 -94.966
39.732 -94.97
39.729 -94.971
39.723 -94.971
39.707 -94.968
39.693 -94.969
39.689 -94.97
39.686 -94.971
39.682 -94.976
39.681 -94.976
39.679 -94.982
39.678 -94.984
39.678 -94.986
39.677 -94.991
39.677 -94.994
39.677 -94.999
39.676 -95.001
39.676 -95.005
39.676 -95.008
39.676 -95.009
39.675 -95.01
39.675 -95.013
39.674 -95.015
39.673 -95.018
39.671 -95.022
39.668 -95.025
39.665 -95.028
39.653 -95.037
39.65 -95.039
39.644 -95.045
39.638 -95.05
39.63 -95.053
39.625 -95.055
39.624 -95.055
39.622 -95.055
39.621 -95.055
39.614 -95.053
39.613 -95.053
39.606 -95.048
39.602 -95.046
39.6 -95.046
39.595 -95.047
39.59 -95.049
39.582 -95.055
39.581 -95.057
39.579 -95.06
39.577 -95.065
39.577 -95.066
39.576 -95.068
39.576 -95.069
39.576 -95.072
39.577 -95.076
39.577 -95.077
39.581 -95.089
39.581 -95.09
39.581 -95.091
39.581 -95.096
39.58 -95.099
39.579 -95.1
39.578 -95.102
39.578 -95.103
39.575 -95.106
39.574 -95.107
39.57 -95.109
39.569 -95.109
39.56 -95.113
39.559 -95.113
39.557 -95.113
39.554 -95.114
39.553 -95.113
39.543 -95.11
39.542 -95.109
39.538 -95.107
39.537 -95.106
39.533 -95.103
39.528 -95.097
39.527 -95.095
39.524 -95.093
39.517 -95.083
39.514 -95.077
39.506 -95.059
39.504 -95.056
39.5 -95.052
39.498 -95.051
39.494 -95.05
39.48 -95.048
39.475 -95.047
39.472 -95.046
39.466 -95.041
39.464 -95.037
39.461 -95.033
39.458 -95.028
39.453 -95.016
39.448 -94.996
39.446 -94.99
39.441 -94.982
39.436 -94.979
