segment Kentucky
38.422 -82.594
38.418 -82.596
38.413 -82.597
38.412 -82.597
38.41 -82.597
38.401 -82.595
38.4 -82.596
38.399 -82.596
38.395 -82.598
38.394 -82.599
38.393 -82.599
38.39 -82.6
38.389 -82.599
38.383 -82.595
38.375 -82.593
38.372 -82.594
38.367 -82.597
38.365 -82.598
38.358 -82.598
38.357 -82.598
38.345 -82.598
38.343 -82.597
38.342 -82.593
38.34 -82.59
38.339 -82.588
38.334 -82.585
38.328 -82.577
38.319 -82.573
38.316 -82.572
38.315 -82.572
38.314 -82.572
38.312 -82.573
38.305 -82.578
38.3 -82.581
38.297 -82.583
38.295 -82.583
38.292 -82.58
38.285 -82.579
38.282 -82.579
38.278 -82.577
38.275 -82.575
38.264 -82.575
38.255 -82.578
38.249 -82.582
38.246 -82.584
38.246 -82.585
38.246 -82.586
38.245 -82.595
38.247 -82.604
38.247 -82.605
38.246 -82.607
38.236 -82.612
38.235 -82.613
38.227 -82.61
38.224 -82.609
38.221 -82.606
38.219 -82.6
38.217 -82.598
38.201 -82.599
38.197 -82.599
38.188 -82.604
38.172 -82.611
38.17 -82.613
38.169 -82.619
38.169 -82.62
38.17 -82.625
38.171 -82.639
38.17 -82.642
38.17 -82.643
38.169 -82.643
38.165 -82.645
38.157 -82.639
38.152 -82.638
38.143 -82.638
38.139 -82.637
38.138 -82.636
38.137 -82.634
38.135 -82.626
38.133 -82.622
38.132 -82.621
38.124 -82.621
38.123 -82.621
38.122 -82.621
38.121 -82.62
38.121 -82.619
38.12 -82.618
38.12 -82.616
38.12 -82.615
38.12 -82.614
38.121 -82.607
38.118 -82.603
38.118 -82.601
38.117 -82.6
38.116 -82.598
38.111 -82.594
38.11 -82.592
38.109 -82.588
38.107 -82.586
38.098 -82.585
38.094 -82.585
38.091 -82.584
38.082 -82.574
38.081 -82.566
38.073 -82.56
38.071 -82.551
38.069 -82.55
38.063 -82.549
38.061 -82.547
38.059 -82.545
38.054 -82.545
38.052 -82.544
38.048 -82.541
38.045 -82.537
38.043 -82.537
38.04 -82.539
38.039 -82.539
38.037 -82.539
38.035 -82.537
38.032 -82.535
38.032 -82.534
38.029 -82.53
38.028 -82.527
38.026 -82.526
38.02 -82.526
38.013 -82.523
38.009 -82.52
38.007 -82.518
38.005 -82.517
38.003 -82.518
38.002 -82.518
38.001 -82.517
38 -82.516
38 -82.513
38.001 -82.51
38.002 -82.507
37.999 -82.5
37.999 -82.49
37.998 -82.488
37.996 -82.486
37.989 -82.486
37.987 -82.485
37.985 -82.484
37.984 -82.483
37.987 -82.472
37.986 -82.467
37.985 -82.465
37.983 -82.464
37.98 -82.464
37.977 -82.465
37.973 -82.469
37.973 -82.48
37.972 -82.484
37.97 -82.484
37.966 -82.485
37.964 -82.484
37.962 -82.479
37.961 -82.473
37.96 -82.472
37.959 -82.472
37.955 -82.475
37.949 -82.481
37.946 -82.485
37.945 -82.488
37.947 -82.495
37.946 -82.497
37.943 -82.497
37.942 -82.497
37.941 -82.495
37.94 -82.494
37.94 -82.493
37.939 -82.49
37.939 -82.489
37.938 -82.489
37.937 -82.49
37.936 -82.491
37.937 -82.498
37.937 -82.5
37.935 -82.502
37.933 -82.502
37.928 -82.498
37.927 -82.496
37.927 -82.484
37.926 -82.481
37.926 -82.48
37.924 -82.481
37.92 -82.488
37.918 -82.488
37.917 -82.488
37.915 -82.48
37.915 -82.479
37.913 -82.477
37.912 -82.476
37.91 -82.475
37.908 -82.474
37.907 -82.474
37.906 -82.475
37.904 -82.476
37.903 -82.476
37.902 -82.476
37.9 -82.475
37.899 -82.473
37.899 -82.471
37.902 -82.469
37.903 -82.469
37.904 -82.469
37.911 -82.469
37.914 -82.468
37.915 -82.464
37.915 -82.463
37.914 -82.463
37.914 -82.462
37.913 -82.461
37.911 -82.461
37.91 -82.46
37.909 -82.458
37.909 -82.453
37.908 -82.451
37.904 -82.448
37.9 -82.439
37.897 -82.436
37.89 -82.432
37.888 -82.429
37.886 -82.422
37.886 -82.421
37.884 -82.42
37.882 -82.419
37.875 -82.419
37.874 -82.419
37.873 -82.419
37.872 -82.419
37.871 -82.418
37.87 -82.416
37.869 -82.414
37.869 -82.41
37.867 -82.407
37.866 -82.408
37.865 -82.41
37.864 -82.422
37.863 -82.424
37.862 -82.424
37.86 -82.424
37.859 -82.422
37.857 -82.416
37.856 -82.415
37.855 -82.415
37.854 -82.415
37.85 -82.419
37.849 -82.419
37.847 -82.42
37.846 -82.418
37.846 -82.417
37.845 -82.414
37.845 -82.413
37.845 -82.412
37.841 -82.411
37.84 -82.41
37.837 -82.409
37.835 -82.408
37.83 -82.4
37.822 -82.398
37.813 -82.402
37.811 -82.402
37.81 -82.402
37.809 -82.399
37.809 -82.397
37.812 -82.394
37.817 -82.389
37.818 -82.388
37.818 -82.387
37.817 -82.385
37.811 -82.38
37.808 -82.379
37.803 -82.377
37.802 -82.375
37.802 -82.37
37.801 -82.368
37.798 -82.366
37.797 -82.365
37.795 -82.364
37.794 -82.361
37.794 -82.356
37.793 -82.354
37.787 -82.349
37.786 -82.34
37.78 -82.338
37.778 -82.339
37.777 -82.339
37.775 -82.338
37.775 -82.337
37.775 -82.336
37.774 -82.336
37.774 -82.333
37.776 -82.33
37.776 -82.326
37.775 -82.324
37.774 -82.323
37.773 -82.324
37.768 -82.332
37.766 -82.334
37.765 -82.334
37.763 -82.331
37.762 -82.329
37.762 -82.327
37.765 -82.318
37.765 -82.313
37.764 -82.312
37.763 -82.311
37.762 -82.311
37.761 -82.313
37.76 -82.318
37.759 -82.319
37.755 -82.321
37.751 -82.321
37.748 -82.328
37.743 -82.334
37.741 -82.333
37.736 -82.327
37.734 -82.32
37.734 -82.319
37.733 -82.318
37.728 -82.318
37.722 -82.316
37.719 -82.312
37.717 -82.311
37.713 -82.311
37.708 -82.307
37.707 -82.306
37.706 -82.301
37.704 -82.298
37.702 -82.297
37.7 -82.297
37.696 -82.302
37.694 -82.303
37.691 -82.302
37.688 -82.298
37.687 -82.296
37.686 -82.296
37.684 -82.297
37.679 -82.304
37.678 -82.304
37.677 -82.304
37.677 -82.305
37.677 -82.304
37.676 -82.304
37.676 -82.302
37.678 -82.297
37.678 -82.295
37.678 -82.294
37.673 -82.294
37.672 -82.295
37.67 -82.294
37.669 -82.292
37.668 -82.288
37.67 -82.286
37.675 -82.285
37.676 -82.284
37.676 -82.282
37.67 -82.278
37.664 -82.272
37.662 -82.268
37.659 -82.262
37.657 -82.257
37.657 -82.254
37.657 -82.252
37.661 -82.244
37.662 -82.241
37.661 -82.239
37.653 -82.226
37.652 -82.226
37.647 -82.225
37.645 -82.224
37.643 -82.219
37.641 -82.217
37.64 -82.217
37.636 -82.219
37.635 -82.22
37.634 -82.22
37.628 -82.215
37.626 -82.216
37.625 -82.213
37.625 -82.21
37.626 -82.205
37.626 -82.204
37.626 -82.203
37.627 -82.202
37.628 -82.201
37.626 -82.192
37.627 -82.187
37.628 -82.187
37.629 -82.186
37.637 -82.187
37.639 -82.188
37.64 -82.19
37.643 -82.191
37.644 -82.191
37.648 -82.188
37.649 -82.185
37.649 -82.178
37.648 -82.175
37.647 -82.175
37.642 -82.177
37.64 -82.178
37.637 -82.176
37.634 -82.173
37.633 -82.172
37.632 -82.173
37.631 -82.173
37.631 -82.174
37.627 -82.181
37.624 -82.182
37.623 -82.182
37.622 -82.181
37.621 -82.181
37.618 -82.177
37.62 -82.173
37.622 -82.17
37.622 -82.167
37.62 -82.164
37.618 -82.165
37.613 -82.169
37.612 -82.169
37.61 -82.169
37.608 -82.168
37.608 -82.164
37.61 -82.159
37.609 -82.157
37.605 -82.156
37.597 -82.158
37.593 -82.157
37.591 -82.148
37.593 -82.146
37.595 -82.142
37.594 -82.132
37.592 -82.13
37.587 -82.127
37.579 -82.126
37.578 -82.124
37.576 -82.124
37.573 -82.127
37.572 -82.13
37.571 -82.142
37.57 -82.143
37.568 -82.145
37.567 -82.145
37.566 -82.144
37.566 -82.143
37.564 -82.137
37.562 -82.134
37.561 -82.133
37.557 -82.135
37.554 -82.135
37.553 -82.133
37.552 -82.132
37.551 -82.127
37.551 -82.126
37.551 -82.124
37.552 -82.124
37.553 -82.122
37.557 -82.121
37.559 -82.117
37.56 -82.117
37.56 -82.107
37.56 -82.103
37.559 -82.102
37.558 -82.102
37.556 -82.104
37.555 -82.105
37.554 -82.105
37.553 -82.105
37.553 -82.104
37.553 -82.103
37.553 -82.099
37.556 -82.089
37.555 -82.085
37.556 -82.075
37.555 -82.074
37.555 -82.073
37.545 -82.064
37.544 -82.064
37.542 -82.064
37.539 -82.065
37.537 -82.064
37.536 -82.063
37.536 -82.061
37.537 -82.057
37.537 -82.055
37.535 -82.05
37.534 -82.048
37.529 -82.048
37.528 -82.047
37.529 -82.044
37.534 -82.042
37.536 -82.042
37.542 -82.045
37.545 -82.045
37.547 -82.045
37.548 -82.043
37.548 -82.039
37.547 -82.038
37.543 -82.037
37.538 -82.029
37.538 -82.025
37.541 -82.021
37.541 -82.019
37.539 -82.017
37.534 -82.016
37.534 -82.014
37.533 -82.009
37.534 -82.007
37.543 -82
37.543 -81.998
37.543 -81.997
37.539 -81.997
37.538 -81.994
37.538 -81.993
37.543 -81.989
37.543 -81.988
37.542 -81.982
37.542 -81.981
37.545 -81.976
37.547 -81.97
37.543 -81.965
37.541 -81.965
37.538 -81.968
37.481 -82.051
37.471 -82.063
37.46 -82.078
37.427 -82.125
37.416 -82.142
37.41 -82.15
