segment Minnesota
49.383 -95.153
49.384 -95.153
49.383 -95.15
49.381 -95.15
49.378 -95.145
49.378 -95.142
49.369 -95.126
49.367 -95.116
49.366 -95.11
49.365 -95.105
49.364 -95.103
49.361 -95.09
49.353 -95.058
49.353 -95.049
49.356 -95.014
49.369 -94.989
49.368 -94.974
49.37 -94.957
49.369 -94.952
49.35 -94.909
49.349 -94.907
49.333 -94.878
49.324 -94.854
49.324 -94.837
49.321 -94.816
49.309 -94.824
49.294 -94.825
49.214 -94.797
49.198 -94.798
49.125 -94.774
49.121 -94.773
49.1 -94.75
49 -94.75
49 -94.719
48.884 -94.683
48.883 -94.683
48.875 -94.684
48.872 -94.684
48.869 -94.693
48.864 -94.69
48.863 -94.69
48.853 -94.693
48.84 -94.686
48.839 -94.69
48.836 -94.697
48.832 -94.702
48.824 -94.704
48.809 -94.695
48.801 -94.696
48.8 -94.696
48.793 -94.695
48.789 -94.694
48.778 -94.691
48.776 -94.688
48.769 -94.673
48.766 -94.667
48.76 -94.66
48.756 -94.652
48.75 -94.645
48.75 -94.646
48.749 -94.645
48.744 -94.645
48.741 -94.641
48.739 -94.63
48.737 -94.619
48.732 -94.611
48.732 -94.61
48.728 -94.601
48.727 -94.599
48.724 -94.596
48.721 -94.592
48.719 -94.591
48.719 -94.59
48.718 -94.587
48.716 -94.568
48.716 -94.556
48.715 -94.551
48.715 -94.549
48.712 -94.546
48.703 -94.538
48.701 -94.533
48.702 -94.525
48.7 -94.509
48.698 -94.5
48.698 -94.487
48.697 -94.473
48.696 -94.464
48.692 -94.452
48.693 -94.447
48.695 -94.439
48.701 -94.43
48.705 -94.424
48.709 -94.421
48.71 -94.419
48.711 -94.416
48.711 -94.406
48.712 -94.389
48.712 -94.384
48.71 -94.378
48.706 -94.369
48.704 -94.353
48.703 -94.343
48.704 -94.328
48.71 -94.308
48.709 -94.299
48.708 -94.291
48.705 -94.282
48.7 -94.274
48.699 -94.264
48.696 -94.261
48.692 -94.258
48.686 -94.253
48.684 -94.251
48.678 -94.251
48.664 -94.255
48.661 -94.255
48.657 -94.25
48.656 -94.25
48.654 -94.247
48.653 -94.244
48.652 -94.234
48.65 -94.224
48.649 -94.214
48.651 -94.2
48.65 -94.189
48.648 -94.169
48.648 -94.168
48.646 -94.157
48.646 -94.139
48.644 -94.126
48.644 -94.11
48.646 -94.1
48.644 -94.091
48.644 -94.077
48.646 -94.071
48.646 -94.066
48.644 -94.064
48.643 -94.06
48.644 -94.052
48.643 -94.043
48.641 -94.036
48.641 -94.029
48.643 -94.007
48.643 -94.001
48.64 -93.99
48.638 -93.977
48.637 -93.963
48.636 -93.961
48.634 -93.954
48.632 -93.944
48.631 -93.927
48.632 -93.917
48.633 -93.915
48.634 -93.914
48.635 -93.912
48.631 -93.887
48.631 -93.881
48.63 -93.852
48.629 -93.844
48.629 -93.841
48.627 -93.837
48.625 -93.834
48.613 -93.828
48.611 -93.824
48.609 -93.823
48.605 -93.821
48.604 -93.82
48.603 -93.82
48.595 -93.819
48.585 -93.812
48.58 -93.808
48.578 -93.807
48.57 -93.805
48.568 -93.805
48.562 -93.807
48.556 -93.809
48.551 -93.812
48.549 -93.812
48.546 -93.811
48.542 -93.811
48.541 -93.812
48.536 -93.818
48.534 -93.818
48.533 -93.819
48.53 -93.818
48.527 -93.815
48.525 -93.812
48.521 -93.802
48.518 -93.797
48.516 -93.794
48.515 -93.785
48.516 -93.772
48.516 -93.763
48.515 -93.756
48.515 -93.753
48.517 -93.743
48.517 -93.742
48.517 -93.741
48.518 -93.735
48.518 -93.732
48.518 -93.728
48.517 -93.724
48.518 -93.72
48.518 -93.718
48.518 -93.714
48.518 -93.711
48.518 -93.709
48.518 -93.708
48.517 -93.705
48.517 -93.703
48.515 -93.695
48.515 -93.691
48.516 -93.675
48.516 -93.657
48.517 -93.645
48.518 -93.643
48.519 -93.641
48.523 -93.638
48.528 -93.635
48.53 -93.632
48.531 -93.629
48.531 -93.626
48.527 -93.622
48.524 -93.618
48.522 -93.613
48.522 -93.611
48.522 -93.609
48.522 -93.607
48.522 -93.606
48.523 -93.604
48.527 -93.598
48.529 -93.594
48.529 -93.588
48.527 -93.581
48.527 -93.578
48.529 -93.562
48.529 -93.547
48.53 -93.54
48.532 -93.532
48.534 -93.519
48.535 -93.515
48.541 -93.5
48.543 -93.483
48.543 -93.482
48.543 -93.481
48.546 -93.468
48.547 -93.465
48.551 -93.461
48.555 -93.458
48.562 -93.457
48.566 -93.457
48.567 -93.457
48.568 -93.457
48.574 -93.462
48.587 -93.466
48.589 -93.465
48.591 -93.465
48.592 -93.464
48.593 -93.452
48.593 -93.438
48.595 -93.434
48.597 -93.431
48.598 -93.43
48.6 -93.428
48.601 -93.425
48.605 -93.415
48.606 -93.414
48.608 -93.409
48.609 -93.405
48.609 -93.404
48.608 -93.404
48.607 -93.402
48.604 -93.399
48.603 -93.395
48.603 -93.394
48.605 -93.384
48.605 -93.371
48.607 -93.368
48.608 -93.367
48.614 -93.362
48.612 -93.356
48.612 -93.355
48.612 -93.354
48.613 -93.353
48.615 -93.353
48.616 -93.353
48.625 -93.349
48.626 -93.348
48.627 -93.348
48.643 -93.255
48.642 -93.207
48.628 -93.184
48.625 -93.18
48.623 -93.178
48.623 -93.176
48.625 -93.142
48.628 -93.088
48.624 -92.985
48.631 -92.955
48.63 -92.95
48.608 -92.95
48.607 -92.93
48.596 -92.91
48.595 -92.895
48.539 -92.728
48.546 -92.658
48.543 -92.635
48.522 -92.628
48.518 -92.626
48.514 -92.627
48.514 -92.626
48.513 -92.625
48.508 -92.631
48.507 -92.631
48.505 -92.629
48.503 -92.627
48.501 -92.631
48.499 -92.637
48.5 -92.647
48.502 -92.654
48.497 -92.661
48.498 -92.685
48.495 -92.699
48.485 -92.701
