segment Montana
49.001 -114.674
49.001 -114.476
49.001 -114.376
49.001 -114.251
49 -114.225
48.999 -114.201
49 -114.18
48.999 -114.068
48.999 -114.059
48.999 -113.907
48.998 -113.864
48.998 -113.693
48.998 -113.609
48.998 -113.598
48.998 -113.576
48.999 -113.428
48.999 -113.397
48.999 -113.376
48.998 -113.357
48.999 -113.241
48.999 -113.235
48.999 -113.195
48.998 -113.116
48.999 -113.11
48.999 -113.107
48.999 -113.103
48.998 -113.098
48.999 -113.095
48.999 -113.092
48.999 -113.088
48.999 -113.086
48.999 -113.011
48.999 -113.01
48.999 -112.365
48.999 -112.357
48.999 -112.194
48.999 -112.144
48.999 -112.059
48.999 -112.004
48.999 -112.003
48.999 -112.001
48.999 -111.96
48.998 -111.854
48.998 -111.762
48.997 -111.501
48.997 -111.271
48.997 -111.058
48.998 -111.035
48.998 -111.004
48.998 -110.99
48.998 -110.887
48.999 -110.743
48.999 -110.592
48.999 -110.591
48.998 -110.532
48.998 -110.531
48.999 -110.438
48.999 -110.216
48.999 -110.172
49 -109.996
49 -109.501
49.001 -109.491
49.001 -109.49
49.001 -109.454
49.001 -109.437
49 -109.385
49 -109.384
49 -109.286
49 -109.251
49 -109.112
49 -109.061
49 -109.06
48.999 -109.001
48.999 -108.995
48.999 -108.543
48.999 -108.488
49 -108.236
49 -107.918
49 -107.917
49 -107.906
49 -107.895
49 -107.884
49 -107.705
48.999 -107.441
49 -107.364
49 -107.18
49 -106.832
49 -106.626
49 -106.618
49 -106.518
49 -106.501
48.999 -106.501
48.999 -106.48
49 -106.375
49 -106.368
48.999 -106.274
48.999 -106.246
48.999 -106.243
48.999 -106.234
48.999 -106.119
48.999 -106.112
48.999 -106.051
48.999 -105.966
49 -105.834
49 -105.776
48.999 -105.65
49 -105.613
49 -105.608
49 -105.579
49 -105.523
49 -105.412
48.999 -105.408
48.999 -105.391
48.999 -105.387
48.999 -105.356
48.999 -105.278
49 -105.265
48.999 -105.058
48.999 -105.023
48.999 -104.876
48.999 -104.772
48.999 -104.647
49 -104.544
49 -104.306
49 -104.049
48.987 -104.048
48.967 -104.049
48.964 -104.049
48.959 -104.049
48.957 -104.049
48.952 -104.049
48.95 -104.049
48.943 -104.049
48.94 -104.049
48.934 -104.049
48.912 -104.049
48.907 -104.049
48.903 -104.049
48.88 -104.049
48.877 -104.049
48.876 -104.049
48.874 -104.049
48.868 -104.049
48.866 -104.049
48.864 -104.049
48.847 -104.049
48.797 -104.049
48.789 -104.049
48.766 -104.048
48.751 -104.049
48.747 -104.048
48.664 -104.048
48.663 -104.048
48.659 -104.048
48.657 -104.048
48.65 -104.048
48.649 -104.048
48.634 -104.048
48.627 -104.048
48.626 -104.048
48.62 -104.048
48.599 -104.048
48.592 -104.048
48.563 -104.048
48.54 -104.048
48.531 -104.048
48.526 -104.048
48.518 -104.048
48.5 -104.048
48.494 -104.048
48.467 -104.047
48.453 -104.047
48.447 -104.047
48.446 -104.047
48.421 -104.047
48.411 -104.047
48.391 -104.047
48.389 -104.047
48.382 -104.047
48.375 -104.047
48.374 -104.046
48.342 -104.046
48.257 -104.046
48.255 -104.046
48.246 -104.046
48.245 -104.046
48.241 -104.046
48.194 -104.046
48.192 -104.045
48.176 -104.045
48.164 -104.045
47.996 -104.044
47.993 -104.044
47.972 -104.044
47.954 -104.043
47.95 -104.043
47.891 -104.042
47.862 -104.042
47.858 -104.042
47.842 -104.042
47.835 -104.042
47.808 -104.043
47.807 -104.043
47.805 -104.042
47.803 -104.042
47.747 -104.043
47.677 -104.044
47.625 -104.044
47.612 -104.044
47.603 -104.044
47.524 -104.044
47.459 -104.045
47.438 -104.045
47.397 -104.045
47.375 -104.045
47.343 -104.045
47.332 -104.045
47.277 -104.045
47.274 -104.045
47.271 -104.045
47.267 -104.045
47.266 -104.045
47.264 -104.045
47.216 -104.046
47.127 -104.045
47.093 -104.045
47.081 -104.045
47.079 -104.045
47.064 -104.045
47.058 -104.045
47.054 -104.045
47.041 -104.045
47.038 -104.045
46.941 -104.046
46.934 -104.046
46.919 -104.046
46.831 -104.046
46.725 -104.045
46.722 -104.045
46.721 -104.045
46.714 -104.046
46.709 -104.045
46.641 -104.045
46.51 -104.045
46.479 -104.045
46.384 -104.046
46.367 -104.045
46.342 -104.045
46.325 -104.045
46.125 -104.045
46.124 -104.046
46 -104.047
45.945 -104.045
45.882 -104.044
45.872 -104.044
45.868 -104.044
45.75 -104.043
45.558 -104.042
45.551 -104.042
