segment Pennsylvania
41.999 -79.761
41.999 -79.753
41.999 -79.704
41.999 -79.67
41.999 -79.625
41.999 -79.61
41.999 -79.551
41.999 -79.538
41.998 -79.511
41.998 -79.491
41.998 -79.472
41.998 -79.394
41.999 -79.286
41.999 -79.25
41.999 -79.179
41.999 -79.168
41.999 -79.13
41.999 -79.061
41.999 -79.052
41.999 -78.99
41.999 -78.983
41.999 -78.961
41.998 -78.919
41.998 -78.878
41.998 -78.875
41.998 -78.78
41.998 -78.75
41.999 -78.715
41.999 -78.642
42 -78.618
42 -78.597
42 -78.583
42 -78.572
42 -78.534
42 -78.463
41.999 -78.35
41.999 -78.347
41.999 -78.323
41.999 -78.308
41.999 -78.271
41.999 -78.268
42 -78.207
42 -78.169
42 -78.143
42 -78.125
42 -78.089
42 -78.059
41.999 -78.031
41.999 -78.008
41.999 -77.998
41.999 -77.963
41.999 -77.901
41.999 -77.845
41.999 -77.832
41.999 -77.823
41.999 -77.75
41.999 -77.727
42 -77.61
42 -77.505
42 -77.483
42 -77.476
42 -77.44
42 -77.328
42 -77.317
42 -77.291
42 -77.22
41.999 -77.142
41.999 -77.125
42 -77.115
42 -77.103
42 -77.064
42.001 -77.053
42.001 -77.008
42.001 -76.966
42.002 -76.943
42.002 -76.937
42.002 -76.927
42.002 -76.922
42.002 -76.921
42.002 -76.835
42.002 -76.831
42.002 -76.816
42.002 -76.75
42.002 -76.747
42.001 -76.638
42 -76.558
42 -76.532
42 -76.521
41.999 -76.473
41.999 -76.467
41.999 -76.462
41.999 -76.382
41.998 -76.35
41.998 -76.344
41.999 -76.264
41.999 -76.147
41.999 -76.131
41.999 -76.124
41.999 -76.113
41.999 -76.106
41.999 -76.059
41.999 -75.989
41.999 -75.983
41.999 -75.98
41.999 -75.891
41.999 -75.871
41.998 -75.773
41.998 -75.766
41.998 -75.742
41.998 -75.673
41.999 -75.656
41.999 -75.61
41.999 -75.608
41.999 -75.484
41.999 -75.483
41.999 -75.477
41.999 -75.436
41.999 -75.432
41.999 -75.36
41.997 -75.354
41.995 -75.347
41.993 -75.341
41.987 -75.338
41.984 -75.338
41.974 -75.342
41.973 -75.342
41.971 -75.339
41.97 -75.336
41.968 -75.329
41.962 -75.322
41.961 -75.32
41.954 -75.318
41.95 -75.313
41.949 -75.31
41.948 -75.304
41.948 -75.302
41.949 -75.301
41.953 -75.302
41.954 -75.3
41.955 -75.299
41.955 -75.294
41.952 -75.291
41.947 -75.292
41.945 -75.291
41.943 -75.289
41.939 -75.279
41.934 -75.277
41.927 -75.276
41.922 -75.277
41.92 -75.275
41.911 -75.27
41.907 -75.268
41.902 -75.268
41.897 -75.273
41.893 -75.273
41.887 -75.271
41.886 -75.268
41.885 -75.263
41.884 -75.261
41.877 -75.258
41.876 -75.258
41.875 -75.258
41.874 -75.261
41.873 -75.261
41.873 -75.262
41.871 -75.264
41.868 -75.264
41.866 -75.263
41.865 -75.262
41.865 -75.261
41.864 -75.261
41.862 -75.258
41.862 -75.251
41.863 -75.249
41.863 -75.248
41.867 -75.243
41.867 -75.241
41.866 -75.239
41.862 -75.235
41.859 -75.232
41.857 -75.226
41.857 -75.225
41.857 -75.224
41.858 -75.224
41.861 -75.22
41.867 -75.215
41.869 -75.21
41.87 -75.205
41.87 -75.204
41.869 -75.198
41.867 -75.194
41.865 -75.191
41.862 -75.19
41.861 -75.189
41.86 -75.187
41.86 -75.185
41.86 -75.184
41.861 -75.184
41.861 -75.183
41.862 -75.182
41.863 -75.182
41.864 -75.181
41.866 -75.18
41.87 -75.179
41.872 -75.177
41.873 -75.175
41.872 -75.171
41.87 -75.169
41.867 -75.168
