segment Wisconsin
47.077 -90.4
47.077 -90.395
47.076 -90.394
47.068 -90.393
47.061 -90.394
47.06 -90.395
47.058 -90.396
47.047 -90.4
47.025 -90.403
47.013 -90.413
47.006 -90.429
47 -90.448
46.995 -90.464
47.003 -90.465
47.013 -90.457
47.024 -90.455
47.037 -90.456
47.044 -90.457
47.053 -90.455
47.063 -90.45
47.066 -90.449
47.067 -90.447
47.073 -90.437
47.078 -90.417
47.077 -90.4
segment Wisconsin
46.968 -90.531
46.968 -90.529
46.968 -90.523
46.961 -90.512
46.957 -90.508
46.953 -90.511
46.936 -90.524
46.932 -90.533
46.931 -90.535
46.928 -90.54
46.923 -90.544
46.918 -90.544
46.917 -90.545
46.917 -90.546
46.915 -90.549
46.916 -90.55
46.917 -90.553
46.919 -90.557
46.92 -90.569
46.918 -90.58
46.915 -90.594
46.909 -90.627
46.907 -90.637
46.908 -90.644
46.919 -90.655
46.925 -90.652
46.934 -90.643
46.943 -90.635
46.952 -90.601
46.953 -90.601
46.958 -90.574
46.968 -90.531
segment Wisconsin
46.566 -90.418
46.563 -90.416
46.557 -90.415
46.557 -90.414
46.552 -90.408
46.548 -90.406
46.544 -90.402
46.544 -90.4
46.543 -90.399
46.536 -90.396
46.534 -90.395
46.533 -90.393
46.534 -90.387
46.539 -90.374
46.541 -90.37
46.541 -90.362
46.54 -90.358
46.541 -90.357
46.54 -90.356
46.538 -90.354
46.537 -90.352
46.537 -90.35
46.538 -90.349
46.547 -90.348
46.552 -90.344
46.553 -90.341
46.554 -90.337
46.553 -90.332
46.55 -90.328
46.548 -90.328
46.546 -90.327
46.546 -90.325
46.546 -90.32
46.539 -90.311
46.537 -90.31
46.529 -90.312
46.524 -90.314
46.522 -90.318
46.517 -90.317
46.516 -90.314
46.517 -90.313
46.518 -90.308
46.518 -90.307
46.517 -90.304
46.518 -90.298
46.519 -90.294
46.52 -90.294
46.521 -90.293
46.519 -90.286
46.519 -90.283
46.522 -90.279
46.524 -90.278
46.524 -90.277
46.521 -90.273
46.52 -90.272
46.515 -90.275
46.512 -90.27
46.511 -90.27
46.51 -90.271
46.508 -90.271
46.507 -90.27
46.507 -90.269
46.507 -90.268
46.507 -90.267
46.506 -90.265
46.505 -90.265
46.504 -90.265
46.503 -90.263
46.503 -90.261
46.503 -90.259
46.505 -90.257
46.505 -90.248
46.505 -90.246
46.505 -90.243
46.507 -90.236
46.51 -90.232
46.51 -90.23
46.508 -90.229
46.505 -90.231
46.503 -90.231
46.502 -90.23
46.502 -90.229
46.503 -90.222
46.503 -90.221
46.502 -90.217
46.5 -90.215
46.498 -90.215
46.49 -90.212
46.478 -90.204
46.476 -90.202
46.472 -90.193
46.469 -90.189
46.468 -90.189
46.467 -90.189
46.466 -90.192
46.463 -90.193
46.46 -90.191
46.459 -90.189
46.458 -90.187
46.457 -90.18
46.453 -90.179
46.452 -90.179
46.441 -90.178
46.44 -90.176
46.44 -90.175
46.44 -90.167
46.439 -90.167
46.438 -90.167
46.435 -90.163
46.423 -90.159
46.42 -90.158
46.415 -90.159
46.414 -90.159
46.413 -90.159
46.409 -90.158
46.401 -90.153
46.399 -90.148
46.397 -90.147
46.39 -90.144
46.385 -90.139
46.382 -90.135
46.382 -90.134
46.381 -90.132
46.375 -90.135
46.372 -90.134
46.369 -90.131
46.367 -90.127
46.364 -90.123
46.363 -90.123
46.361 -90.123
46.36 -90.122
46.36 -90.121
46.36 -90.12
46.359 -90.119
46.355 -90.117
46.351 -90.117
46.349 -90.117
46.349 -90.12
46.346 -90.121
46.345 -90.12
46.344 -90.12
46.344 -90.119
46.342 -90.119
46.34 -90.119
46.339 -90.121
46.338 -90.121
46.337 -90.121
46.337 -90.12
46.3 -89.929
46.298 -89.919
46.296 -89.91
46.296 -89.908
46.291 -89.882
46.289 -89.872
46.283 -89.84
46.276 -89.805
46.268 -89.765
46.263 -89.739
46.263 -89.735
46.25 -89.668
46.246 -89.649
46.244 -89.638
46.236 -89.599
46.228 -89.555
46.224 -89.534
46.216 -89.496
46.207 -89.445
46.203 -89.425
46.193 -89.376
46.174 -89.277
46.174 -89.276
46.163 -89.22
46.163 -89.218
46.16 -89.206
46.16 -89.203
46.159 -89.201
46.158 -89.195
46.155 -89.18
46.153 -89.167
46.152 -89.162
46.145 -89.125
46.139 -89.092
46.112 -89.027
46.097 -88.991
46.08 -88.949
46.078 -88.943
46.074 -88.933
46.04 -88.85
46.039 -88.848
46.037 -88.848
46.033 -88.844
46.031 -88.841
46.03 -88.838
46.03 -88.836
46.03 -88.835
46.03 -88.832
46.026 -88.821
46.024 -88.816
46.023 -88.815
46.022 -88.816
46.022 -88.812
46.024 -88.802
46.024 -88.796
