FaultName,ComCatID,Reference,CalYear,FaultID,NSHMhazID
Cascadia 1-1 (top),,"Satake et al., 2003",1700,3260,
Cascadia 1-2 (top),,"Satake et al., 2003",1700,3261,
Cascadia 1-3 (top),,"Satake et al., 2003",1700,3262,
Cascadia 1-4 (top),,"Satake et al., 2003",1700,3263,
Cascadia 1-5 (top),,"Satake et al., 2003",1700,3264,
Cascadia 1-6 (top),,"Satake et al., 2003",1700,3265,
Cascadia 1-7 (top),,"Satake et al., 2003",1700,3266,
Cascadia 2-1 (top),,"Satake et al., 2003",1700,3267,
Cascadia 2-2 (top),,"Satake et al., 2003",1700,3268,
Cascadia 2-3 (top),,"Satake et al., 2003",1700,3269,
Cascadia 3-1 (top),,"Satake et al., 2003",1700,3270,
Cascadia 3-2 (top),,"Satake et al., 2003",1700,3271,
Cascadia 3-3 (top),,"Satake et al., 2003",1700,3272,
Cascadia 4-1 (top),,"Satake et al., 2003",1700,3273,
Cascadia 4-2 (top),,"Satake et al., 2003",1700,3274,
Cascadia 4-3 (top),,"Satake et al., 2003",1700,3275,
Cascadia 4-4 (top),,"Satake et al., 2003",1700,3276,
Cascadia 4-5 (top),,"Satake et al., 2003",1700,3277,
Cascadia 4-6 (top),,"Satake et al., 2003",1700,3278,
Cascadia 4-7 (top),,"Satake et al., 2003",1700,3279,
Cascadia 4-8 (top),,"Satake et al., 2003",1700,3280,
Cascadia 4-9 (top),,"Satake et al., 2003",1700,3281,
Adak (geodetic),official19570309142233_30,"Johnson and Satake, 1993",1957,4869,
Adak (narrow),official19570309142233_30,"Johnson and Satake, 1993",1957,4829,
Adak (wide),official19570309142233_30,"Johnson and Satake, 1993",1957,4849,
Amchitka (geodetic),official19650204050122_30,"Beck and Christensen, 199",1965,4870,
Amchitka (narrow),official19650204050122_30,"Beck and Christensen, 199",1965,4830,
Amchitka (wide),official19650204050122_30,"Beck and Christensen, 199",1965,4850,
Andreanof (geodetic),official19570309142233_30,"Beck and Christensen, 1991",1957,4868,
Andreanof (narrow),official19570309142233_30,"Beck and Christensen, 1991",1957,4828,
Andreanof (wide),official19570309142233_30,"Beck and Christensen, 1991",1957,4848,
Attu (geodetic),official19650204050122_30,"Beck and Christensen, 1991",1965,4871,
Attu (narrow),official19650204050122_30,"Beck and Christensen, 1991",1965,4831,
Attu (wide),official19650204050122_30,"Beck and Christensen, 1991",1965,4851,
Barren Islands (geodetic),official19640328033616_30,"Plafker, 1965",1964,,
Barren Islands (narrow),official19640328033616_30,"Plafker, 1965",1964,,
Barren Islands (wide),official19640328033616_30,"Plafker, 1965",1964,,
Fox Islands (geodetic),official19570309142233_30,"Johnson and Satake, 1993",1957,4867,
Fox Islands (narrow),official19570309142233_30,"Johnson and Satake, 1993",1957,4827,
Fox Islands (wide),official19570309142233_30,"Johnson and Satake, 1993",1957,4847,
Kenai (geodetic),official19640328033616_30,"Plafker, 1965",1964,4862,
Kenai (narrow),official19640328033616_30,"Plafker, 1965",1964,4822,
Kenai (wide),official19640328033616_30,"Plafker, 1965",1964,4842,
Kodiak (geodetic),official19640328033616_30,"Plafker, 1965",1964,4863,
Kodiak (narrow),official19640328033616_30,"Plafker, 1965",1964,4823,
Kodiak (wide),official19640328033616_30,"Plafker, 1965",1964,4843,
Komandorski (geodetic),,,,4872,
Komandorski (narrow),,,,4832,
Komandorski (wide),,,,4852,
Prince William Sound (geodetic),official19640328033616_30,"Plafker, 1965",1964,4861,
Prince William Sound (narrow),official19640328033616_30,"Plafker, 1965",1964,4821,
Prince William Sound (wide),official19640328033616_30,"Plafker, 1965",1964,4841,
Sanak (geodetic),official19460401122901_30,"Lopez and Okal, 2006",1946,4866,
Sanak (narrow),official19460401122901_30,"Lopez and Okal, 2006",1946,4826,
Sanak (wide),official19460401122901_30,"Lopez and Okal, 2006",1946,4846,
Semidi (geodetic),,"Nelson et al., 2014",1788,4864,
Semidi (narrow),,"Nelson et al., 2014",1788,4824,
Semidi (wide),,"Nelson et al., 2014",1788,4844,
Shumagin (geodetic),,"Witter et al., 2014",-1450,4865,
Shumagin (narrow),,"Witter et al., 2014",-1450,4825,
Shumagin (wide),,"Witter et al., 2014",-1450,4845,
Yakataga (geodetic),,"Shennan et al., 2009, 2014",1080,4860,
Yakataga (narrow),,"Shennan et al., 2009, 2014",1080,4820,
Yakataga (wide),,"Shennan et al., 2009, 2014",1080,4840,
San Jacinto (Clark),NULL,UCERF3; Scharer and Yule (2020),1800,803,
San Jacinto (Anza),NULL,UCERF3; Scharer and Yule (2020),1800,804,
"San Andreas (San Bernardino, north)",cdmg18121208150000000,UCERF3; Scharer and Yule (2020),1812,703,
San Andreas (Cholame),ushis92,UCERF3,1857,708,
San Andreas (Carrizo),ushis92,UCERF3,1857,707,
San Andreas (Big Bend),ushis92,UCERF3,1857,706,
"San Andreas (Mojave, north)",ushis92,UCERF3,1857,705,
