Magnitude,Count,"Cumulative Count",Rate,"Cumulative Rate"
2.5,2,46419,3.062,48678.17
2.6,11,46417,16.835,48675.11
2.7,53,46406,71.199,48658.27
2.8,167,46353,209.134,48587.07
2.9,1977,46186,2180.468,48377.94
3,9533,44209,9935.496,46197.47
3.1,6676,34676,6989.423,36261.97
3.2,5441,28000,5699.898,29272.55
3.3,3798,22559,3986.707,23572.65
3.4,3840,18761,4034.075,19585.95
3.5,2938,14921,3074.825,15551.87
3.6,2093,11983,2200.853,12477.05
3.7,1756,9890,1837.519,10276.19
3.8,1435,8134,1502.808,8438.674
3.9,926,6699,966.927,6935.866
4,1326,5773,1369.507,5968.939
4.1,801,4447,832.069,4599.432
4.2,768,3646,799.638,3767.363
4.3,635,2878,655.508,2967.725
4.4,431,2243,447.728,2312.217
4.5,428,1812,439.851,1864.489
4.6,307,1384,317.554,1424.638
4.7,203,1077,209.525,1107.084
4.8,159,874,164.916,897.559
4.9,118,715,122.186,732.643
5,141,597,144.158,610.457
5.1,62,456,63.572,466.299
5.2,87,394,89.266,402.727
5.3,54,307,55.292,313.461
5.4,44,253,44.993,258.169
5.5,50,209,50.807,213.176
5.6,29,159,29.778,162.369
5.7,24,130,24.637,132.591
5.8,24,106,24.299,107.954
5.9,13,82,13.418,83.655
6,17,69,17.307,70.237
6.1,9,52,9.143,52.93
6.2,3,43,3.049,43.787
6.3,5,40,5.049,40.738
6.4,9,35,9.178,35.689
6.5,7,26,7.117,26.511
6.6,5,19,5.048,19.394
6.7,2,14,2.087,14.346
6.8,2,12,2.042,12.259
6.9,2,10,2.018,10.217
7,0,8,0,8.199
7.1,3,8,3.049,8.199
7.2,2,5,2.035,5.15
7.3,2,3,2.028,3.115
7.4,1,1,1.087,1.087
