EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-AmSam-Interface-v1-1916.RData
Calculation start and end,Fri Feb 27 15:02:51 2026,Fri Feb 27 15:09:48 2026
Region name,AmSam-Interface
Version,v1-1916
Catalog type,Prob
b mean,1.19
b sigma,0.02
max n sigma b,3
delta,
M1,5
Mmax,7
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog,amsam-nshm-interface-probT.RData from amsam_nshm_separated-DefaultBuffer.csv with outputprob= TRUE class= interface
n epochs,4
t start,t end,Mc
1916,1964,6.2
1964,1973,6
1973,2010,5.2
2010,2025,4.6
type of rate model,average
epoch weights,0.440367,0.08256881,0.3394495,0.1376147
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,15.8,1.19
0.025,10.7,1.23
0.16,12.8,1.21
0.5,15.5,1.19
0.84,18.9,1.17
0.975,23.2,1.15
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,15.8,1.19
0.025,10.7,1.19
0.16,12.8,1.19
0.5,15.5,1.19
0.84,18.9,1.19
0.975,23.2,1.19
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,15139,9103.7,11441,14576,18787,24389
2.6,11502,6965.2,8725.4,11082,14245,18445
2.7,8739,5325.2,6652.8,8425.4,10797,13947
2.8,6639.9,4071.9,5072.7,6406.1,8185.8,10543
2.9,5045.1,3113.3,3866.9,4870.6,6206.8,7976.3
3,3833.4,2380,2948.2,3704,4707.6,6028.8
3.1,2912.8,1818.2,2247.1,2816.7,3571.2,4561.1
3.2,2213.4,1389.4,1713.6,2141.4,2708.5,3449.7
3.3,1681.9,1061.6,1306.3,1628.3,2053.9,2610.8
3.4,1278.1,810.56,995.87,1238,1557.5,1975.6
3.5,971.22,619.63,758.93,941.36,1181.7,1495.3
3.6,738.06,473.26,578.33,715.84,896.23,1131.3
3.7,560.88,361.14,440.65,544.22,679.86,856.96
3.8,426.25,275.74,335.75,413.76,515.71,648.42
3.9,323.94,210.22,255.72,314.66,391.38,491.09
4,246.19,160.49,194.86,239.3,297.01,371.87
4.1,187.11,122.45,148.45,181.96,225.41,281.57
4.2,142.2,93.41,113.06,138.36,171.05,213.2
4.3,108.08,71.275,86.104,105.21,129.86,161.5
4.4,82.148,54.369,65.563,80.005,98.582,122.43
4.5,62.438,41.45,49.925,60.829,74.849,92.711
4.6,47.458,31.609,38.028,46.259,56.816,70.234
4.7,36.073,24.087,28.956,35.181,43.145,53.26
4.8,27.42,18.351,22.047,26.753,32.758,40.386
4.9,20.843,13.983,16.786,20.343,24.876,30.627
5,15.844,10.651,12.776,15.467,18.891,23.237
5.1,12.044,8.1121,9.7265,11.762,14.348,17.633
5.2,9.1554,6.1787,7.4048,8.9454,10.895,13.374
5.3,6.9599,4.7057,5.6354,6.8018,8.2762,10.152
5.4,5.291,3.5813,4.2873,5.1717,6.286,7.7039
5.5,4.0224,2.7248,3.2621,3.932,4.7777,5.8505
5.6,3.058,2.0721,2.4813,2.9899,3.6315,4.4415
5.7,2.3249,1.5757,1.8871,2.2735,2.761,3.372
5.8,1.7676,1.1984,1.435,1.729,2.0986,2.56
5.9,1.3439,0.91081,1.091,1.3147,1.5944,1.9446
6,1.0217,0.69237,0.82953,0.9999,1.2123,1.4769
6.1,0.77686,0.526,0.63062,0.76029,0.9218,1.1223
6.2,0.59068,0.39975,0.47942,0.57805,0.70091,0.85245
