EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-AmSam-Intraslab-v2-1916.RData
Calculation start and end,Fri Feb 27 15:59:09 2026,Fri Feb 27 16:06:04 2026
Region name,AmSam-Intraslab
Version,v2-1916
Catalog type,Prob
b mean,1.02
b sigma,0.02
max n sigma b,3
delta,
M1,5
Mmax,
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog,amsam-nshm-intraslab-probT.RData from amsam_nshm_separated-DefaultBuffer.csv with outputprob= TRUE class= intraslab+or
n epochs,4
t start,t end,Mc
1916,1964,6.2
1964,1973,6
1973,2010,5.2
2010,2025,4.6
type of rate model,average
epoch weights,0.440367,0.08256881,0.3394495,0.1376147
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,19,1.02
0.025,15.9,1.06
0.16,17.2,1.04
0.5,18.8,1.02
0.84,20.7,1
0.975,23.1,0.981
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,19,1.02
0.025,15.9,1.04
0.16,17.2,1.03
0.5,18.8,1.02
0.84,20.7,1.01
0.975,23.1,1.01
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,6790.7,4868.5,5673.1,6672.4,7899.5,9376
2.6,5365.9,3879,4503,5275.1,6221.9,7356.7
2.7,4240.1,3090.6,3573.9,4170.6,4902.7,5775
2.8,3350.6,2461.9,2836.4,3297.1,3861.6,4534.5
2.9,2647.8,1961.2,2251.2,2606.7,3041.9,3561.2
3,2092.4,1562.3,1786.5,2060.8,2395.8,2796.8
3.1,1653.5,1244.1,1418,1629.2,1887.6,2195.2
3.2,1306.8,990.76,1125.2,1288.1,1487.1,1724.1
3.3,1032.7,789.09,892.81,1018.5,1171.5,1354.8
3.4,816.18,628.22,708.43,805.14,923.07,1064.4
3.5,645.05,500.04,562.12,636.5,727.28,836.67
3.6,509.81,397.88,445.99,503.28,573.09,657.61
3.7,402.94,316.76,353.76,397.95,451.71,516.99
3.8,318.47,252.02,280.66,314.62,356.01,406.68
3.9,251.72,200.48,222.62,248.72,280.59,319.86
4,198.96,159.44,176.53,196.65,221.21,251.64
4.1,157.27,126.8,139.96,155.46,174.36,198
4.2,124.31,100.81,110.96,122.9,137.51,155.76
4.3,98.262,80.117,87.966,97.169,108.43,122.56
4.4,77.674,63.66,69.711,76.824,85.508,96.514
4.5,61.401,50.587,55.251,60.739,67.435,75.966
4.6,48.538,40.17,43.784,48.025,53.204,59.869
4.7,38.37,31.873,34.693,37.971,41.977,47.175
4.8,30.333,25.287,27.476,30.026,33.129,37.168
4.9,23.98,20.055,21.764,23.738,26.155,29.297
5,18.958,15.9,17.235,18.77,20.653,23.101
5.1,14.988,12.596,13.643,14.841,16.31,18.231
5.2,11.85,9.9774,10.797,11.736,12.881,14.392
5.3,9.3688,7.8968,8.543,9.281,10.177,11.36
5.4,7.4074,6.2484,6.7572,7.3398,8.0425,8.971
5.5,5.8567,4.9434,5.3432,5.8044,6.3583,7.0849
5.6,4.6307,3.9061,4.2256,4.5905,5.0271,5.5979
5.7,3.6615,3.0847,3.3396,3.6302,3.9766,4.4239
5.8,2.8952,2.4361,2.6396,2.8714,3.146,3.4984
5.9,2.2893,1.9229,2.0856,2.2709,2.4892,2.7665
6,1.8102,1.5171,1.6473,1.7957,1.9701,2.1891
6.1,1.4314,1.1961,1.3009,1.4202,1.5597,1.7335
6.2,1.1319,0.94269,1.0272,1.1232,1.2352,1.373
6.3,0.89513,0.74311,0.81082,0.8883,0.97824,1.0878
6.4,0.70787,0.58524,0.64007,0.70252,0.77501,0.86196
6.5,0.5598,0.4608,0.50511,0.55554,0.61404,0.68342
6.6,0.44271,0.3628,0.39849,0.43934,0.48653,0.54217
6.7,0.35012,0.28559,0.31436,0.34741,0.3856,0.42997
6.8,0.2769,0.22465,0.24789,0.27476,0.3056,0.34104
6.9,0.219,0.17666,0.19551,0.21731,0.24224,0.27086
7,0.17321,0.13898,0.15416,0.17187,0.19204,0.21513
7.1,0.13699,0.10926,0.12155,0.13591,0.15229,0.17091
7.2,0.10835,0.085873,0.095836,0.10747,0.12079,0.13583
7.3,0.085702,0.067493,0.075545,0.084982,0.095799,0.10797
7.4,0.067787,0.05304,0.05955,0.067208,0.075991,0.085796
7.5,0.053619,0.041675,0.046926,0.053151,0.060271,0.068227
7.6,0.042413,0.032723,0.036981,0.042027,0.047814,0.054258
7.7,0.033549,0.025706,0.029142,0.033235,0.037931,0.043174
7.8,0.026539,0.020181,0.022965,0.026278,0.030098,0.034343
7.9,0.020993,0.015848,0.018094,0.020781,0.023883,0.027319
8,0.016607,0.012442,0.014256,0.016434,0.01895,0.02174
8.1,0.013138,0.0097657,0.011233,0.012995,0.01504,0.017305
8.2,0.010393,0.0076641,0.008848,0.010275,0.011934,0.013774
8.3,0.0082223,0.0060178,0.0069699,0.0081235,0.0094711,0.01097
8.4,0.0065049,0.0047247,0.0054893,0.0064238,0.0075175,0.0087392
