EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-AmSam-All-beta-proface-1973.RData
Calculation start and end,Fri Jul 10 10:39:43 2026,Fri Jul 10 10:46:44 2026
Region name,AmSam-All
Version,beta-proface-1973
Catalog type,Prob
b mean,1.3
b sigma,0.0575
max n sigma b,3
delta,0.1
M1,5
Mmax,8
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/ker_amsam_betav2_separated_reclassified_v2.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5.5
1994.5,2010,5.3
2010,2026,5.2
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,95.7,1.3
0.025,80.6,1.41
0.16,87.8,1.36
0.5,95.5,1.3
0.84,104,1.24
0.975,112,1.19
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,95.7,1.29
0.025,80.6,1.37
0.16,87.8,1.34
0.5,95.5,1.3
0.84,104,1.26
0.975,112,1.23
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,183960,77130,113580,169540,253820,374480
2.6,135670,58669,85311,125690,185720,270480
2.7,100070,44623,64057,93177,135850,195540
2.8,73827,33934,48107,69081,99397,141270
2.9,54475,25803,36130,51213,72730,102040
3,40202,19625,27128,37963,53212,73729
3.1,29674,14924,20372,28145,38934,53281
3.2,21906,11355,15301,20867,28485,38481
3.3,16175,8637.1,11490,15469,20843,27791
3.4,11945,6568.8,8629.6,11466,15249,20071
3.5,8822.9,4995.1,6480.6,8500.4,11162,14502
3.6,6517.9,3799,4866.8,6301.3,8166.4,10478
3.7,4815.9,2886.3,3654.2,4671,5975,7571.2
3.8,3559,2194.2,2744.4,3462.5,4373.1,5470.1
3.9,2630.6,1668.1,2061.2,2567,3200.4,3954.2
4,1944.6,1267.6,1547.7,1902.8,2342.4,2858.3
4.1,1437.8,963.83,1162.4,1410.7,1714.1,2066.2
4.2,1063.3,732.6,872.72,1045.9,1254.6,1493.1
4.3,786.45,556.58,655.27,775.31,918.19,1078.8
4.4,581.79,422.64,491.92,574.73,671.99,779.91
4.5,430.46,321.12,369.34,426.05,491.83,563.75
4.6,318.55,243.85,277.3,315.88,360.08,407.74
4.7,235.77,185.04,208.11,234.18,263.61,295.06
4.8,174.53,140.41,156.14,173.64,193.01,213.64
4.9,129.23,106.44,117.12,128.76,141.36,154.6
5,95.695,80.639,87.836,95.469,103.56,111.95
5.1,70.877,61.015,65.847,70.785,75.905,81.183
5.2,52.504,46.092,49.316,52.489,55.688,58.941
5.3,38.901,34.719,36.882,38.934,40.912,42.919
5.4,28.827,26.065,27.514,28.865,30.131,31.389
5.5,21.365,19.472,20.466,21.389,22.264,23.114
5.6,15.838,14.466,15.16,15.845,16.518,17.174
5.7,11.743,10.665,11.19,11.737,12.295,12.862
5.8,8.7077,7.8125,8.235,8.6945,9.1774,9.6825
5.9,6.4582,5.7015,6.0514,6.4413,6.8643,7.3096
6,4.7907,4.143,4.4391,4.7742,5.1407,5.5318
6.1,3.5544,3.0063,3.2547,3.5391,3.8524,4.1912
6.2,2.6375,2.1773,2.3848,2.6236,2.8894,3.1789
6.3,1.9575,1.5762,1.7467,1.9447,2.1678,2.4115
6.4,1.4531,1.1405,1.2792,1.4416,1.6267,1.8304
6.5,1.0788,0.82544,0.93679,1.0688,1.2208,1.3907
6.6,0.80111,0.59674,0.68576,0.79227,0.91636,1.056
6.7,0.59498,0.43145,0.50202,0.58726,0.68793,0.80246
