EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-AmSam-Crustal-beta-proface-1973.RData
Calculation start and end,Fri Jul 10 10:47:25 2026,Fri Jul 10 10:53:43 2026
Region name,AmSam-Crustal
Version,beta-proface-1973
Catalog type,Prob
b mean,1.3
b sigma,0.0575
max n sigma b,3
delta,0.1
M1,5
Mmax,7.6
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/ker_amsam_betav2_separated_reclassified_v2.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5.5
1994.5,2010,5.3
2010,2026,5.2
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,12,1.3
0.025,9.13,1.41
0.16,10.4,1.36
0.5,11.9,1.3
0.84,13.6,1.24
0.975,15.5,1.19
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,12,1.29
0.025,9.13,1.35
0.16,10.4,1.33
0.5,11.9,1.3
0.84,13.6,1.27
0.975,15.5,1.25
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,22992,9474.6,13994,21121,31907,47454
2.6,16960,7199.5,10503,15655,23350,34320
2.7,12512,5469.8,7882,11605,17093,24826
2.8,9232.2,4155.1,5917.5,8601.2,12516,17966
2.9,6813.3,3155.5,4442.2,6377.2,9163.3,13000
3,5029.1,2397.3,3334.6,4727.8,6710.8,9414.5
3.1,3712.7,1821.4,2503.5,3504.2,4913.5,6813.2
3.2,2741.3,1383.1,1878.5,2598.2,3599.8,4927
3.3,2024.4,1049.8,1409.7,1926.8,2636.2,3566.4
3.4,1495.3,796.95,1058,1428.2,1930.1,2582.7
3.5,1104.6,604.63,793.98,1058.5,1414.1,1869.3
3.6,816.16,458.76,595.61,784.65,1035.9,1354.3
3.7,603.13,347.95,446.88,581.68,758.79,981.79
3.8,445.78,263.96,335.35,431.16,555.83,711.45
3.9,329.54,200.27,251.46,319.58,407.21,515.91
4,243.65,151.69,188.59,236.94,298.4,373.97
4.1,180.17,114.93,141.34,175.64,218.8,271.18
4.2,133.26,87.114,105.93,130.2,160.43,196.72
4.3,98.576,65.906,79.403,96.534,117.66,142.77
4.4,72.933,49.823,59.474,71.571,86.302,103.69
4.5,53.969,37.648,44.532,53.072,63.317,75.323
4.6,39.943,28.424,33.353,39.347,46.466,54.817
4.7,29.567,21.436,24.955,29.179,34.132,39.935
4.8,21.89,16.144,18.658,21.631,25.089,29.111
4.9,16.209,12.152,13.944,16.04,18.449,21.244
5,12.005,9.1276,10.412,11.892,13.579,15.517
5.1,8.8924,6.8479,7.7698,8.8197,10.006,11.37
5.2,6.588,5.1268,5.7892,6.5385,7.3811,8.3431
5.3,4.8816,3.8263,4.3094,4.8509,5.4511,6.1344
5.4,3.6178,2.8481,3.2018,3.5952,4.0302,4.5189
5.5,2.6817,2.1147,2.377,2.6658,2.9839,3.3399
5.6,1.9881,1.5667,1.7613,1.9763,2.213,2.4739
5.7,1.4741,1.1571,1.3034,1.4653,1.6445,1.8403
5.8,1.0932,0.85244,0.96291,1.0867,1.223,1.3732
5.9,0.8109,0.62633,0.71041,0.80574,0.91065,1.0264
6,0.60157,0.45933,0.52364,0.59736,0.67917,0.76921
6.1,0.44636,0.33632,0.38566,0.44274,0.5071,0.57752
6.2,0.33125,0.24559,0.28367,0.32818,0.37867,0.43444
6.3,0.24587,0.17922,0.20857,0.2433,0.28307,0.32733
6.4,0.18252,0.13067,0.15322,0.18042,0.21174,0.24682
6.5,0.13552,0.095083,0.11251,0.13373,0.15848,0.18635
6.6,0.10064,0.069167,0.082611,0.099146,0.11862,0.14077
6.7,0.074749,0.050264,0.060619,0.073485,0.088828,0.10641
6.8,0.055529,0.036511,0.044461,0.054478,0.066562,0.080627
6.9,0.041257,0.026505,0.032603,0.040393,0.049883,0.06105
7,0.030659,0.019244,0.023911,0.029948,0.037387,0.046259
7.1,0.022787,0.013951,0.017526,0.022198,0.028022,0.035106
7.2,0.016939,0.010111,0.012848,0.016456,0.021014,0.02662
7.3,0.012594,0.0073306,0.0094145,0.012199,0.015763,0.020208
7.4,0.0093651,0.0053145,0.0068984,0.0090418,0.011822,0.015331
7.5,0.0069652,0.0038495,0.0050524,0.0067031,0.0088673,0.011633
7.6,0.0051812,0.0027899,0.0037009,0.00497,0.006651,0.0088281
7.7,0.0038548,0.0020222,0.0027106,0.0036835,0.0049911,0.0067003
7.8,0.0028684,0.0014645,0.0019858,0.0027311,0.0037439,0.0050857
7.9,0.0021348,0.00106,0.001454,0.0020244,0.0028086,0.0038607
8,0.0015891,0.00076766,0.0010649,0.0015006,0.0021081,0.0029318
8.1,0.001183,0.00055518,0.00077993,0.0011127,0.0015827,0.0022258
8.2,0.00088091,0.00040167,0.00057102,0.00082476,0.0011881,0.0016908
8.3,0.00065605,0.00029071,0.00041816,0.00061135,0.0008919,0.0012838
8.4,0.00048867,0.00021045,0.00030622,0.00045314,0.0006695,0.00097485
8.5,0.00036405,0.0001522,0.00022413,0.00033584,0.00050255,0.00074047
8.6,0.00027126,0.00011011,0.0001641,0.00024891,0.00037726,0.00056236
8.7,0.00020215,7.9707e-05,0.00012012,0.00018457,0.00028317,0.00042733
8.8,0.00015068,5.7594e-05,8.793e-05,0.0001368,0.0002126,0.00032491
8.9,0.00011233,4.1681e-05,6.4368e-05,0.00010139,0.00015961,0.00024703
9,8.3753e-05,3.0164e-05,4.7121e-05,7.5153e-05,0.00011978,0.00018772
9.1,6.2457e-05,2.1814e-05,3.4497e-05,5.5723e-05,8.9917e-05,0.00014263
9.2,4.6584e-05,1.5779e-05,2.5252e-05,4.1306e-05,6.7509e-05,0.00010842
9.3,3.4751e-05,1.1409e-05,1.8492e-05,3.0619e-05,5.0679e-05,8.2399e-05
