EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-Intraslab-betav1-1973.RData
Calculation start and end,Wed Jun 10 23:19:41 2026,Wed Jun 10 23:48:52 2026
Region name,GNMI-Intraslab
Version,betav1-1973
Catalog type,Prob
b mean,1.29
b sigma,0.16
max n sigma b,3
delta,0.1
M1,5
Mmax,8
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/gnmi_beta_nomantle_separated_reclassified 1.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5
1994.5,2010,5.3
2010,2026,5.4
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,27.1,1.26
0.025,20.6,1.48
0.16,23.6,1.4
0.5,27,1.27
0.84,30.6,1.12
0.975,34,0.974
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,27.1,1.21
0.025,20.6,1.41
0.16,23.6,1.37
0.5,27,1.27
0.84,30.6,1.16
0.975,34,1.04
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,53764,5760.8,15151,40697,97559,163270
2.6,39355,4606.3,11704,30374,70633,116150
2.7,28825,3677.4,9041.2,22662,51151,82603
2.8,21125,2940.5,6980.5,16909,37038,58787
2.9,15492,2350.2,5394,12617,26812,41826
3,11368,1878.5,4167.5,9415.5,19407,29769
3.1,8346.6,1501.5,3218.5,7029.2,14053,21179
3.2,6132.4,1198.9,2485.2,5245.6,10171,15071
3.3,4508.7,957.5,1919.8,3915,7365.7,10722
3.4,3317.1,764.67,1482.6,2920.9,5333.2,7625.4
3.5,2442.1,610.74,1145.1,2179.7,3861,5427.5
3.6,1799.2,488.36,884.52,1627.5,2794.8,3863.3
3.7,1326.5,389.91,683.07,1214.6,2023.1,2751.3
3.8,978.69,311.55,527.59,906.59,1464.7,1957.8
3.9,722.63,249,407.57,676.7,1060.9,1393
4,533.97,198.78,314.78,504.87,768.49,992.13
4.1,394.87,158.71,243.08,376.77,556.66,706.97
4.2,292.23,126.72,187.71,281.2,402.97,503.75
4.3,216.45,101.23,144.94,209.8,291.8,358.81
4.4,160.45,80.818,111.93,156.49,211.25,255.8
4.5,119.04,64.443,86.415,116.79,153,182.4
4.6,88.39,51.374,66.688,87.159,110.78,130.08
4.7,65.688,40.985,51.482,65.035,80.223,92.865
4.8,48.86,32.672,39.729,48.524,58.142,66.324
4.9,36.376,25.992,30.652,36.22,42.157,47.459
5,27.105,20.636,23.632,27.021,30.597,34.013
5.1,20.216,16.284,18.184,20.165,22.255,24.42
5.2,15.092,12.749,13.928,15.06,16.251,17.61
5.3,11.277,9.8375,10.565,11.266,11.981,12.794
5.4,8.4347,7.408,7.9063,8.4227,8.9617,9.5345
5.5,6.3148,5.448,5.8435,6.2861,6.7868,7.3438
5.6,4.7324,3.9509,4.2811,4.6864,5.1826,5.7636
5.7,3.55,2.8443,3.1214,3.4943,3.979,4.5679
5.8,2.6657,2.0388,2.2693,2.6063,3.0632,3.629
5.9,2.0037,1.4589,1.6466,1.9441,2.3612,2.8887
6,1.5077,1.0428,1.1938,1.4499,1.8201,2.3018
6.1,1.1356,0.74484,0.86516,1.0821,1.4047,1.8383
6.2,0.85626,0.53159,0.62678,0.80729,1.0839,1.4663
6.3,0.64631,0.37906,0.45404,0.6026,0.8366,1.1704
6.4,0.48836,0.27041,0.32875,0.44963,0.64557,0.93475
6.5,0.36941,0.19272,0.23799,0.33554,0.49852,0.74584
6.6,0.27973,0.13738,0.17228,0.25039,0.38482,0.59575
6.7,0.21205,0.09786,0.12477,0.18684,0.29722,0.47536
6.8,0.16093,0.069703,0.090352,0.13939,0.22954,0.3793
6.9,0.12226,0.049625,0.065393,0.10402,0.17732,0.30295
7,0.092988,0.035354,0.047368,0.077625,0.13695,0.24196
7.1,0.070803,0.025168,0.034292,0.057944,0.10582,0.19308
7.2,0.053971,0.017923,0.024832,0.043244,0.081735,0.15425
7.3,0.041187,0.012759,0.017974,0.032273,0.06311,0.12319
7.4,0.031466,0.0090807,0.01301,0.024085,0.04876,0.098464
7.5,0.024066,0.0064607,0.0094178,0.017973,0.037668,0.078688
7.6,0.018428,0.0045979,0.0068212,0.013411,0.029092,0.06286
7.7,0.014126,0.0032709,0.0049386,0.010008,0.02246,0.050241
7.8,0.010841,0.0023274,0.0035755,0.0074683,0.017348,0.040158
7.9,0.0083287,0.001656,0.0025879,0.0055749,0.013402,0.032103
8,0.0064061,0.001178,0.0018734,0.0041602,0.010351,0.025643
8.1,0.0049328,0.00083821,0.0013557,0.0031041,0.0079951,0.020511
8.2,0.0038026,0.00059635,0.00098126,0.0023175,0.0061752,0.016393
8.3,0.0029346,0.00042416,0.00071063,0.0017289,0.0047692,0.013087
8.4,0.0022673,0.00030173,0.00051452,0.0012901,0.0036831,0.010448
8.5,0.0017536,0.00021463,0.00037246,0.00096278,0.0028445,0.0083507
8.6,0.0013579,0.0001527,0.00026966,0.00071848,0.0021978,0.0066735
8.7,0.0010525,0.00010864,0.00019524,0.00053613,0.0016972,0.0053341
8.8,0.00081677,7.728e-05,0.0001413,0.00039998,0.001311,0.0042645
8.9,0.00063449,5.4986e-05,0.00010229,0.00029856,0.0010125,0.0034062
9,0.00049343,3.9105e-05,7.4067e-05,0.00022278,0.00078237,0.0027209
9.1,0.00038413,2.7804e-05,5.3608e-05,0.00016628,0.00060429,0.0021726
9.2,0.00029936,1.9784e-05,3.88e-05,0.00012408,0.00046696,0.0017361
9.3,0.00023354,1.4068e-05,2.8094e-05,9.2653e-05,0.00036072,0.0013878
9.4,0.00018238,1.0006e-05,2.0347e-05,6.9147e-05,0.00027864,0.0011096
9.5,0.00014257,7.1197e-06,1.4727e-05,5.1606e-05,0.00021514,0.00088714
9.6,0.00011157,5.0641e-06,1.0657e-05,3.8506e-05,0.00016619,0.00070847
9.7,8.7394e-05,3.6033e-06,7.7131e-06,2.8736e-05,0.00012836,0.0005662
