EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-Crustal-beta-proface-1973.RData
Calculation start and end,Fri Jul 10 10:49:52 2026,Fri Jul 10 10:56:12 2026
Region name,GNMI-Crustal
Version,beta-proface-1973
Catalog type,Prob
b mean,1.3
b sigma,0.101
max n sigma b,3
delta,0.1
M1,5
Mmax,7.6
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/izu_gnmi_betav2_separated_reclassified_v2.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5
1994.5,2010,5.3
2010,2026,5.4
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,6.21,1.29
0.025,4.44,1.47
0.16,5.24,1.39
0.5,6.15,1.3
0.84,7.17,1.2
0.975,8.34,1.1
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,6.21,1.28
0.025,4.44,1.39
0.16,5.24,1.35
0.5,6.15,1.3
0.84,7.17,1.24
0.975,8.34,1.18
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,12891,2868,5471.1,10763,20604,34588
2.6,9450.3,2221.3,4151.3,7983.3,14954,24679
2.7,6930.5,1719.8,3150.7,5919.2,10857,17633
2.8,5084.6,1332.7,2390.2,4390.4,7882.1,12596
2.9,3731.8,1032.9,1812.7,3254.6,5720.2,9000
3,2740.1,800.6,1374.5,2414.1,4153.3,6430.6
3.1,2012.7,619.87,1042.2,1790.9,3016.5,4598.1
3.2,1479,480.16,790.19,1328.2,2190.3,3283.4
3.3,1087.3,371.68,599.16,985.21,1590.5,2346.6
3.4,799.61,287.62,454.42,730.86,1154.3,1677.2
3.5,588.31,222.74,344.44,541.96,838.19,1198.7
3.6,433.02,172.19,261.1,402.12,608.63,857.41
3.7,318.86,133.34,197.95,298.3,442.25,613.51
3.8,234.9,103.15,150.02,221.25,321.33,438.9
3.9,173.12,79.807,113.73,164.08,233.56,314.38
4,127.64,61.677,86.197,121.68,169.79,224.91
4.1,94.154,47.705,65.328,90.296,123.41,161.25
4.2,69.481,36.84,49.497,66.969,89.775,115.54
4.3,51.297,28.435,37.457,49.675,65.308,82.88
4.4,37.888,21.929,28.348,36.853,47.492,59.449
4.5,27.997,16.91,21.447,27.342,34.557,42.683
4.6,20.697,13.005,16.205,20.287,25.176,30.699
4.7,15.308,9.9864,12.24,15.045,18.359,22.101
4.8,11.327,7.6403,9.2394,11.164,13.401,15.946
4.9,8.3848,5.8372,6.9661,8.2834,9.7981,11.526
5,6.2099,4.4415,5.2383,6.1473,7.1744,8.3449
5.1,4.6013,3.3609,3.9339,4.5597,5.2665,6.0627
5.2,3.4109,2.5332,2.9437,3.3853,3.8756,4.4235
5.3,2.5297,1.8987,2.1971,2.5142,2.8598,3.2457
5.4,1.877,1.4145,1.6332,1.8672,2.1195,2.3982
5.5,1.3934,1.0477,1.2098,1.3857,1.5764,1.7846
5.6,1.0348,0.77099,0.89261,1.0283,1.176,1.3381
5.7,0.76891,0.56457,0.6571,0.76263,0.88017,1.0099
5.8,0.5716,0.41183,0.4823,0.56561,0.66078,0.76649
5.9,0.42513,0.29921,0.35349,0.41944,0.4971,0.58396
6,0.31634,0.21668,0.25854,0.31094,0.37448,0.44692
6.1,0.2355,0.15658,0.18869,0.23051,0.28241,0.343
6.2,0.1754,0.11294,0.1376,0.17092,0.2131,0.26347
6.3,0.13071,0.081333,0.10029,0.12677,0.16098,0.20282
6.4,0.097446,0.058493,0.073008,0.093995,0.12175,0.15622
