EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-Interface-beta-proface-1973.RData
Calculation start and end,Fri Jul 10 10:56:59 2026,Fri Jul 10 11:04:10 2026
Region name,GNMI-Interface
Version,beta-proface-1973
Catalog type,Prob
b mean,1.3
b sigma,0.101
max n sigma b,3
delta,0.1
M1,5
Mmax,7
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/izu_gnmi_betav2_separated_reclassified_v2.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5
1994.5,2010,5.3
2010,2026,5.4
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,12.7,1.29
0.025,9.93,1.47
0.16,11.2,1.39
0.5,12.6,1.3
0.84,14.2,1.2
0.975,15.9,1.1
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,12.7,1.28
0.025,9.93,1.39
0.16,11.2,1.35
0.5,12.6,1.3
0.84,14.2,1.24
0.975,15.9,1.18
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,26193,6138.6,11481,22029,41499,69261
2.6,19205,4759.9,8710.1,16338,30118,49405
2.7,14087,3689.7,6609.1,12121,21864,35257
2.8,10337,2860.3,5014.4,8988.3,15874,25153
2.9,7588.3,2217.3,3803.9,6669.3,11526,17960
3,5572.8,1718.6,2885.1,4946.5,8370.9,12816
3.1,4094.2,1332,2188.5,3669.1,6077.2,9144.3
3.2,3009.2,1031.7,1660.1,2722,4411.3,6526.1
3.3,2212.7,799.53,1259.7,2019,3202.4,4656.4
3.4,1627.7,619.9,955.24,1497.6,2324.9,3325.1
3.5,1197.8,480.37,724.58,1110.9,1688.1,2373
3.6,881.87,372.43,549.51,824.28,1225.2,1693.6
3.7,649.54,288.37,416.68,611.32,889.81,1208.7
3.8,478.62,223.48,316.14,453.55,646.37,862.69
3.9,352.83,173.03,239.77,336.46,469.43,616.57
4,260.21,133.98,181.72,249.66,340.95,440.87
4.1,191.99,103.73,137.79,185.23,247.73,315.11
4.2,141.72,80.268,104.41,137.43,179.92,225.34
4.3,104.66,62.063,79.143,101.94,130.7,161.21
4.4,77.324,47.971,59.985,75.624,94.956,115.4
4.5,57.154,37.052,45.432,56.096,69.04,82.637
4.6,42.264,28.593,34.387,41.607,50.205,59.232
4.7,31.268,22.032,26.022,30.866,36.559,42.511
4.8,23.144,16.946,19.673,22.899,26.626,30.57
