EARTHQUAKE RATE UNCERTAINTY OUTPUT 
parameter file,car-intraslab-oct2124-params.rplus
RData file,rateunc-CAR Intraslab-Full-oct2124.RData
Calculation start and end,Wed Oct 23 14:09:32 2024,Wed Oct 23 14:13:50 2024
Region name,CAR Intraslab
Version,oct2124
Catalog type,Full
b mean,0.97
b sigma,0.12
max n sigma b,3
delta,0.1
M1,5
Mmax,8
Mc sigma,0.2
max n sigma Mc,3
min M sigma,0.2
max n sigma M,3
n subregions,1
Subregion,1,All
catalog file,catalogs//pmmx_june7_c2-intraslab_v11m-car.csv.RData
n epochs,2
t start,t end,Mc
1900,1973,6
1973,2024,5
BRANCHES Note: quantile=2 is used to label a mean branch
Note: all rates are cumulative
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,1.02,0.97
0.025,0.668,1.21
0.16,0.812,1.09
0.5,0.984,0.97
0.84,1.22,0.85
0.975,1.58,0.73
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,1.02,0.931
0.025,0.668,1.13
0.16,0.812,1.05
0.5,0.984,0.968
0.84,1.22,0.888
0.975,1.58,0.818
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,362,57.7,121,262,580,1280
2.6,284,48.6,98.9,210,452,969
2.7,223,40.9,81.3,168,352,736
2.8,175,34.4,66.8,134,274,560
2.9,137,29,54.9,107,214,426
3,108,24.4,45.1,85.8,166,324
3.1,84.8,20.6,37,68.6,130,246
3.2,66.8,17.3,30.4,54.9,101,187
3.3,52.6,14.6,24.9,43.9,78.6,143
3.4,41.4,12.3,20.5,35.1,61.3,109
3.5,32.7,10.3,16.8,28,47.8,82.8
3.6,25.8,8.66,13.8,22.4,37.2,63.1
3.7,20.4,7.28,11.3,17.9,29,48.1
3.8,16.1,6.12,9.29,14.3,22.6,36.7
3.9,12.8,5.13,7.62,11.5,17.7,28
4,10.1,4.31,6.25,9.17,13.8,21.4
4.1,8,3.61,5.12,7.33,10.8,16.4
4.2,6.35,3.02,4.2,5.86,8.41,12.5
4.3,5.04,2.53,3.43,4.69,6.57,9.58
4.4,4,2.11,2.81,3.75,5.15,7.36
4.5,3.18,1.76,2.29,2.99,4.03,5.67
4.6,2.53,1.46,1.87,2.4,3.16,4.37
4.7,2.01,1.21,1.52,1.92,2.48,3.38
4.8,1.6,0.999,1.24,1.53,1.95,2.61
4.9,1.28,0.82,1,1.23,1.54,2.02
