EARTHQUAKE RATE UNCERTAINTY OUTPUT 
parameter file,car-intraslab-nov2024-params.rplus
RData file,rateunc-CAR Intraslab-Full-nov2124.RData
Calculation start and end,Thu Nov 21 16:28:29 2024,Thu Nov 21 16:32:45 2024
Region name,CAR Intraslab
Version,nov2124
Catalog type,Full
b mean,0.97
b sigma,0.12
max n sigma b,3
delta,0.1
M1,5
Mmax,8
Mc sigma,0.2
max n sigma Mc,3
min M sigma,0.2
max n sigma M,3
n subregions,1
Subregion,1,All
catalog file,catalogs//pmmx_june7_c2-intraslab_v11m-car.csv.RData
n epochs,2
t start,t end,Mc
1900,1973,6
1973,2024,5
BRANCHES Note: quantile=2 is used to label a mean branch
Note: all rates are cumulative
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,1.03,0.97
0.025,0.664,1.21
0.16,0.816,1.09
0.5,0.994,0.97
0.84,1.23,0.85
0.975,1.61,0.73
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,1.03,0.931
0.025,0.664,1.13
0.16,0.816,1.05
0.5,0.994,0.969
0.84,1.23,0.89
0.975,1.61,0.819
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,366.35,58.393,122.06,264.51,587.72,1298.7
2.6,287.1,49.187,100.24,211.46,457.49,986.11
2.7,225.15,41.381,82.308,169.08,356.24,749.07
2.8,176.7,34.806,67.577,135.21,277.39,568.97
2.9,138.77,29.286,55.506,108.13,215.94,432.32
3,109.06,24.659,45.541,86.483,168.2,328.54
3.1,85.776,20.749,37.387,69.162,130.94,250.11
3.2,67.511,17.476,30.672,55.299,102.05,190.26
3.3,53.174,14.717,25.175,44.215,79.553,144.67
3.4,41.912,12.385,20.665,35.362,61.956,110.15
3.5,33.06,10.418,16.958,28.275,48.337,83.994
3.6,26.096,8.7687,13.912,22.619,37.682,63.963
3.7,20.615,7.3657,11.416,18.094,29.383,48.851
3.8,16.297,6.1848,9.3606,14.472,22.915,37.292
3.9,12.893,5.1936,7.6731,11.576,17.875,28.485
4,10.207,4.3456,6.2921,9.2561,13.95,21.725
4.1,8.0871,3.6333,5.1586,7.4016,10.889,16.636
4.2,6.4122,3.0405,4.2234,5.9157,8.506,12.738
4.3,5.0879,2.5388,3.4578,4.7314,6.6505,9.7692
4.4,4.0402,2.1163,2.8266,3.7837,5.207,7.4982
4.5,3.2106,1.7574,2.3078,3.0258,4.0755,5.7679
4.6,2.5533,1.4582,1.8831,2.4203,3.1943,4.4409
4.7,2.032,1.2067,1.5335,1.9361,2.5094,3.4334
4.8,1.6184,0.99403,1.2462,1.5493,1.9745,2.6552
4.9,1.29,0.81435,1.0096,1.2408,1.5582,2.0605
5,1.029,0.66368,0.81585,0.99396,1.2332,1.6063
5.1,0.82138,0.53768,0.65653,0.79654,0.97929,1.256
5.2,0.65617,0.43252,0.52677,0.63862,0.78148,0.98757
5.3,0.52458,0.34507,0.42086,0.51156,0.62573,0.78004
5.4,0.4197,0.27367,0.33519,0.40999,0.50268,0.62227
5.5,0.33604,0.21562,0.26616,0.32849,0.40547,0.49969
5.6,0.26926,0.16873,0.21075,0.26293,0.32731,0.40459
5.7,0.21591,0.13161,0.16651,0.21051,0.26509,0.33022
5.8,0.17326,0.10214,0.13128,0.16847,0.21521,0.27155
5.9,0.13915,0.079085,0.10326,0.13479,0.17502,0.22367
6,0.11183,0.061069,0.08115,0.1078,0.14255,0.18522
6.1,0.089945,0.047059,0.063664,0.086221,0.11616,0.15399
6.2,0.072397,0.036135,0.049871,0.068928,0.094704,0.12859
6.3,0.058316,0.027728,0.039047,0.05509,0.07733,0.10726
6.4,0.047009,0.021272,0.030541,0.044047,0.063164,0.089787
6.5,0.037923,0.016274,0.02388,0.035215,0.051654,0.075124
6.6,0.030616,0.012429,0.01866,0.028159,0.042266,0.063038
6.7,0.024735,0.00951,0.014585,0.022521,0.034598,0.052923
