"shapeid","objectid","value","st_area_sh","st_length_","AREA","PERIMETER"
"0","1","8","3.71024093222","11.1773980503","3.710241","11.177398"
"1","4","8","4.34039585313","8.51747959993","4.340396","8.51748"
"2","5","8","4.59086893266","9.86705162319","4.590869","9.867052"
"3","7","12","305.297199726","75.505556734","305.2972","75.505557"
"4","8","8","45.9842548818","45.3168306844","45.984255","45.316831"
"5","12","16","59.2910689666","40.6330079835","59.291069","40.633008"
"6","2","8","22.071991903","37.1579984125","22.071992","37.157998"
"7","3","6","185.761512988","123.349172442","185.761513","123.349172"
"8","6","4","156.282140768","82.773115375","156.282141","82.773115"
"9","10","16","257.930222222","87.5556453309","257.930222","87.555645"
"10","9","6","47.9823533218","40.1339463129","47.982353","40.133946"
"11","11","12","72.6720459227","53.0946879288","72.672046","53.094688"
"12.0","13","6","448.219150347","163.106879833","448.21915","163.10688"
"12.1","13","6","448.219150347","163.106879833","448.21915","163.10688"
"13","14","4","13.3625082888","17.5182067391","13.362508","17.518207"
"14","15","6","12.1494705853","18.4988369734","12.149471","18.498837"
"15","16","12","9.48802165533","14.8225535253","9.488022","14.822554"
"16","17","12","9.48802167842","14.8225535253","9.488022","14.822554"
"17","18","12","5.25105165945","10.0086761301","5.251052","10.008676"
"18","19","6","2.3895429626","5.63310292275","2.389543","5.633103"
"19","20","16","54.589830345","49.2014290867","54.58983","49.201429"
"20","21","8","3.49272793056","6.8474747151","3.492728","6.847475"
"21","22","8","0.33970384453","2.49256276322","0.339704","2.492563"
"22","23","12","10.5664003007","31.3638981788","10.5664","31.363898"
